postcode,Average download speed (Mbit/s),latitude,longitude,year
ST12HG,81.3,53.028723,-2.170398,2019
DE555NE,65.8,53.146834999999996,-1.337215,2019
TF125QL,42.5,52.622285999999995,-2.484695,2019
S47WW,48.1,53.390209999999996,-1.452426,2019
SL22AT,59.5,51.537608,-0.625149,2019
EN37JT,75.9,51.65655,-0.045739,2019
RH76GN,44.6,51.175593,-0.024628,2019
ST68RT,117.6,53.073319999999995,-2.141738,2019
HP92LE,32.3,51.600378000000006,-0.632596,2019
SG99HN,26.9,51.946169,-0.012789,2019
NN85ES,52.9,52.309854,-0.712804,2019
ML41QJ,69.2,55.81813399999999,-4.016159,2019
PE304XQ,31.0,52.752466000000005,0.44041499999999995,2019
SN153FD,50.3,51.447049,-2.104448,2019
DE236BN,105.8,52.909195,-1.505318,2019
HU73FB,154.7,53.803231999999994,-0.357121,2019
LE74YS,65.3,52.72369200000001,-1.03548,2019
GL526JB,39.6,51.891509,-2.055055,2019
KT151HQ,102.7,51.357764,-0.5138149999999999,2019
TA82BE,20.5,51.241188,-2.989366,2019
LU48RT,81.2,51.892317999999996,-0.45718400000000003,2019
CF340TA,13.7,51.62536,-3.6602339999999995,2019
S649EZ,76.0,53.497267,-1.305747,2019
UB82RH,26.8,51.541246,-0.48655600000000004,2019
EH41HN,75.7,55.9591,-3.210746,2019
RH109RX,4.5,51.140709,-0.162355,2019
WA160AQ,74.5,53.30438100000001,-2.3848689999999997,2019
BT388FL,65.2,54.71798199999999,-5.82298,2019
WR112NF,24.5,52.084914000000005,-1.9585080000000001,2019
WF84DR,38.9,53.689257,-1.319236,2019
DG64SN,28.4,54.812197,-4.1447519999999995,2019
N160TU,52.1,51.559967,-0.082026,2019
CV214NJ,71.9,52.364395,-1.21882,2019
SE192LT,72.2,51.417127,-0.07697999999999999,2019
CH652BR,51.4,53.286834,-2.897975,2019
CO77EW,56.0,51.882434,0.990507,2019
LE97GL,72.7,52.571754000000006,-1.317719,2019
SS93EF,40.7,51.549351,0.659776,2019
WA33PR,100.7,53.471867,-2.605794,2019
PL72BZ,95.3,50.391346999999996,-4.051439,2019
IP12JR,63.8,52.061396,1.14126,2019
TF74BN,99.9,52.637713,-2.440711,2019
CF142HS,100.4,51.503857,-3.221141,2019
NG73NS,60.0,52.958426,-1.166282,2019
SW24GD,,51.439155,-0.12667799999999999,2019
GL526TY,96.2,51.89985,-2.060995,2019
DN122JF,92.6,53.476102000000004,-1.239873,2019
L232TX,81.7,53.497268999999996,-3.024718,2019
ML13QY,110.5,55.796505,-4.011563,2019
CA27JH,37.1,54.894551,-2.958264,2019
