year,nuts_id,nuts_year_spec,total_stem_postgraduates
2014,UKH2,2018,760
2015,UKH2,2018,710
2016,UKH2,2018,655
2017,UKH2,2018,665
2018,UKH2,2018,635
2014,UKJ1,2018,2765
2015,UKJ1,2018,2990
2016,UKJ1,2018,2940
2017,UKJ1,2018,2790
2018,UKJ1,2018,2830
2014,UKD6,2018,30
2015,UKD6,2018,30
2016,UKD6,2018,40
2017,UKD6,2018,50
2018,UKD6,2018,50
2014,UKK3,2018,0
2015,UKK3,2018,0
2016,UKK3,2018,0
2017,UKK3,2018,0
2018,UKK3,2018,0
2014,UKD1,2018,5
2015,UKD1,2018,10
2016,UKD1,2018,5
2017,UKD1,2018,10
2018,UKD1,2018,5
2014,UKF1,2018,1550
2015,UKF1,2018,1615
2016,UKF1,2018,1620
2017,UKF1,2018,1570
2018,UKF1,2018,1580
2014,UKK4,2018,770
2015,UKK4,2018,810
2016,UKK4,2018,795
2017,UKK4,2018,830
2018,UKK4,2018,805
2014,UKK2,2018,155
2015,UKK2,2018,15
2016,UKK2,2018,0
2017,UKK2,2018,0
2018,UKK2,2018,0
2014,UKH1,2018,2915
2015,UKH1,2018,2870
2016,UKH1,2018,2915
2017,UKH1,2018,2945
2018,UKH1,2018,3045
2014,UKL2,2018,825
2015,UKL2,2018,900
2016,UKL2,2018,910
2017,UKL2,2018,950
2018,UKL2,2018,955
2014,UKE1,2018,240
2015,UKE1,2018,240
2016,UKE1,2018,215
2017,UKE1,2018,185
2018,UKE1,2018,235
2014,UKM7,2018,2625
2015,UKM7,2018,2815
2016,UKM7,2018,2770
2017,UKM7,2018,2855
2018,UKM7,2018,2920
2014,UKH3,2018,330
2015,UKH3,2018,335
2016,UKH3,2018,280
2017,UKH3,2018,335
2018,UKH3,2018,375
2014,UKK1,2018,1750
2015,UKK1,2018,1755
2016,UKK1,2018,1885
2017,UKK1,2018,1925
2018,UKK1,2018,1950
2014,UKD3,2018,2330
2015,UKD3,2018,2345
2016,UKD3,2018,2385
2017,UKD3,2018,2600
2018,UKD3,2018,2710
2014,UKJ3,2018,1625
2015,UKJ3,2018,1600
2016,UKJ3,2018,1560
2017,UKJ3,2018,1520
2018,UKJ3,2018,1480
2014,UKG1,2018,0
2015,UKG1,2018,15
2016,UKG1,2018,20
2017,UKG1,2018,20
2018,UKG1,2018,25
2014,UKM6,2018,10
2015,UKM6,2018,20
2016,UKM6,2018,30
2017,UKM6,2018,60
2018,UKM6,2018,55
2014,UKI4,2018,1105
2015,UKI4,2018,1070
2016,UKI4,2018,1050
2017,UKI4,2018,1010
2018,UKI4,2018,1025
2014,UKI3,2018,5205
2015,UKI3,2018,5425
2016,UKI3,2018,5730
2017,UKI3,2018,5825
2018,UKI3,2018,6190
2014,UKJ4,2018,530
2015,UKJ4,2018,530
2016,UKJ4,2018,550
2017,UKJ4,2018,530
2018,UKJ4,2018,560
2014,UKD4,2018,655
2015,UKD4,2018,620
2016,UKD4,2018,620
2017,UKD4,2018,690
2018,UKD4,2018,695
2014,UKF2,2018,1260
2015,UKF2,2018,1280
2016,UKF2,2018,1195
2017,UKF2,2018,1100
2018,UKF2,2018,1170
2014,UKF3,2018,115
2015,UKF3,2018,140
2016,UKF3,2018,155
2017,UKF3,2018,150
2018,UKF3,2018,160
2014,UKD7,2018,1010
2015,UKD7,2018,970
2016,UKD7,2018,1065
2017,UKD7,2018,1155
2018,UKD7,2018,1210
2014,UKM5,2018,445
2015,UKM5,2018,470
2016,UKM5,2018,480
2017,UKM5,2018,500
2018,UKM5,2018,460
2014,UKE2,2018,670
2015,UKE2,2018,670
2016,UKE2,2018,655
2017,UKE2,2018,650
2018,UKE2,2018,675
2014,UKN0,2018,830
2015,UKN0,2018,850
2016,UKN0,2018,830
2017,UKN0,2018,915
2018,UKN0,2018,875
2014,UKC2,2018,1010
2015,UKC2,2018,1045
2016,UKC2,2018,1040
2017,UKC2,2018,1015
2018,UKC2,2018,1030
2014,UKI5,2018,135
2015,UKI5,2018,150
2016,UKI5,2018,130
2017,UKI5,2018,125
2018,UKI5,2018,110
2014,UKI6,2018,95
2015,UKI6,2018,100
2016,UKI6,2018,100
2017,UKI6,2018,75
2018,UKI6,2018,70
2014,UKI7,2018,615
2015,UKI7,2018,545
2016,UKI7,2018,470
2017,UKI7,2018,465
2018,UKI7,2018,530
2014,UKG2,2018,200
2015,UKG2,2018,185
2016,UKG2,2018,210
2017,UKG2,2018,160
2018,UKG2,2018,155
2014,UKE3,2018,1530
2015,UKE3,2018,1520
2016,UKE3,2018,1460
2017,UKE3,2018,1425
2018,UKE3,2018,1410
2014,UKJ2,2018,1385
2015,UKJ2,2018,1370
2016,UKJ2,2018,1295
2017,UKJ2,2018,1220
2018,UKJ2,2018,1240
2014,UKC1,2018,575
2015,UKC1,2018,570
2016,UKC1,2018,595
2017,UKC1,2018,640
2018,UKC1,2018,650
2014,UKM8,2018,1920
2015,UKM8,2018,1990
2016,UKM8,2018,2120
2017,UKM8,2018,2145
2018,UKM8,2018,2195
2014,UKG3,2018,2415
2015,UKG3,2018,2430
2016,UKG3,2018,2455
2017,UKG3,2018,2525
2018,UKG3,2018,2660
2014,UKL1,2018,800
2015,UKL1,2018,825
2016,UKL1,2018,930
2017,UKL1,2018,920
2018,UKL1,2018,1010
2014,UKE4,2018,1585
2015,UKE4,2018,1615
2016,UKE4,2018,1600
2017,UKE4,2018,1660
2018,UKE4,2018,1695
