year,nuts_id,nuts_year_spec,total_stem_students
2014,UKH2,2018,9210.0
2015,UKH2,2018,8775.0
2016,UKH2,2018,8785.0
2017,UKH2,2018,8435.0
2018,UKH2,2018,8440.0
2014,UKJ1,2018,13650.0
2015,UKJ1,2018,14115.0
2016,UKJ1,2018,14410.0
2017,UKJ1,2018,14745.0
2018,UKJ1,2018,14990.0
2014,UKD6,2018,1945.0
2015,UKD6,2018,1970.0
2016,UKD6,2018,2225.0
2017,UKD6,2018,2300.0
2018,UKD6,2018,2240.0
2014,UKK3,2018,50.0
2015,UKK3,2018,140.0
2016,UKK3,2018,265.0
2017,UKK3,2018,360.0
2018,UKK3,2018,425.0
2014,UKD1,2018,700.0
2015,UKD1,2018,670.0
2016,UKD1,2018,670.0
2017,UKD1,2018,690.0
2018,UKD1,2018,670.0
2014,UKF1,2018,17135.0
2015,UKF1,2018,17810.0
2016,UKF1,2018,18900.0
2017,UKF1,2018,19930.0
2018,UKF1,2018,20865.0
2014,UKK4,2018,13515.0
2015,UKK4,2018,13095.0
2016,UKK4,2018,13205.0
2017,UKK4,2018,13285.0
2018,UKK4,2018,12860.0
2014,UKK2,2018,3320.0
2015,UKK2,2018,3480.0
2016,UKK2,2018,3985.0
2017,UKK2,2018,4060.0
2018,UKK2,2018,4150.0
2014,UKH1,2018,10650.0
2015,UKH1,2018,10675.0
2016,UKH1,2018,11140.0
2017,UKH1,2018,11650.0
2018,UKH1,2018,12160.0
2014,UKL2,2018,11115.0
2015,UKL2,2018,11510.0
2016,UKL2,2018,11745.0
2017,UKL2,2018,11735.0
2018,UKL2,2018,11895.0
2014,UKE1,2018,4475.0
2015,UKE1,2018,4770.0
2016,UKE1,2018,5105.0
2017,UKE1,2018,5105.0
2018,UKE1,2018,5085.0
2014,UKM7,2018,27700.0
2015,UKM7,2018,28520.0
2016,UKM7,2018,29375.0
2017,UKM7,2018,30435.0
2018,UKM7,2018,31525.0
2014,UKH3,2018,6085.0
2015,UKH3,2018,6330.0
2016,UKH3,2018,6450.0
2017,UKH3,2018,6895.0
2018,UKH3,2018,7005.0
2014,UKK1,2018,21825.0
2015,UKK1,2018,22705.0
2016,UKK1,2018,24040.0
2017,UKK1,2018,24930.0
2018,UKK1,2018,25220.0
2014,UKD3,2018,25580.0
2015,UKD3,2018,26720.0
2016,UKD3,2018,27470.0
2017,UKD3,2018,27465.0
2018,UKD3,2018,27505.0
2014,UKJ3,2018,19695.0
2015,UKJ3,2018,20180.0
2016,UKJ3,2018,20725.0
2017,UKJ3,2018,20445.0
2018,UKJ3,2018,20200.0
2014,UKG1,2018,2155.0
2015,UKG1,2018,2290.0
2016,UKG1,2018,2355.0
2017,UKG1,2018,2465.0
2018,UKG1,2018,2260.0
2014,UKM6,2018,1470.0
