year,nuts_id,nuts_year_spec,total_postgraduates
2014,UKH2,2016,1005
2014,UKJ1,2016,6085
2014,UKD6,2016,75
2014,UKK3,2016,10
2014,UKD1,2016,10
2014,UKF1,2016,3065
2014,UKK4,2016,1555
2014,UKK2,2016,340
2014,UKH1,2016,5520
2014,UKL2,2016,1680
2014,UKE1,2016,645
2014,UKM7,2016,5275
2014,UKH3,2016,895
2014,UKK1,2016,2815
2014,UKD3,2016,4050
2014,UKJ3,2016,2570
2014,UKG1,2016,35
2014,UKM6,2016,25
2014,UKI4,2016,2135
2014,UKI3,2016,11855
2014,UKJ4,2016,1135
2014,UKD4,2016,1345
2014,UKF2,2016,2235
2014,UKF3,2016,240
2014,UKD7,2016,1870
2014,UKM5,2016,1015
2014,UKE2,2016,1275
2014,UKN0,2016,1665
2014,UKC2,2016,2130
2014,UKI5,2016,315
2014,UKI6,2016,235
2014,UKI7,2016,1120
2014,UKG2,2016,450
2014,UKE3,2016,2560
2014,UKJ2,2016,2465
2014,UKC1,2016,1260
2014,UKM8,2016,3665
2014,UKG3,2016,4435
2014,UKL1,2016,1455
2014,UKE4,2016,3110
2015,UKH2,2016,945
2015,UKJ1,2016,6485
2015,UKD6,2016,85
2015,UKK3,2016,5
2015,UKD1,2016,25
2015,UKF1,2016,3090
2015,UKK4,2016,1500
2015,UKK2,2016,335
2015,UKH1,2016,5485
2015,UKL2,2016,1715
2015,UKE1,2016,635
2015,UKM7,2016,5505
2015,UKH3,2016,910
2015,UKK1,2016,2805
2015,UKD3,2016,4085
2015,UKJ3,2016,2480
2015,UKG1,2016,25
2015,UKM6,2016,45
2015,UKI4,2016,2085
2015,UKI3,2016,11900
2015,UKJ4,2016,1170
2015,UKD4,2016,1240
2015,UKF2,2016,2315
2015,UKF3,2016,255
2015,UKD7,2016,2065
2015,UKM5,2016,1005
2015,UKE2,2016,1270
2015,UKN0,2016,1725
2015,UKC2,2016,2140
2015,UKI5,2016,325
2015,UKI6,2016,285
2015,UKI7,2016,980
2015,UKG2,2016,410
2015,UKE3,2016,2560
2015,UKJ2,2016,2485
2015,UKC1,2016,1255
2015,UKM8,2016,3770
2015,UKG3,2016,4510
2015,UKL1,2016,1490
2015,UKE4,2016,3210
2016,UKH2,2016,870
2016,UKJ1,2016,6340
2016,UKD6,2016,85
2016,UKK3,2016,5
2016,UKD1,2016,15
2016,UKF1,2016,3135
2016,UKK4,2016,1515
2016,UKK2,2016,315
2016,UKH1,2016,5465
2016,UKL2,2016,1615
2016,UKE1,2016,590
2016,UKM7,2016,5435
2016,UKH3,2016,720
2016,UKK1,2016,3020
2016,UKD3,2016,4200
2016,UKJ3,2016,2370
2016,UKG1,2016,35
2016,UKM6,2016,55
2016,UKI4,2016,2115
2016,UKI3,2016,11930
2016,UKJ4,2016,1195
2016,UKD4,2016,1195
2016,UKF2,2016,2200
2016,UKF3,2016,255
2016,UKD7,2016,2220
2016,UKM5,2016,1010
2016,UKE2,2016,1270
2016,UKN0,2016,1755
2016,UKC2,2016,2255
2016,UKI5,2016,295
2016,UKI6,2016,275
2016,UKI7,2016,870
2016,UKG2,2016,410
2016,UKE3,2016,2480
2016,UKJ2,2016,2410
2016,UKC1,2016,1275
2016,UKM8,2016,3875
2016,UKG3,2016,4545
2016,UKL1,2016,1630
2016,UKE4,2016,3210
2017,UKH2,2016,895
2017,UKJ1,2016,5765
2017,UKD6,2016,90
2017,UKK3,2016,10
2017,UKD1,2016,15
2017,UKF1,2016,3105
2017,UKK4,2016,1605
2017,UKK2,2016,280
2017,UKH1,2016,5415
2017,UKL2,2016,1580
2017,UKE1,2016,460
2017,UKM7,2016,5450
2017,UKH3,2016,820
2017,UKK1,2016,3045
2017,UKD3,2016,4375
2017,UKJ3,2016,2230
2017,UKG1,2016,35
2017,UKM6,2016,90
2017,UKI4,2016,1980
2017,UKI3,2016,12100
2017,UKJ4,2016,1175
2017,UKD4,2016,1295
2017,UKF2,2016,2105
2017,UKF3,2016,260
2017,UKD7,2016,2210
2017,UKM5,2016,1055
2017,UKE2,2016,1255
2017,UKN0,2016,1850
2017,UKC2,2016,2245
2017,UKI5,2016,260
2017,UKI6,2016,245
2017,UKI7,2016,825
2017,UKG2,2016,365
2017,UKE3,2016,2435
2017,UKJ2,2016,2295
2017,UKC1,2016,1265
2017,UKM8,2016,3975
2017,UKG3,2016,4615
2017,UKL1,2016,1625
2017,UKE4,2016,3305
2018,UKH2,2016,850
2018,UKJ1,2016,5905
2018,UKD6,2016,125
2018,UKK3,2016,15
2018,UKD1,2016,10
2018,UKF1,2016,3155
2018,UKK4,2016,1585
2018,UKK2,2016,290
2018,UKH1,2016,5155
2018,UKL2,2016,1630
2018,UKE1,2016,525
2018,UKM7,2016,5650
2018,UKH3,2016,825
2018,UKK1,2016,3010
2018,UKD3,2016,4455
2018,UKJ3,2016,2185
2018,UKG1,2016,50
2018,UKM6,2016,105
2018,UKI4,2016,2005
2018,UKI3,2016,12575
2018,UKJ4,2016,1180
2018,UKD4,2016,1265
2018,UKF2,2016,2250
2018,UKF3,2016,275
2018,UKD7,2016,2255
2018,UKM5,2016,1015
2018,UKE2,2016,1280
2018,UKN0,2016,1760
2018,UKC2,2016,2215
2018,UKI5,2016,265
2018,UKI6,2016,225
2018,UKI7,2016,890
2018,UKG2,2016,370
2018,UKE3,2016,2480
2018,UKJ2,2016,2335
2018,UKC1,2016,1285
2018,UKM8,2016,4115
2018,UKG3,2016,4790
2018,UKL1,2016,1760
2018,UKE4,2016,3285
