,year,nuts_id,nuts_year_spec,total_4_fte
0,2014,UKI3,2018,3099.7809
1,2014,UKJ1,2018,1438.3566999999998
2,2014,UKM7,2018,1163.4821
3,2014,UKH1,2018,1116.5293000000001
4,2014,UKG3,2018,757.9251999999999
5,2014,UKD3,2018,629.4188999999999
6,2014,UKK1,2018,620.8638
7,2014,UKM8,2018,537.7890000000001
8,2014,UKF1,2018,484.9951000000001
9,2014,UKE4,2018,453.53469999999993
10,2014,UKJ3,2018,416.84420000000006
11,2014,UKI4,2018,410.5700999999999
12,2014,UKJ2,2018,410.37520000000006
13,2014,UKE3,2018,387.8517
14,2014,UKC2,2018,344.18719999999996
15,2014,UKF2,2018,333.8407000000001
16,2014,UKN0,2018,322.8542
17,2014,UKL2,2018,311.3165
18,2014,UKK4,2018,267.3855
19,2014,UKL1,2018,262.5525
20,2014,UKD7,2018,256.34600000000006
21,2014,UKC1,2018,249.21730000000002
22,2014,UKD4,2018,232.55509999999998
23,2014,UKE2,2018,231.48129999999998
24,2014,UKJ4,2018,158.393
25,2014,UKM5,2018,150.53799999999998
26,2014,UKI7,2018,122.68350000000001
27,2014,UKH3,2018,112.29200000000002
28,2014,UKH2,2018,102.14660000000002
29,2014,UKG2,2018,62.55160000000001
30,2014,UKE1,2018,50.526700000000005
31,2014,UKK2,2018,27.531
32,2014,UKF3,2018,23.738999999999997
33,2014,UKI6,2018,22.619
34,2014,UKI5,2018,19.685
35,2014,UKM6,2018,8.697500000000002
36,2014,UKD6,2018,7.625
37,2014,UKG1,2018,4.896000000000002
38,2014,UKK3,2018,3.617800000000001
39,2014,UKD1,2018,1.7284
