,year,nuts_id,nuts_year_spec,mean_ref
0,2014,UKH1,2018,3.2859044138407003
1,2014,UKI3,2018,3.2030212678081234
2,2014,UKL2,2018,3.2018828988338726
3,2014,UKJ1,2018,3.1846698563296285
4,2014,UKE3,2018,3.099804144016387
5,2014,UKM7,2018,3.0810020717904676
6,2014,UKC1,2018,3.0788476968437335
7,2014,UKE2,2018,3.0601463949711007
8,2014,UKK1,2018,3.0490697708606938
9,2014,UKG3,2018,3.022561926683013
10,2014,UKD3,2018,3.0032248206645864
11,2014,UKJ3,2018,2.998748918843395
12,2014,UKM8,2018,2.993743731809096
13,2014,UKJ2,2018,2.9762489657812514
14,2014,UKI4,2018,2.9668979579072463
15,2014,UKK4,2018,2.965675170561765
16,2014,UKF1,2018,2.9552698465093252
17,2014,UKN0,2018,2.954057336523728
18,2014,UKE4,2018,2.9263235013281017
19,2014,UKD7,2018,2.915748499771266
20,2014,UKL1,2018,2.907525237047149
21,2014,UKC2,2018,2.890667614976522
22,2014,UKM5,2018,2.875997595981856
23,2014,UKF2,2018,2.8537294126310107
24,2014,UKD4,2018,2.85093354053354
25,2014,UKJ4,2018,2.844886514987162
26,2014,UKH3,2018,2.785558291650635
27,2014,UKH2,2018,2.7659659310878824
28,2014,UKM6,2018,2.7606607929515414
29,2014,UKG2,2018,2.7174283129557537
30,2014,UKI6,2018,2.704122060308758
31,2014,UKE1,2018,2.7006456059412622
32,2014,UKK2,2018,2.6884531339850493
33,2014,UKI7,2018,2.5843837120437447
34,2014,UKF3,2018,2.505140732873075
35,2014,UKI5,2018,2.350118721461187
36,2014,UKD1,2018,2.133059701492537
37,2014,UKD6,2018,2.0767497291440957
38,2014,UKG1,2018,2.075923444976077
39,2014,UKK3,2018,2.0435919825362174
