year,nuts_id,nuts_year_spec,mean_ref
2014,UKH1,2018,3.2859044138407
2014,UKI3,2018,3.203021267808123
2014,UKL2,2018,3.2018828988338726
2014,UKJ1,2018,3.184669856329629
2014,UKE3,2018,3.0998041440163875
2014,UKM7,2018,3.081002071790467
2014,UKC1,2018,3.0788476968437335
2014,UKE2,2018,3.0601463949711007
2014,UKK1,2018,3.0490697708606933
2014,UKG3,2018,3.022561926683013
2014,UKD3,2018,3.0032248206645864
2014,UKJ3,2018,2.998748918843395
2014,UKM8,2018,2.9937437318090963
2014,UKJ2,2018,2.976248965781252
2014,UKI4,2018,2.9668979579072463
2014,UKK4,2018,2.965675170561765
2014,UKF1,2018,2.955269846509325
2014,UKN0,2018,2.9540573365237286
2014,UKE4,2018,2.9263235013281017
2014,UKD7,2018,2.915748499771266
2014,UKL1,2018,2.9075252370471496
2014,UKC2,2018,2.8906676149765222
2014,UKM5,2018,2.875997595981856
2014,UKF2,2018,2.8537294126310107
2014,UKD4,2018,2.85093354053354
2014,UKJ4,2018,2.844886514987161
2014,UKH3,2018,2.785558291650635
2014,UKH2,2018,2.765965931087882
2014,UKM6,2018,2.7606607929515414
2014,UKG2,2018,2.7174283129557537
2014,UKI6,2018,2.704122060308758
2014,UKE1,2018,2.7006456059412622
2014,UKK2,2018,2.688453133985049
2014,UKI7,2018,2.5843837120437447
2014,UKF3,2018,2.505140732873075
2014,UKI5,2018,2.350118721461187
2014,UKD1,2018,2.133059701492537
2014,UKD6,2018,2.0767497291440957
2014,UKG1,2018,2.075923444976076
2014,UKK3,2018,2.0435919825362174
