year,nuts_id,nuts_year_spec,cordis_funding
2014,UKC12,2013,68000.0
2014,UKC22,2013,125375.0
2014,UKD11,2013,50000.0
2014,UKD44,2013,50000.0
2014,UKD45,2013,130562.5
2014,UKD61,2013,50000.0
2014,UKD62,2013,50000.0
2014,UKD72,2013,85180.0
2014,UKD73,2013,50000.0
2014,UKE11,2013,643108.0
2014,UKE21,2013,157742.0
2014,UKE32,2013,100000.0
2014,UKE41,2013,50000.0
2014,UKE42,2013,624160.75
2014,UKF15,2013,329875.0
2014,UKF21,2013,20000.0
2014,UKF22,2013,50000.0
2014,UKF30,2013,50000.0
2014,UKG13,2013,100000.0
2014,UKG33,2013,469603.25
2014,UKH12,2013,1981677.5
2014,UKH15,2013,149533.75
2014,UKH23,2013,31163.0
2014,UKI31,2013,49314909.04
2014,UKI32,2013,3431537.89
2014,UKI33,2013,270000.0
2014,UKI34,2013,50000.0
2014,UKI41,2013,355735.0
2014,UKI42,2013,342266.25
2014,UKI44,2013,50000.0
2014,UKI54,2013,176250.0
2014,UKJ11,2013,1375310.69
2014,UKJ14,2013,52690404.25
2014,UKJ21,2013,164571.25
2014,UKJ25,2013,553467.0
2014,UKJ32,2013,665888.75
2014,UKJ37,2013,66600.0
2014,UKJ44,2013,279500.0
2014,UKJ46,2013,496250.0
2014,UKK11,2013,243227.5
2014,UKK14,2013,860164.59
2014,UKK41,2013,79614.69
2014,UKK43,2013,1028950.84
2014,UKL12,2013,7827.0
2014,UKL18,2013,5421.0
2014,UKL22,2013,641858.75
2014,UKM21,2013,50000.0
2014,UKM25,2013,927539.75
2014,UKM34,2013,159079.75
2014,UKM37,2013,50000.0
2014,UKM50,2013,77834.0
2014,UKM62,2013,9216.0
2014,UKN01,2013,64000.0
2014,UKN04,2013,90000.0
2015,UKC11,2013,536365.38
2015,UKC12,2013,2805573.13
2015,UKC14,2013,8916192.88
2015,UKC21,2013,851441.28
2015,UKC22,2013,24834090.04
2015,UKC23,2013,2732397.15
2015,UKD11,2013,10506152.73
2015,UKD12,2013,391021.0
2015,UKD33,2013,27773997.55
2015,UKD34,2013,1018270.55
2015,UKD35,2013,305000.0
2015,UKD36,2013,711775.0
2015,UKD37,2013,407931.25
2015,UKD44,2013,5978904.04
2015,UKD45,2013,1219987.68
2015,UKD46,2013,196762.5
2015,UKD61,2013,3178433.21
2015,UKD62,2013,1273372.25
2015,UKD63,2013,1874636.6
2015,UKD72,2013,11810689.0
2015,UKD74,2013,50000.0
2015,UKE11,2013,2267173.59
2015,UKE12,2013,0.0
2015,UKE21,2013,11334253.75
2015,UKE22,2013,395733.0
2015,UKE31,2013,1648461.0
2015,UKE32,2013,30749748.35
2015,UKE41,2013,2107382.13
2015,UKE42,2013,33179791.44
2015,UKE44,2013,2399389.76
2015,UKE45,2013,1541875.0
2015,UKF11,2013,381991.0
2015,UKF12,2013,3089648.25
2015,UKF13,2013,701316.25
2015,UKF14,2013,21142681.91
2015,UKF15,2013,2661662.75
2015,UKF16,2013,7697670.39
2015,UKF21,2013,4058897.77
2015,UKF22,2013,4427927.75
2015,UKF24,2013,357213.43
2015,UKF30,2013,2332810.44
2015,UKG11,2013,100000.0
2015,UKG12,2013,1338311.65
2015,UKG13,2013,2191738.65
2015,UKG22,2013,99500.0
2015,UKG23,2013,1177695.53
2015,UKG24,2013,1044663.78
2015,UKG31,2013,31048817.09
2015,UKG32,2013,1137030.69
2015,UKG33,2013,27263364.02
2015,UKG36,2013,52218.0
2015,UKG37,2013,242600.0
2015,UKG39,2013,510375.0
2015,UKH11,2013,447837.88
2015,UKH12,2013,116791421.73
2015,UKH14,2013,1056518.75
2015,UKH15,2013,6720231.14
2015,UKH17,2013,1310537.34
2015,UKH21,2013,872647.5
2015,UKH23,2013,17070899.45
2015,UKH24,2013,592262.88
2015,UKH25,2013,6053062.03
2015,UKH31,2013,463508.48
2015,UKH34,2013,2632729.5
2015,UKH36,2013,817761.78
2015,UKH37,2013,332641.18
2015,UKI31,2013,85413419.97
2015,UKI32,2013,155151517.21
2015,UKI33,2013,5769723.82
2015,UKI34,2013,5376118.26
2015,UKI41,2013,18263140.51
2015,UKI42,2013,9875458.95
2015,UKI43,2013,4659902.85
2015,UKI44,2013,1454324.56
2015,UKI45,2013,140625.0
2015,UKI51,2013,280136.25
2015,UKI52,2013,640133.75
2015,UKI53,2013,2925198.75
2015,UKI54,2013,6802134.87
2015,UKI61,2013,691379.38
2015,UKI62,2013,353562.5
2015,UKI63,2013,1164457.01
2015,UKI71,2013,341787.13
2015,UKI74,2013,8878383.75
2015,UKI75,2013,4561687.14
2015,UKJ11,2013,21868203.94
2015,UKJ12,2013,4573648.58
2015,UKJ13,2013,1294425.25
2015,UKJ14,2013,80907039.87
2015,UKJ21,2013,14705212.44
2015,UKJ22,2013,271869.35
2015,UKJ25,2013,21964123.75
2015,UKJ26,2013,2412849.88
2015,UKJ27,2013,3349504.8
2015,UKJ28,2013,1434817.5
2015,UKJ31,2013,2041703.3
2015,UKJ32,2013,30324012.76
2015,UKJ35,2013,4850952.18
2015,UKJ36,2013,1800895.38
2015,UKJ37,2013,6041150.09
2015,UKJ41,2013,574178.0
2015,UKJ43,2013,2105493.75
2015,UKJ44,2013,5770791.21
2015,UKJ45,2013,933562.5
2015,UKJ46,2013,831235.0
2015,UKK11,2013,32162566.73
2015,UKK12,2013,10459184.39
2015,UKK13,2013,4596419.14
2015,UKK14,2013,22638187.19
2015,UKK15,2013,1642331.88
2015,UKK21,2013,116687.5
2015,UKK22,2013,1551963.75
2015,UKK23,2013,515917.88
2015,UKK30,2013,234020.88
2015,UKK41,2013,8445823.18
2015,UKK42,2013,322462.5
2015,UKK43,2013,17670213.23
2015,UKL12,2013,2225870.81
2015,UKL13,2013,472850.0
2015,UKL14,2013,960544.6
2015,UKL16,2013,972238.25
2015,UKL17,2013,641750.0
2015,UKL18,2013,1727675.36
2015,UKL21,2013,320646.75
2015,UKL22,2013,26476740.07
2015,UKL23,2013,331499.67
2015,UKL24,2013,189852.5
2015,UKM21,2013,11015250.02
2015,UKM22,2013,10358687.68
2015,UKM23,2013,2949809.0
2015,UKM25,2013,58203805.27
2015,UKM27,2013,3652743.08
2015,UKM28,2013,664562.5
2015,UKM31,2013,2183454.8
2015,UKM34,2013,44099591.59
2015,UKM35,2013,750476.0
2015,UKM36,2013,1212150.0
2015,UKM37,2013,1535848.31
2015,UKM38,2013,110381.25
2015,UKM50,2013,9486996.57
2015,UKM62,2013,22400.0
2015,UKM63,2013,1400193.01
2015,UKM65,2013,5192776.5
2015,UKN01,2013,10894388.33
2015,UKN03,2013,527626.73
2015,UKN04,2013,3872442.26
2016,UKC11,2016,452972.04
2016,UKC12,2016,4841633.97
2016,UKC14,2016,9002588.33
2016,UKC21,2016,1124501.25
2016,UKC22,2016,15668333.62
2016,UKC23,2016,771375.0
2016,UKD11,2016,4830517.45
2016,UKD33,2016,43979898.55
2016,UKD34,2016,2848746.18
2016,UKD35,2016,683410.0
2016,UKD36,2016,777656.25
2016,UKD44,2016,4441968.91
2016,UKD45,2016,628465.68
2016,UKD46,2016,145095.0
2016,UKD47,2016,546575.76
2016,UKD61,2016,810025.0
2016,UKD62,2016,2502131.75
2016,UKD63,2016,3032882.64
2016,UKD71,2016,530625.0
2016,UKD72,2016,20815938.73
2016,UKD74,2016,467343.75
2016,UKE11,2016,1662440.35
2016,UKE12,2016,717506.25
2016,UKE21,2016,12035600.1
2016,UKE31,2016,174283.75
2016,UKE32,2016,36826234.63
2016,UKE41,2016,600050.0
2016,UKE42,2016,17074959.77
2016,UKE44,2016,1464923.04
2016,UKE45,2016,571618.75
2016,UKF11,2016,22220.0
2016,UKF12,2016,2114506.51
2016,UKF13,2016,2795951.11
2016,UKF14,2016,14091827.24
2016,UKF15,2016,300181.25
2016,UKF16,2016,3456249.73
2016,UKF21,2016,6718947.31
2016,UKF22,2016,2258318.79
2016,UKF24,2016,1350175.0
2016,UKF25,2016,882819.79
2016,UKF30,2016,2077154.71
2016,UKG11,2016,138753.75
2016,UKG12,2016,355254.8
2016,UKG13,2016,2916388.0
2016,UKG21,2016,802866.25
2016,UKG22,2016,304762.5
2016,UKG24,2016,4216817.96
2016,UKG31,2016,34996664.29
2016,UKG32,2016,986366.88
2016,UKG33,2016,31384144.48
2016,UKG37,2016,449250.0
2016,UKG39,2016,403819.5
2016,UKH12,2016,152223936.92
2016,UKH14,2016,1813750.69
2016,UKH15,2016,13606881.83
2016,UKH16,2016,98812.5
2016,UKH21,2016,281112.5
2016,UKH23,2016,7032101.65
2016,UKH24,2016,2365068.0
2016,UKH25,2016,6833203.96
2016,UKH31,2016,163248.75
2016,UKH34,2016,1807092.89
2016,UKH35,2016,361932.38
2016,UKH36,2016,2134310.85
2016,UKI31,2016,126237368.54
2016,UKI32,2016,147127900.14
2016,UKI33,2016,5353670.06
2016,UKI34,2016,513080.0
2016,UKI41,2016,25345559.63
2016,UKI42,2016,13976102.28
2016,UKI43,2016,6824501.76
2016,UKI44,2016,8258746.84
2016,UKI45,2016,1427595.0
2016,UKI53,2016,228125.0
2016,UKI54,2016,1597330.5
