year,nuts_id,nuts_year_spec,aps_econ_active_stem_associate_profs_data
2016,UKG12,2013,6100
2015,UKG12,2013,5100
2012,UKG12,2010,7100
2012,UKE21,2010,2300
2017,UKE21,2013,1300
2016,UKE21,2013,1800
2015,UKE21,2013,1200
2013,UKE21,2010,1600
2014,UKE21,2010,1700
2018,UKE21,2016,1900
