year,nuts_id,nuts_year_spec,aps_econ_active_stem_associate_profs_data
2010,UKC1,2010,7400.0
2011,UKC1,2010,9000.0
2012,UKC1,2010,11200.0
2013,UKC1,2013,9900.0
2014,UKC1,2013,12600.0
2015,UKC1,2013,11200.0
2016,UKC1,2016,10600.0
2017,UKC1,2016,11800.0
2018,UKC1,2016,10500.0
2019,UKC1,2016,12400.0
2010,UKC2,2010,10000.0
2011,UKC2,2010,11800.0
2012,UKC2,2010,10800.0
2013,UKC2,2013,10300.0
2014,UKC2,2013,11000.0
2015,UKC2,2013,12800.0
2016,UKC2,2016,11400.0
2017,UKC2,2016,10800.0
2018,UKC2,2016,12100.0
2019,UKC2,2016,13600.0
2010,UKD1,2010,5500.0
2011,UKD1,2010,5100.0
2012,UKD1,2010,5000.0
2013,UKD1,2013,4700.0
2014,UKD1,2013,6700.0
2015,UKD1,2013,5600.0
2016,UKD1,2016,5600.0
2017,UKD1,2016,5300.0
2018,UKD1,2016,5000.0
2019,UKD1,2016,3600.0
2010,UKD3,2010,19200.0
2011,UKD3,2010,18300.0
2012,UKD3,2010,19800.0
2013,UKD3,2013,19500.0
2014,UKD3,2013,18000.0
2015,UKD3,2013,17900.0
2016,UKD3,2016,21200.0
2017,UKD3,2016,24200.0
2018,UKD3,2016,25600.0
2019,UKD3,2016,23200.0
2010,UKD4,2010,10700.0
2011,UKD4,2010,10700.0
2012,UKD4,2010,8000.0
2013,UKD4,2013,9800.0
2014,UKD4,2013,7200.0
2015,UKD4,2013,9400.0
2016,UKD4,2016,7500.0
2017,UKD4,2016,12100.0
2018,UKD4,2016,14500.0
2019,UKD4,2016,10100.0
2010,UKD6,2010,8100.0
2011,UKD6,2010,9100.0
2012,UKD6,2010,12100.0
2013,UKD6,2013,8900.0
2014,UKD6,2013,6500.0
2015,UKD6,2013,8200.0
2016,UKD6,2016,8400.0
2017,UKD6,2016,9300.0
2018,UKD6,2016,9000.0
2019,UKD6,2016,8100.0
2010,UKD7,2010,11300.0
2011,UKD7,2010,13500.0
2012,UKD7,2010,12400.0
2013,UKD7,2013,12600.0
2014,UKD7,2013,12600.0
2015,UKD7,2013,11400.0
2016,UKD7,2016,12200.0
2017,UKD7,2016,13700.0
2018,UKD7,2016,13800.0
2019,UKD7,2016,11600.0
2010,UKE1,2010,6500.0
2011,UKE1,2010,6000.0
2012,UKE1,2010,5800.0
2013,UKE1,2013,5500.0
2014,UKE1,2013,7800.0
2015,UKE1,2013,8000.0
2016,UKE1,2016,10000.0
2017,UKE1,2016,11000.0
2018,UKE1,2016,10600.0
2019,UKE1,2016,8900.0
2010,UKE2,2010,6100.0
2011,UKE2,2010,6900.0
2012,UKE2,2010,8800.0
2013,UKE2,2013,6700.0
2014,UKE2,2013,6500.0
2015,UKE2,2013,5400.0
2016,UKE2,2016,7500.0
2017,UKE2,2016,5800.0
2018,UKE2,2016,7500.0
2019,UKE2,2016,8700.0
2010,UKE3,2010,10400.0
2011,UKE3,2010,8800.0
2012,UKE3,2010,7600.0
2013,UKE3,2013,10300.0
2014,UKE3,2013,10400.0
2015,UKE3,2013,12200.0
2016,UKE3,2016,8200.0
2017,UKE3,2016,11900.0
2018,UKE3,2016,9600.0
2019,UKE3,2016,12200.0
2010,UKE4,2010,18200.0
2011,UKE4,2010,17100.0
2012,UKE4,2010,19000.0
2013,UKE4,2013,19700.0
2014,UKE4,2013,15600.0
2015,UKE4,2013,17400.0
2016,UKE4,2016,18600.0
2017,UKE4,2016,18000.0
2018,UKE4,2016,23100.0
2019,UKE4,2016,21900.0
2010,UKF1,2010,18000.0
2011,UKF1,2010,16000.0
2012,UKF1,2010,17400.0
2013,UKF1,2013,22600.0
2014,UKF1,2013,17700.0
2015,UKF1,2013,21200.0
2016,UKF1,2016,21200.0
2017,UKF1,2016,25100.0
2018,UKF1,2016,22900.0
2019,UKF1,2016,25100.0
2010,UKF2,2010,13500.0
2011,UKF2,2010,15300.0
2012,UKF2,2010,12600.0
2013,UKF2,2013,15200.0
2014,UKF2,2013,13100.0
2015,UKF2,2013,18900.0
2016,UKF2,2016,22700.0
2017,UKF2,2016,23500.0
2018,UKF2,2016,21900.0
2019,UKF2,2016,25700.0
2010,UKF3,2010,7200.0
2011,UKF3,2010,6300.0
2012,UKF3,2010,4600.0
2013,UKF3,2013,7500.0
2014,UKF3,2013,5600.0
2015,UKF3,2013,2200.0
2016,UKF3,2016,3800.0
2017,UKF3,2016,3400.0
2018,UKF3,2016,6700.0
2019,UKF3,2016,5400.0
2010,UKG1,2010,9300.0
2011,UKG1,2010,7900.0
2012,UKG1,2010,15300.0
2013,UKG1,2013,10200.0
2014,UKG1,2013,9300.0
2015,UKG1,2013,10700.0
2016,UKG1,2016,12700.0
2017,UKG1,2016,10500.0
2018,UKG1,2016,9700.0
2019,UKG1,2016,13200.0
