year,lep_id,lep_year_spec,aps_econ_active_stem_profs_data
2010,E37000001,2021,15500.0
2011,E37000001,2021,15500.0
2012,E37000001,2021,11400.0
2013,E37000001,2021,13000.0
2014,E37000001,2021,15400.0
2015,E37000001,2021,17000.0
2016,E37000001,2021,16200.0
2017,E37000001,2021,16300.0
2018,E37000001,2021,18600.0
2019,E37000001,2021,17600.0
2010,E37000003,2021,28200.0
2011,E37000003,2021,22900.0
2012,E37000003,2021,32100.0
2013,E37000003,2021,31100.0
2014,E37000003,2021,32300.0
2015,E37000003,2021,27500.0
2016,E37000003,2021,26000.0
2017,E37000003,2021,28700.0
2018,E37000003,2021,31600.0
2019,E37000003,2021,34500.0
2010,E37000005,2021,8100.0
2011,E37000005,2021,5200.0
2012,E37000005,2021,3500.0
2013,E37000005,2021,6400.0
2014,E37000005,2021,10200.0
2015,E37000005,2021,6500.0
2016,E37000005,2021,10200.0
2017,E37000005,2021,6800.0
2018,E37000005,2021,11500.0
2019,E37000005,2021,7800.0
2010,E37000006,2021,24100.0
2011,E37000006,2021,21200.0
2012,E37000006,2021,21500.0
2013,E37000006,2021,22800.0
2014,E37000006,2021,28000.0
2015,E37000006,2021,32700.0
2016,E37000006,2021,31000.0
2017,E37000006,2021,30300.0
2018,E37000006,2021,32700.0
2019,E37000006,2021,39600.0
2010,E37000007,2021,10500.0
2011,E37000007,2021,8500.0
2012,E37000007,2021,8300.0
2013,E37000007,2021,9400.0
2014,E37000007,2021,8300.0
2015,E37000007,2021,8300.0
2016,E37000007,2021,10100.0
2017,E37000007,2021,10400.0
2018,E37000007,2021,10100.0
2019,E37000007,2021,9400.0
2010,E37000009,2021,15300.0
2011,E37000009,2021,17600.0
2012,E37000009,2021,20800.0
2013,E37000009,2021,19100.0
2014,E37000009,2021,16900.0
2015,E37000009,2021,18100.0
2016,E37000009,2021,17400.0
2017,E37000009,2021,13700.0
2018,E37000009,2021,17200.0
2019,E37000009,2021,19800.0
2010,E37000011,2021,19000.0
2011,E37000011,2021,19400.0
2012,E37000011,2021,16700.0
2013,E37000011,2021,15400.0
2014,E37000011,2021,22400.0
2015,E37000011,2021,19100.0
2016,E37000011,2021,21400.0
2017,E37000011,2021,22300.0
2018,E37000011,2021,20000.0
2019,E37000011,2021,19300.0
2010,E37000012,2021,36800.0
2011,E37000012,2021,35600.0
2012,E37000012,2021,35700.0
2013,E37000012,2021,35200.0
2014,E37000012,2021,40500.0
2015,E37000012,2021,42300.0
2016,E37000012,2021,43800.0
2017,E37000012,2021,40500.0
2018,E37000012,2021,52400.0
2019,E37000012,2021,47100.0
2010,E37000014,2021,14500.0
2011,E37000014,2021,12300.0
2012,E37000014,2021,19500.0
2013,E37000014,2021,14600.0
2014,E37000014,2021,17700.0
2015,E37000014,2021,16600.0
2016,E37000014,2021,17400.0
2017,E37000014,2021,18900.0
2018,E37000014,2021,15700.0
2019,E37000014,2021,19000.0
2010,E37000015,2021,52300.0
2011,E37000015,2021,50300.0
2012,E37000015,2021,56400.0
2013,E37000015,2021,56100.0
2014,E37000015,2021,59400.0
2015,E37000015,2021,65100.0
2016,E37000015,2021,62800.0
2017,E37000015,2021,59200.0
2018,E37000015,2021,65400.0
2019,E37000015,2021,77200.0
2010,E37000016,2021,26700.0
2011,E37000016,2021,28700.0
2012,E37000016,2021,31900.0
2013,E37000016,2021,24900.0
2014,E37000016,2021,34600.0
2015,E37000016,2021,37200.0
2016,E37000016,2021,28000.0
2017,E37000016,2021,33900.0
2018,E37000016,2021,38100.0
2019,E37000016,2021,41000.0
2010,E37000019,2021,28900.0
2011,E37000019,2021,27500.0
2012,E37000019,2021,29700.0
2013,E37000019,2021,30000.0
2014,E37000019,2021,27600.0
2015,E37000019,2021,26400.0
2016,E37000019,2021,26000.0
2017,E37000019,2021,27800.0
2018,E37000019,2021,33200.0
2019,E37000019,2021,27300.0
2010,E37000021,2021,15800.0
2011,E37000021,2021,17900.0
2012,E37000021,2021,23200.0
2013,E37000021,2021,27500.0
2014,E37000021,2021,24700.0
2015,E37000021,2021,28800.0
2016,E37000021,2021,24300.0
2017,E37000021,2021,26400.0
2018,E37000021,2021,22800.0
2019,E37000021,2021,24200.0
2010,E37000022,2021,23800.0
2011,E37000022,2021,27400.0
2012,E37000022,2021,20800.0
2013,E37000022,2021,24300.0
2014,E37000022,2021,27000.0
2015,E37000022,2021,35700.0
2016,E37000022,2021,29600.0
2017,E37000022,2021,29200.0
2018,E37000022,2021,32000.0
2019,E37000022,2021,33400.0
2010,E37000025,2021,29900.0
2011,E37000025,2021,32300.0
2012,E37000025,2021,29200.0
2013,E37000025,2021,30200.0
2014,E37000025,2021,36600.0
2015,E37000025,2021,36400.0
2016,E37000025,2021,40000.0
2017,E37000025,2021,39900.0
2018,E37000025,2021,38900.0
2019,E37000025,2021,50900.0
2010,E37000032,2021,18400.0
2011,E37000032,2021,21100.0
2012,E37000032,2021,26300.0
2013,E37000032,2021,24200.0
2014,E37000032,2021,18100.0
2015,E37000032,2021,21900.0
2016,E37000032,2021,22100.0
2017,E37000032,2021,22200.0
2018,E37000032,2021,28200.0
2019,E37000032,2021,29000.0
2010,E37000033,2021,19100.0
2011,E37000033,2021,22600.0
2012,E37000033,2021,20500.0
2013,E37000033,2021,21500.0
2014,E37000033,2021,24600.0
2015,E37000033,2021,23200.0
2016,E37000033,2021,23500.0
2017,E37000033,2021,22000.0
2018,E37000033,2021,17000.0
2019,E37000033,2021,21400.0
2010,E37000034,2021,10800.0
2011,E37000034,2021,10600.0
2012,E37000034,2021,11400.0
2013,E37000034,2021,12700.0
2014,E37000034,2021,10600.0
2015,E37000034,2021,11000.0
2016,E37000034,2021,13400.0
2017,E37000034,2021,12100.0
2018,E37000034,2021,12200.0
2019,E37000034,2021,10300.0
2010,E37000035,2021,40900.0
2011,E37000035,2021,39200.0
2012,E37000035,2021,40400.0
2013,E37000035,2021,43300.0
2014,E37000035,2021,47400.0
2015,E37000035,2021,51300.0
2016,E37000035,2021,56400.0
2017,E37000035,2021,46900.0
2018,E37000035,2021,48700.0
2019,E37000035,2021,52400.0
2010,E37000036,2021,13600.0
2011,E37000036,2021,11600.0
2012,E37000036,2021,12100.0
2013,E37000036,2021,13300.0
2014,E37000036,2021,14800.0
2015,E37000036,2021,13300.0
2016,E37000036,2021,13200.0
2017,E37000036,2021,16800.0
2018,E37000036,2021,16000.0
2019,E37000036,2021,16900.0
2010,E37000037,2021,34400.0
2011,E37000037,2021,34700.0
2012,E37000037,2021,38500.0
2013,E37000037,2021,38600.0
2014,E37000037,2021,45000.0
2015,E37000037,2021,42000.0
2016,E37000037,2021,40200.0
2017,E37000037,2021,47300.0
2018,E37000037,2021,43200.0
2019,E37000037,2021,47200.0
2010,E37000038,2021,12700.0
2011,E37000038,2021,15400.0
2012,E37000038,2021,13900.0
2013,E37000038,2021,13800.0
2014,E37000038,2021,18300.0
2015,E37000038,2021,12600.0
2016,E37000038,2021,17000.0
2017,E37000038,2021,15800.0
2018,E37000038,2021,14600.0
2019,E37000038,2021,11500.0
2010,E37000043,2021,19500.0
2011,E37000043,2021,19900.0
2012,E37000043,2021,16200.0
2013,E37000043,2021,17000.0
2014,E37000043,2021,20600.0
2015,E37000043,2021,17600.0
2016,E37000043,2021,18200.0
2017,E37000043,2021,19200.0
2018,E37000043,2021,17400.0
2019,E37000043,2021,15800.0
2010,E37000044,2021,42500.0
2011,E37000044,2021,38300.0
2012,E37000044,2021,40900.0
2013,E37000044,2021,43300.0
2014,E37000044,2021,42100.0
2015,E37000044,2021,41400.0
2016,E37000044,2021,49700.0
2017,E37000044,2021,52800.0
2018,E37000044,2021,55200.0
2019,E37000044,2021,48800.0
2010,E37000045,2021,40000.0
2011,E37000045,2021,48100.0
2012,E37000045,2021,37200.0
2013,E37000045,2021,47000.0
2014,E37000045,2021,48700.0
2015,E37000045,2021,64400.0
2016,E37000045,2021,50600.0
2017,E37000045,2021,50100.0
2018,E37000045,2021,50400.0
2019,E37000045,2021,54100.0
2010,E37000046,2021,55500.0
2011,E37000046,2021,56800.0
2012,E37000046,2021,70500.0
2013,E37000046,2021,61500.0
2014,E37000046,2021,57500.0
2015,E37000046,2021,70800.0
2016,E37000046,2021,75800.0
2017,E37000046,2021,72600.0
2018,E37000046,2021,66700.0
2019,E37000046,2021,70200.0
2010,E37000047,2021,36900.0
2011,E37000047,2021,41100.0
2012,E37000047,2021,42300.0
2013,E37000047,2021,41600.0
2014,E37000047,2021,39500.0
