year,lep_id,lep_year_spec,aps_econ_active_stem_profs_data
2015,E37000047,2021,46200.0
2016,E37000047,2021,45200.0
2017,E37000047,2021,38500.0
2018,E37000047,2021,52700.0
2019,E37000047,2021,51700.0
2010,E37000048,2021,45600.0
2011,E37000048,2021,38900.0
2012,E37000048,2021,40400.0
2013,E37000048,2021,40500.0
2014,E37000048,2021,41000.0
2015,E37000048,2021,35700.0
2016,E37000048,2021,41700.0
2017,E37000048,2021,40100.0
2018,E37000048,2021,37200.0
2019,E37000048,2021,42300.0
2010,E37000049,2021,18000.0
2011,E37000049,2021,13600.0
2012,E37000049,2021,13200.0
2013,E37000049,2021,14500.0
2014,E37000049,2021,12800.0
2015,E37000049,2021,14700.0
2016,E37000049,2021,15800.0
2017,E37000049,2021,14800.0
2018,E37000049,2021,16700.0
2019,E37000049,2021,16700.0
2010,E37000050,2021,56300.0
2011,E37000050,2021,49200.0
2012,E37000050,2021,54600.0
2013,E37000050,2021,59200.0
2014,E37000050,2021,54000.0
2015,E37000050,2021,58500.0
2016,E37000050,2021,65500.0
2017,E37000050,2021,59700.0
2018,E37000050,2021,61100.0
2019,E37000050,2021,67800.0
2010,E37000051,2021,237800.0
2011,E37000051,2021,223400.0
2012,E37000051,2021,240500.0
2013,E37000051,2021,244800.0
2014,E37000051,2021,263000.0
2015,E37000051,2021,274600.0
2016,E37000051,2021,296000.0
2017,E37000051,2021,289900.0
2018,E37000051,2021,322100.0
2019,E37000051,2021,344000.0
2010,E37000052,2021,31800.0
2011,E37000052,2021,31000.0
2012,E37000052,2021,33900.0
2013,E37000052,2021,29800.0
2014,E37000052,2021,32100.0
2015,E37000052,2021,31900.0
2016,E37000052,2021,39700.0
2017,E37000052,2021,36000.0
2018,E37000052,2021,35300.0
2019,E37000052,2021,38200.0
2010,E37000053,2021,31000.0
2011,E37000053,2021,35600.0
2012,E37000053,2021,31600.0
2013,E37000053,2021,30200.0
2014,E37000053,2021,35800.0
2015,E37000053,2021,42200.0
2016,E37000053,2021,36700.0
2017,E37000053,2021,24800.0
2018,E37000053,2021,35600.0
2019,E37000053,2021,44000.0
2010,E37000054,2021,19800.0
2011,E37000054,2021,21800.0
2012,E37000054,2021,25800.0
2013,E37000054,2021,26400.0
2014,E37000054,2021,23300.0
2015,E37000054,2021,22200.0
2016,E37000054,2021,23900.0
2017,E37000054,2021,32800.0
2018,E37000054,2021,36200.0
2019,E37000054,2021,30500.0
2010,E37000055,2021,29100.0
2011,E37000055,2021,32500.0
2012,E37000055,2021,32900.0
2013,E37000055,2021,30100.0
2014,E37000055,2021,32800.0
2015,E37000055,2021,31700.0
2016,E37000055,2021,30700.0
2017,E37000055,2021,33100.0
2018,E37000055,2021,33200.0
2019,E37000055,2021,37600.0
2010,E37000056,2021,81400.0
2011,E37000056,2021,80700.0
2012,E37000056,2021,78200.0
2013,E37000056,2021,81100.0
2014,E37000056,2021,85900.0
2015,E37000056,2021,93900.0
2016,E37000056,2021,85300.0
2017,E37000056,2021,87800.0
2018,E37000056,2021,97700.0
2019,E37000056,2021,101200.0
2010,E37000057,2021,42100.0
2011,E37000057,2021,38300.0
2012,E37000057,2021,43500.0
2013,E37000057,2021,42200.0
2014,E37000057,2021,46400.0
2015,E37000057,2021,42300.0
2016,E37000057,2021,52300.0
2017,E37000057,2021,51900.0
2018,E37000057,2021,51900.0
2019,E37000057,2021,51700.0
2010,E37000058,2021,13100.0
2011,E37000058,2021,13400.0
2012,E37000058,2021,18100.0
2013,E37000058,2021,19600.0
2014,E37000058,2021,15800.0
2015,E37000058,2021,17500.0
2016,E37000058,2021,19200.0
2017,E37000058,2021,18800.0
2018,E37000058,2021,16200.0
2019,E37000058,2021,17900.0
