year,lep_id,lep_year_spec,aps_pro_occupations_data
2017,E37000032,2017,16.0
2018,E37000032,2017,17.6
2013,E37000033,2017,19.3
2014,E37000033,2017,17.4
2015,E37000033,2017,17.7
2016,E37000033,2017,20.9
2017,E37000033,2017,20.9
2018,E37000033,2017,19.4
2013,E37000034,2017,17.3
2014,E37000034,2017,16.6
2015,E37000034,2017,17.9
2016,E37000034,2017,17.0
2017,E37000034,2017,18.2
2018,E37000034,2017,17.2
2013,E37000035,2017,23.2
2014,E37000035,2017,23.7
2015,E37000035,2017,24.2
2016,E37000035,2017,26.1
2017,E37000035,2017,23.8
2018,E37000035,2017,24.8
2013,E37000036,2017,17.1
2014,E37000036,2017,17.4
2015,E37000036,2017,15.6
2016,E37000036,2017,14.9
2017,E37000036,2017,16.0
2018,E37000036,2017,17.0
2013,E37000037,2017,23.4
2014,E37000037,2017,23.8
2015,E37000037,2017,24.8
2016,E37000037,2017,23.3
2017,E37000037,2017,26.0
2018,E37000037,2017,24.8
2013,E37000038,2017,19.9
2014,E37000038,2017,22.9
2015,E37000038,2017,18.6
2016,E37000038,2017,21.3
2017,E37000038,2017,21.3
2018,E37000038,2017,20.3
2013,E37000039,2017,20.0
2014,E37000039,2017,18.0
2015,E37000039,2017,18.8
2016,E37000039,2017,18.6
2017,E37000039,2017,19.1
2018,E37000039,2017,19.3
