year,nuts_id,nuts_year_spec,aps_pro_occupations_data
2010,UKC11,2010,15.8
2011,UKC11,2010,17.7
2012,UKC11,2010,18.4
2013,UKC11,2013,17.8
2014,UKC11,2013,18.1
2015,UKC11,2013,20.6
2016,UKC11,2016,18.8
2017,UKC11,2016,19.4
2018,UKC11,2016,18.1
2019,UKC11,2016,18.6
2010,UKC12,2010,15.1
2011,UKC12,2010,14.0
2012,UKC12,2010,14.8
2013,UKC12,2013,16.6
2014,UKC12,2013,14.9
2015,UKC12,2013,15.8
2016,UKC12,2016,15.2
2017,UKC12,2016,17.2
2018,UKC12,2016,16.4
2019,UKC12,2016,13.5
2010,UKC13,2010,19.0
2011,UKC13,2010,14.2
2012,UKC13,2010,13.1
2013,UKC13,2013,17.7
2014,UKC13,2013,16.8
2015,UKC13,2013,16.0
2016,UKC13,2016,16.4
2017,UKC13,2016,17.3
2018,UKC13,2016,17.0
2019,UKC13,2016,17.9
2010,UKC14,2010,15.6
2011,UKC14,2010,14.9
2012,UKC14,2010,13.8
2013,UKC14,2013,13.0
2014,UKC14,2013,17.7
2015,UKC14,2013,16.9
2016,UKC14,2016,19.0
2017,UKC14,2016,17.9
2018,UKC14,2016,16.5
2019,UKC14,2016,16.6
2010,UKC21,2010,19.1
2011,UKC21,2010,17.3
2012,UKC21,2010,16.2
2013,UKC21,2013,16.5
2014,UKC21,2013,15.9
2015,UKC21,2013,17.7
2016,UKC21,2016,18.6
2017,UKC21,2016,19.8
2018,UKC21,2016,19.8
2019,UKC21,2016,22.3
2010,UKC22,2010,17.0
2011,UKC22,2010,18.7
2012,UKC22,2010,18.7
2013,UKC22,2013,18.8
2014,UKC22,2013,18.4
2015,UKC22,2013,17.5
2016,UKC22,2016,19.3
2017,UKC22,2016,21.3
2018,UKC22,2016,22.1
2019,UKC22,2016,22.9
2010,UKC23,2010,14.0
2011,UKC23,2010,15.1
2012,UKC23,2010,13.7
2013,UKC23,2013,15.6
2014,UKC23,2013,13.1
2015,UKC23,2013,12.6
2016,UKC23,2016,11.9
2017,UKC23,2016,12.2
2018,UKC23,2016,13.0
2019,UKC23,2016,15.7
2010,UKD11,2010,15.8
2011,UKD11,2010,13.7
2012,UKD11,2010,16.3
2013,UKD11,2013,15.7
2014,UKD11,2013,15.5
2015,UKD11,2013,16.5
2016,UKD11,2016,18.6
2017,UKD11,2016,16.8
2018,UKD11,2016,21.3
2019,UKD11,2016,20.9
2010,UKD12,2010,17.7
2011,UKD12,2010,12.6
2012,UKD12,2010,17.0
2013,UKD12,2013,18.3
2014,UKD12,2013,13.5
2015,UKD12,2013,14.6
2016,UKD12,2016,12.5
2017,UKD12,2016,16.2
2018,UKD12,2016,16.0
2019,UKD12,2016,14.2
2010,UKD31,2010,19.8
2011,UKD31,2010,20.5
2012,UKD31,2010,20.4
2010,UKD32,2010,16.4
2011,UKD32,2010,16.4
2012,UKD32,2010,16.5
2013,UKD33,2013,23.4
2014,UKD33,2013,22.4
2015,UKD33,2013,23.1
2016,UKD33,2016,21.8
2017,UKD33,2016,19.7
2018,UKD33,2016,25.0
2019,UKD33,2016,28.5
2013,UKD34,2013,20.8
2014,UKD34,2013,21.3
2015,UKD34,2013,23.5
2016,UKD34,2016,23.4
2017,UKD34,2016,22.7
2018,UKD34,2016,21.5
2019,UKD34,2016,24.0
2013,UKD35,2013,20.1
2014,UKD35,2013,21.1
2015,UKD35,2013,19.7
2016,UKD35,2016,20.4
2017,UKD35,2016,19.4
2018,UKD35,2016,19.1
2019,UKD35,2016,21.9
2013,UKD36,2013,15.8
2014,UKD36,2013,14.4
2015,UKD36,2013,15.7
2016,UKD36,2016,17.1
2017,UKD36,2016,16.4
2018,UKD36,2016,17.9
2019,UKD36,2016,18.2
2013,UKD37,2013,16.0
2014,UKD37,2013,17.3
2015,UKD37,2013,17.3
2016,UKD37,2016,17.2
2017,UKD37,2016,15.9
2018,UKD37,2016,17.7
2019,UKD37,2016,17.9
2010,UKD41,2010,16.5
2011,UKD41,2010,14.9
2012,UKD41,2010,14.2
2013,UKD41,2013,17.9
2014,UKD41,2013,15.4
2015,UKD41,2013,16.3
2016,UKD41,2016,16.5
2017,UKD41,2016,16.2
2018,UKD41,2016,16.4
2019,UKD41,2016,15.4
2010,UKD42,2010,12.1
2011,UKD42,2010,12.8
2012,UKD42,2010,11.8
2013,UKD42,2013,12.4
2014,UKD42,2013,11.5
2015,UKD42,2013,14.4
2016,UKD42,2016,13.6
2017,UKD42,2016,11.6
2018,UKD42,2016,15.1
2019,UKD42,2016,13.2
2010,UKD43,2010,17.6
2011,UKD43,2010,17.1
2012,UKD43,2010,18.1
