year,nuts_id,nuts_year_spec,aps_nvq4_education_data
2012,UKC11,2010,30.7
2013,UKC11,2013,32.0
2014,UKC11,2013,35.6
2015,UKC11,2013,37.4
2016,UKC11,2016,39.0
2017,UKC11,2016,35.9
2018,UKC11,2016,37.3
2019,UKC11,2016,37.6
2012,UKC12,2010,28.2
2013,UKC12,2013,30.1
2014,UKC12,2013,28.7
2015,UKC12,2013,32.8
2016,UKC12,2016,32.3
2017,UKC12,2016,34.3
2018,UKC12,2016,34.2
2019,UKC12,2016,31.5
2012,UKC13,2010,29.2
2013,UKC13,2013,34.2
2014,UKC13,2013,33.8
2015,UKC13,2013,34.7
2016,UKC13,2016,36.0
2017,UKC13,2016,34.8
2018,UKC13,2016,36.5
2019,UKC13,2016,34.3
2012,UKC14,2010,28.5
2013,UKC14,2013,28.3
2014,UKC14,2013,31.0
2015,UKC14,2013,33.6
2016,UKC14,2016,36.0
2017,UKC14,2016,34.9
2018,UKC14,2016,33.5
2019,UKC14,2016,36.1
2012,UKC21,2010,32.2
2013,UKC21,2013,33.1
2014,UKC21,2013,32.3
2015,UKC21,2013,33.8
2016,UKC21,2016,34.7
2017,UKC21,2016,38.9
2018,UKC21,2016,35.8
2019,UKC21,2016,36.5
2012,UKC22,2010,35.0
2013,UKC22,2013,36.0
2014,UKC22,2013,35.5
2015,UKC22,2013,37.8
2016,UKC22,2016,38.9
2017,UKC22,2016,39.7
2018,UKC22,2016,40.1
2019,UKC22,2016,41.0
2012,UKC23,2010,25.3
2013,UKC23,2013,28.3
2014,UKC23,2013,26.1
2015,UKC23,2013,28.8
2016,UKC23,2016,29.3
2017,UKC23,2016,31.4
2018,UKC23,2016,28.2
2019,UKC23,2016,32.1
2012,UKD11,2010,28.3
2013,UKD11,2013,29.3
2014,UKD11,2013,30.5
2015,UKD11,2013,29.6
2016,UKD11,2016,35.1
2017,UKD11,2016,30.1
2018,UKD11,2016,34.8
2019,UKD11,2016,34.5
2012,UKD12,2010,38.6
2013,UKD12,2013,38.3
2014,UKD12,2013,34.1
2015,UKD12,2013,36.6
2016,UKD12,2016,33.4
2017,UKD12,2016,37.0
2018,UKD12,2016,34.3
2019,UKD12,2016,35.1
2012,UKD31,2010,40.5
2012,UKD32,2010,30.7
2013,UKD33,2013,47.4
2014,UKD33,2013,44.5
2015,UKD33,2013,47.2
2016,UKD33,2016,49.4
2017,UKD33,2016,47.3
2018,UKD33,2016,50.2
2019,UKD33,2016,52.7
2013,UKD34,2013,38.9
2014,UKD34,2013,42.6
2015,UKD34,2013,44.2
2016,UKD34,2016,45.9
2017,UKD34,2016,44.7
2018,UKD34,2016,44.9
2019,UKD34,2016,47.9
2013,UKD35,2013,37.3
2014,UKD35,2013,39.3
2015,UKD35,2013,35.3
2016,UKD35,2016,39.5
2017,UKD35,2016,39.8
2018,UKD35,2016,38.3
2019,UKD35,2016,41.9
2013,UKD36,2013,30.9
2014,UKD36,2013,29.5
