year,nuts_id,nuts_year_spec,aps_nvq4_education_data
2012,UKC1,2010,29.0
2013,UKC1,2013,30.2
2014,UKC1,2013,31.9
2015,UKC1,2013,34.4
2016,UKC1,2016,35.9
2017,UKC1,2016,35.0
2018,UKC1,2016,34.9
2019,UKC1,2016,35.3
2012,UKC2,2010,32.5
2013,UKC2,2013,33.8
2014,UKC2,2013,33.1
2015,UKC2,2013,35.3
2016,UKC2,2016,36.2
2017,UKC2,2016,37.9
2018,UKC2,2016,36.9
2019,UKC2,2016,38.4
2012,UKD1,2010,33.9
2013,UKD1,2013,34.2
2014,UKD1,2013,32.4
2015,UKD1,2013,33.3
2016,UKD1,2016,34.2
2017,UKD1,2016,33.8
2018,UKD1,2016,34.5
2019,UKD1,2016,34.8
2012,UKD3,2010,36.1
2013,UKD3,2013,36.8
2014,UKD3,2013,37.2
2015,UKD3,2013,38.6
2016,UKD3,2016,40.5
2017,UKD3,2016,40.2
2018,UKD3,2016,40.8
2019,UKD3,2016,42.1
2012,UKD4,2010,34.9
2013,UKD4,2013,32.8
2014,UKD4,2013,32.7
2015,UKD4,2013,34.6
2016,UKD4,2016,36.8
2017,UKD4,2016,35.6
2018,UKD4,2016,39.1
2019,UKD4,2016,37.8
2012,UKD6,2010,38.8
2013,UKD6,2013,42.6
2014,UKD6,2013,42.0
2015,UKD6,2013,44.2
2016,UKD6,2016,44.1
2017,UKD6,2016,48.9
2018,UKD6,2016,47.4
2019,UKD6,2016,46.5
2012,UKD7,2010,30.3
2013,UKD7,2013,32.3
2014,UKD7,2013,32.7
2015,UKD7,2013,34.0
2016,UKD7,2016,36.8
2017,UKD7,2016,36.5
2018,UKD7,2016,38.2
2019,UKD7,2016,40.6
2012,UKE1,2010,29.3
2013,UKE1,2013,29.0
2014,UKE1,2013,30.4
2015,UKE1,2013,31.5
2016,UKE1,2016,33.8
2017,UKE1,2016,32.6
2018,UKE1,2016,29.8
2019,UKE1,2016,32.8
2012,UKE2,2010,40.6
2013,UKE2,2013,42.3
2014,UKE2,2013,40.8
2015,UKE2,2013,41.1
2016,UKE2,2016,40.2
2017,UKE2,2016,41.8
2018,UKE2,2016,45.2
2019,UKE2,2016,44.6
2012,UKE3,2010,31.9
2013,UKE3,2013,32.2
2014,UKE3,2013,32.2
2015,UKE3,2013,32.7
2016,UKE3,2016,35.2
2017,UKE3,2016,37.0
2018,UKE3,2016,37.8
2019,UKE3,2016,39.7
2012,UKE4,2010,34.0
2013,UKE4,2013,33.6
2014,UKE4,2013,34.0
2015,UKE4,2013,35.1
2016,UKE4,2016,34.6
2017,UKE4,2016,36.7
2018,UKE4,2016,37.7
2019,UKE4,2016,38.2
2012,UKF1,2010,33.2
2013,UKF1,2013,33.5
2014,UKF1,2013,35.3
2015,UKF1,2013,37.9
2016,UKF1,2016,36.1
2017,UKF1,2016,35.8
2018,UKF1,2016,37.8
2019,UKF1,2016,38.1
2012,UKF2,2010,31.9
2013,UKF2,2013,34.6
2014,UKF2,2013,35.1
2015,UKF2,2013,35.2
2016,UKF2,2016,35.6
2017,UKF2,2016,37.6
2018,UKF2,2016,38.5
2019,UKF2,2016,39.0
2012,UKF3,2010,28.8
2013,UKF3,2013,29.9
2014,UKF3,2013,28.3
2015,UKF3,2013,30.9
2016,UKF3,2016,31.1
2017,UKF3,2016,31.7
2018,UKF3,2016,33.1
2019,UKF3,2016,33.2
2012,UKG1,2010,37.4
2013,UKG1,2013,38.9
2014,UKG1,2013,39.0
2015,UKG1,2013,42.1
2016,UKG1,2016,41.1
2017,UKG1,2016,40.5
2018,UKG1,2016,40.2
2019,UKG1,2016,42.4
2012,UKG2,2010,29.5
2013,UKG2,2013,30.9
2014,UKG2,2013,31.4
