year,nuts_id,nuts_year_spec,mean_ref_stem
2014,UKH1,2013,3.35
2014,UKJ1,2013,3.26
2014,UKI3,2013,3.25
2014,UKL2,2013,3.15
2014,UKK1,2013,3.15
2014,UKM2,2013,3.14
2014,UKJ3,2013,3.13
2014,UKE3,2013,3.12
2014,UKE2,2013,3.12
2014,UKC1,2013,3.1
2014,UKD3,2013,3.09
2014,UKG3,2013,3.07
2014,UKD7,2013,3.04
2014,UKM3,2013,3.03
2014,UKF1,2013,3.01
2014,UKE4,2013,3.0
2014,UKK4,2013,3.0
2014,UKD4,2013,2.98
2014,UKJ2,2013,2.98
2014,UKM5,2013,2.97
2014,UKC2,2013,2.95
2014,UKN0,2013,2.95
2014,UKL1,2013,2.92
2014,UKI4,2013,2.92
2014,UKM6,2013,2.91
2014,UKF2,2013,2.85
2014,UKJ4,2013,2.84
2014,UKE1,2013,2.83
2014,UKH2,2013,2.83
2014,UKG2,2013,2.67
2014,UKI7,2013,2.59
2014,UKF3,2013,2.55
2014,UKH3,2013,2.51
2014,UKI5,2013,2.47
2014,UKI6,2013,2.44
2014,UKK2,2013,2.31
2014,UKG1,2013,2.24
2014,UKD6,2013,1.76
