year,nuts_id,nuts_year_spec,ashe_mean_salary
2019,UKC1,2018,31976
2019,UKC2,2018,32795
2019,UKD1,2018,34006
2019,UKD3,2018,32861
2019,UKD4,2018,32471
2019,UKD6,2018,38717
2019,UKD7,2018,32582
2019,UKE1,2018,32072
2019,UKE2,2018,37332
2019,UKE3,2018,31799
2019,UKE4,2018,32522
2019,UKF1,2018,33446
2019,UKF2,2018,33875
2019,UKF3,2018,31386
2019,UKG1,2018,32073
2019,UKG2,2018,33224
2019,UKG3,2018,33040
2019,UKH1,2018,35815
2019,UKH2,2018,42462
2019,UKH3,2018,41541
2019,UKI3,2018,55072
2019,UKI4,2018,50838
2019,UKI5,2018,42570
2019,UKI6,2018,48140
2019,UKI7,2018,44523
2019,UKJ1,2018,39196
2019,UKJ2,2018,42960
2019,UKJ3,2018,38634
2019,UKJ4,2018,40130
2019,UKK1,2018,36953
2019,UKK2,2018,34667
2019,UKK3,2018,28809
2019,UKK4,2018,30047
2019,UKL1,2018,30387
2019,UKL2,2018,33972
2019,UKM5,2018,39261
2019,UKM6,2018,32843
2019,UKM7,2018,34306
2019,UKM8,2018,34841
2019,UKM9,2018,33673
