year,nuts_id,nuts_year_spec,travel_to_airport_time
2011,UKC11,2010,19.1
2013,UKC11,2013,18.99
2011,UKC12,2010,23.79
2013,UKC12,2013,23.67
2011,UKC13,2010,12.24
2013,UKC13,2013,11.96
2011,UKC14,2010,31.55
2013,UKC14,2013,31.56
2013,UKC21,2013,29.18
2011,UKC21,2010,28.89
2011,UKC22,2010,19.99
2013,UKC22,2013,20.06
2011,UKC23,2010,34.2
2013,UKC23,2013,34.16
2011,UKD11,2010,105.04
2013,UKD11,2013,105.2
2013,UKD12,2013,67.82
2011,UKD12,2010,67.82
2011,UKD31,2010,19.25
2011,UKD32,2010,36.6
2013,UKD33,2013,17.12
2013,UKD34,2013,18.12
2013,UKD35,2013,21.64
2013,UKD36,2013,36.64
2013,UKD37,2013,36.57
2013,UKD41,2013,36.39
2011,UKD41,2010,36.59
2011,UKD42,2010,10.97
2013,UKD42,2013,10.97
2011,UKD43,2010,36.15
2013,UKD44,2013,36.7
2013,UKD45,2013,26.3
2013,UKD46,2013,46.82
2013,UKD47,2013,36.21
2013,UKD61,2013,24.19
2011,UKD61,2010,24.24
2011,UKD62,2010,33.53
2013,UKD62,2013,33.38
2011,UKD63,2010,35.03
2013,UKD63,2013,35.09
2011,UKD71,2010,21.65
2013,UKD71,2013,21.69
2013,UKD72,2013,19.71
2011,UKD72,2010,19.93
2013,UKD73,2013,38.18
2011,UKD73,2010,38.09
2011,UKD74,2010,38.73
2013,UKD74,2013,38.78
2013,UKE11,2013,32.92
2011,UKE11,2010,32.8
2013,UKE12,2013,41.95
2011,UKE12,2010,41.69
2013,UKE13,2013,19.85
2011,UKE13,2010,19.83
2013,UKE21,2013,50.25
2011,UKE21,2010,50.27
2013,UKE22,2013,45.07
2011,UKE22,2010,44.79
2011,UKE31,2010,33.47
2013,UKE31,2013,33.39
2013,UKE32,2013,47.71
2011,UKE32,2010,47.58
2013,UKE41,2013,23.98
2011,UKE41,2010,23.97
2013,UKE42,2013,23.0
2011,UKE42,2010,22.89
2011,UKE44,2010,46.93
2013,UKE44,2013,46.98
2013,UKE45,2013,43.52
2011,UKE45,2010,43.52
2013,UKF11,2013,24.66
2011,UKF11,2010,24.55
2011,UKF12,2010,44.1
2013,UKF12,2013,44.11
2011,UKF13,2010,34.44
2013,UKF13,2013,34.56
2013,UKF14,2013,29.33
2011,UKF14,2010,29.35
2011,UKF15,2010,35.95
2013,UKF15,2013,35.83
2013,UKF16,2013,31.87
2011,UKF16,2010,31.77
2011,UKF21,2010,30.79
2013,UKF21,2013,30.96
2011,UKF22,2010,30.4
2013,UKF22,2013,30.39
2011,UKF24,2010,53.05
2013,UKF24,2013,53.2
2011,UKF25,2010,61.79
2013,UKF25,2013,61.88
2013,UKF30,2013,58.82
2011,UKF30,2010,58.59
2013,UKG11,2013,57.66
2011,UKG11,2010,57.66
2013,UKG12,2013,35.56
2011,UKG12,2010,35.47
2011,UKG13,2010,28.84
2013,UKG13,2013,28.83
2011,UKG21,2010,54.88
2013,UKG21,2013,54.88
2013,UKG22,2013,69.16
2011,UKG22,2010,69.3
2013,UKG23,2013,50.95
2011,UKG23,2010,50.96
2013,UKG24,2013,39.71
2011,UKG24,2010,39.7
2011,UKG31,2010,23.9
2013,UKG31,2013,23.9
2011,UKG32,2010,13.05
2013,UKG32,2013,12.95
2013,UKG33,2013,20.03
2011,UKG33,2010,20.07
2013,UKG36,2013,46.86
2011,UKG36,2010,46.87
2013,UKG37,2013,35.37
2011,UKG37,2010,35.35
2011,UKG38,2010,34.76
2013,UKG38,2013,34.66
2013,UKG39,2013,45.02
2011,UKG39,2010,45.03
2013,UKH11,2013,75.71
2011,UKH11,2010,75.59
2013,UKH12,2013,49.95
2011,UKH12,2010,49.79
2011,UKH13,2010,34.02
2011,UKH14,2010,58.32
2013,UKH14,2013,58.23
2013,UKH15,2013,21.98
2013,UKH16,2013,50.87
2013,UKH17,2013,35.11
2011,UKH21,2010,12.96
2013,UKH21,2013,12.96
2011,UKH23,2010,27.03
2013,UKH23,2013,27.03
2011,UKH24,2010,47.15
2013,UKH24,2013,47.11
2013,UKH25,2013,31.19
2011,UKH25,2010,31.35
2013,UKH31,2013,9.45
2011,UKH31,2010,9.5
2013,UKH32,2013,35.84
2011,UKH32,2010,35.86
2011,UKH33,2010,32.64
2013,UKH34,2013,45.73
2013,UKH35,2013,22.6
2013,UKH36,2013,33.14
2013,UKH37,2013,23.4
2011,UKI11,2010,34.11
2011,UKI12,2010,27.61
2011,UKI21,2010,28.74
2011,UKI22,2010,39.98
2011,UKI23,2010,26.35
2013,UKI31,2013,37.51
2013,UKI32,2013,34.28
2013,UKI33,2013,27.12
2013,UKI34,2013,39.98
2013,UKI41,2013,17.56
2013,UKI42,2013,14.39
2013,UKI43,2013,33.93
2013,UKI44,2013,30.63
2013,UKI45,2013,40.02
2013,UKI51,2013,35.48
2013,UKI52,2013,26.95
2013,UKI53,2013,22.4
2013,UKI54,2013,31.64
2013,UKI61,2013,44.03
2013,UKI62,2013,38.54
2013,UKI63,2013,38.58
2013,UKI71,2013,35.04
2013,UKI72,2013,36.03
2013,UKI73,2013,22.89
2013,UKI74,2013,24.96
2013,UKI75,2013,16.97
2013,UKJ11,2013,34.11
2011,UKJ11,2010,34.07
2013,UKJ12,2013,46.6
2011,UKJ12,2010,46.57
2013,UKJ13,2013,37.64
2011,UKJ13,2010,37.88
2011,UKJ14,2010,53.82
2013,UKJ14,2013,53.84
2011,UKJ21,2010,19.06
2013,UKJ21,2013,19.04
2013,UKJ22,2013,51.28
2011,UKJ22,2010,51.28
2011,UKJ23,2010,27.37
2011,UKJ24,2010,25.12
2013,UKJ25,2013,28.57
2013,UKJ26,2013,24.89
2013,UKJ27,2013,29.36
2013,UKJ28,2013,19.92
2011,UKJ31,2010,28.19
2013,UKJ31,2013,28.21
2011,UKJ32,2010,11.71
2013,UKJ32,2013,11.85
2011,UKJ33,2010,26.94
2013,UKJ35,2013,22.69
2013,UKJ36,2013,25.0
2013,UKJ37,2013,34.58
2013,UKJ41,2013,48.29
2011,UKJ41,2010,48.32
2011,UKJ42,2010,39.65
2013,UKJ43,2013,45.42
2013,UKJ44,2013,25.18
2013,UKJ45,2013,51.61
2013,UKJ46,2013,45.72
2013,UKK11,2013,22.39
2011,UKK11,2010,22.35
2013,UKK12,2013,30.55
2011,UKK12,2010,30.48
2011,UKK13,2010,23.12
2013,UKK13,2013,23.18
2013,UKK14,2013,43.89
2011,UKK14,2010,43.96
2013,UKK15,2013,52.76
2011,UKK15,2010,52.82
2013,UKK21,2013,16.04
2011,UKK21,2010,16.1
2013,UKK22,2013,39.14
2011,UKK22,2010,39.77
2011,UKK23,2010,42.34
2013,UKK23,2013,42.16
2013,UKK30,2013,37.48
2011,UKK30,2010,37.58
2013,UKK41,2013,49.77
2011,UKK41,2010,49.74
2013,UKK42,2013,40.07
2011,UKK42,2010,40.07
2011,UKK43,2010,34.47
2013,UKK43,2013,34.72
2013,UKL11,2013,125.99
2011,UKL11,2010,125.76
2013,UKL12,2013,118.57
2011,UKL12,2010,120.11
2011,UKL13,2010,72.67
2013,UKL13,2013,72.59
2013,UKL14,2013,96.68
2011,UKL14,2010,97.15
2013,UKL15,2013,34.33
2011,UKL15,2010,34.31
2011,UKL16,2010,38.68
2013,UKL16,2013,38.68
2011,UKL17,2010,37.87
2013,UKL17,2013,37.83
2011,UKL18,2010,51.57
2013,UKL18,2013,51.58
2011,UKL21,2010,38.39
2013,UKL21,2013,38.15
2013,UKL22,2013,15.67
2011,UKL22,2010,15.66
2011,UKL23,2010,48.7
2013,UKL23,2013,48.39
2011,UKL24,2010,92.66
2013,UKL24,2013,95.85
