year,nuts_id,nuts_year_spec,travel_to_rail_time
2011,UKC1,2010,16.29
2013,UKC1,2013,16.36
2013,UKC2,2013,20.71
2011,UKC2,2010,20.69
2013,UKD1,2013,40.72
2011,UKD1,2010,40.91
2013,UKD3,2013,15.14
2011,UKD3,2010,15.11
2013,UKD4,2013,16.02
2011,UKD4,2010,16.03
2013,UKD6,2013,13.17
2011,UKD6,2010,13.11
2013,UKD7,2013,16.76
2011,UKD7,2010,16.62
2013,UKE1,2013,26.73
2011,UKE1,2010,26.6
2013,UKE2,2013,19.96
2011,UKE2,2010,19.94
2011,UKE3,2010,17.36
2013,UKE3,2013,17.45
2013,UKE4,2013,15.64
2011,UKE4,2010,15.55
2011,UKF1,2010,17.98
2013,UKF1,2013,18.07
2011,UKF2,2010,17.32
2013,UKF2,2013,17.4
2011,UKF3,2010,29.13
2013,UKF3,2013,29.15
2011,UKG1,2010,17.89
2013,UKG1,2013,17.95
2013,UKG2,2013,20.19
2011,UKG2,2010,20.2
2013,UKG3,2013,16.35
2011,UKG3,2010,16.15
2013,UKH1,2013,27.09
2011,UKH1,2010,27.08
2013,UKH2,2013,14.0
2011,UKH2,2010,14.01
2013,UKH3,2013,15.12
2011,UKH3,2010,15.13
2011,UKI1,2010,10.48
2011,UKI2,2010,13.5
2013,UKI3,2013,8.12
2013,UKI4,2013,11.92
2013,UKI5,2013,14.86
2013,UKI6,2013,11.3
2013,UKI7,2013,13.72
2011,UKJ1,2010,15.66
2013,UKJ1,2013,15.65
2011,UKJ2,2010,16.75
2013,UKJ2,2013,16.74
2011,UKJ3,2010,15.08
2013,UKJ3,2013,15.03
2011,UKJ4,2010,14.31
2013,UKJ4,2013,14.41
2013,UKK1,2013,17.31
2011,UKK1,2010,17.26
2013,UKK2,2013,21.96
2011,UKK2,2010,22.06
2013,UKK3,2013,26.03
2011,UKK3,2010,26.35
2011,UKK4,2010,25.5
2013,UKK4,2013,25.6
2013,UKL1,2013,27.28
2011,UKL1,2010,27.58
2011,UKL2,2010,17.14
2013,UKL2,2013,16.8
