year,nuts_id,nuts_year_spec,travel_time_to_airport
2011,UKC11,2010,19.1
2013,UKC11,2013,19.34
2013,UKC12,2013,23.78
2011,UKC12,2010,23.79
2011,UKC13,2010,12.24
2013,UKC13,2013,12.72
2013,UKC14,2013,31.15
2011,UKC14,2010,31.55
2013,UKC21,2013,28.02
2011,UKC21,2010,28.89
2011,UKC22,2010,19.99
2013,UKC22,2013,19.88
2011,UKC23,2010,34.2
2013,UKC23,2013,32.81
2011,UKD11,2010,105.04
2013,UKD11,2013,105.46
2011,UKD12,2010,67.82
2013,UKD12,2013,67.26
2011,UKD31,2010,19.25
2011,UKD32,2010,36.6
2013,UKD33,2013,17.54
2013,UKD34,2013,18.37
2013,UKD35,2013,22.19
2013,UKD36,2013,36.2
2013,UKD37,2013,37.62
2011,UKD41,2010,36.59
2013,UKD41,2013,36.56
2013,UKD42,2013,11.38
2011,UKD42,2010,10.97
2011,UKD43,2010,36.15
2013,UKD44,2013,37.05
2013,UKD45,2013,26.39
2013,UKD46,2013,46.8
2013,UKD47,2013,35.35
2011,UKD61,2010,24.24
2013,UKD61,2013,22.84
2011,UKD62,2010,33.53
2013,UKD62,2013,33.27
2013,UKD63,2013,33.54
2011,UKD63,2010,35.03
2013,UKD71,2013,20.33
2011,UKD71,2010,21.65
2013,UKD72,2013,19.34
2011,UKD72,2010,19.93
2013,UKD73,2013,36.77
2011,UKD73,2010,38.09
2013,UKD74,2013,38.75
2011,UKD74,2010,38.73
2011,UKE11,2010,32.8
2013,UKE11,2013,33.94
2013,UKE12,2013,42.67
2011,UKE12,2010,41.69
2011,UKE13,2010,19.83
2013,UKE13,2013,19.97
2013,UKE21,2013,51.67
2011,UKE21,2010,50.27
2011,UKE22,2010,44.79
2013,UKE22,2013,45.67
2011,UKE31,2010,33.47
2013,UKE31,2013,35.28
2011,UKE32,2010,47.58
2013,UKE32,2013,50.64
2011,UKE41,2010,23.97
2013,UKE41,2013,24.94
2011,UKE42,2010,22.89
2013,UKE42,2013,23.59
2011,UKE44,2010,46.93
2013,UKE44,2013,48.57
2013,UKE45,2013,44.47
2011,UKE45,2010,43.52
2013,UKF11,2013,23.47
2011,UKF11,2010,24.55
2013,UKF12,2013,44.52
2011,UKF12,2010,44.1
2013,UKF13,2013,33.7
2011,UKF13,2010,34.44
2011,UKF14,2010,29.35
2013,UKF14,2013,28.33
2013,UKF15,2013,36.53
2011,UKF15,2010,35.95
2011,UKF16,2010,31.77
2013,UKF16,2013,30.7
2011,UKF21,2010,30.79
2013,UKF21,2013,29.96
2011,UKF22,2010,30.4
2013,UKF22,2013,28.49
2011,UKF24,2010,53.05
2013,UKF24,2013,50.59
2011,UKF25,2010,61.79
2013,UKF25,2013,59.39
2013,UKF30,2013,57.38
2011,UKF30,2010,58.59
2011,UKG11,2010,57.66
2013,UKG11,2013,58.14
2013,UKG12,2013,36.88
2011,UKG12,2010,35.47
2011,UKG13,2010,28.84
2013,UKG13,2013,28.78
2013,UKG21,2013,54.85
2011,UKG21,2010,54.88
2011,UKG22,2010,69.3
2013,UKG22,2013,69.33
2011,UKG23,2010,50.96
2013,UKG23,2013,50.52
2013,UKG24,2013,39.44
