year,nuts_id,nuts_year_spec,travel_time_to_airport
2011,UKC1,2010,25.08
2013,UKC1,2013,24.98
2013,UKC2,2013,24.24
2011,UKC2,2010,24.83
2013,UKD1,2013,86.01
2011,UKD1,2010,86.14
2013,UKD3,2013,27.55
2011,UKD3,2010,27.43
2013,UKD4,2013,33.59
2011,UKD4,2010,33.67
2013,UKD6,2013,31.06
2011,UKD6,2010,32.04
2013,UKD7,2013,27.01
2011,UKD7,2010,27.92
2013,UKE1,2013,32.12
2011,UKE1,2010,31.39
2013,UKE2,2013,47.14
2011,UKE2,2010,46.11
2013,UKE3,2013,41.49
2011,UKE3,2010,39.13
2013,UKE4,2013,34.0
2011,UKE4,2010,33.03
2013,UKF1,2013,33.37
2011,UKF1,2010,33.85
2013,UKF2,2013,39.45
2011,UKF2,2010,41.16
2013,UKF3,2013,57.38
2011,UKF3,2010,58.59
2013,UKG1,2013,36.56
2011,UKG1,2010,35.95
2013,UKG2,2013,48.75
2011,UKG2,2010,48.95
2013,UKG3,2013,30.86
2011,UKG3,2010,29.68
2011,UKH1,2010,48.38
2013,UKH1,2013,40.91
2013,UKH2,2013,27.63
2011,UKH2,2010,28.01
2013,UKH3,2013,29.6
2011,UKH3,2010,30.6
2011,UKI1,2010,29.88
2011,UKI2,2010,30.75
2013,UKI3,2013,36.67
2013,UKI4,2013,29.05
2013,UKI5,2013,29.57
2013,UKI6,2013,39.62
2013,UKI7,2013,28.04
2013,UKJ1,2013,41.25
2011,UKJ1,2010,41.93
2011,UKJ2,2010,30.5
2013,UKJ2,2013,30.02
2013,UKJ3,2013,26.22
2011,UKJ3,2010,25.04
2011,UKJ4,2010,41.01
2013,UKJ4,2013,40.8
2013,UKK1,2013,33.34
2011,UKK1,2010,32.69
2013,UKK2,2013,33.87
2011,UKK2,2010,34.81
2011,UKK3,2010,37.58
2013,UKK3,2013,37.49
2013,UKK4,2013,39.05
2011,UKK4,2010,38.59
2011,UKL1,2010,62.33
2011,UKL2,2010,38.07
