year,nuts_id,nuts_year_spec,travel_mean_time_to_road_junctions
2011,UKC1,2010,14.98
2013,UKC1,2013,15.4
2013,UKC2,2013,17.35
2011,UKC2,2010,17.76
2013,UKD1,2013,38.66
2011,UKD1,2010,37.62
2013,UKD3,2013,12.3
2011,UKD3,2010,11.61
2013,UKD4,2013,21.14
2011,UKD4,2010,20.25
2013,UKD6,2013,17.76
2011,UKD6,2010,17.65
2013,UKD7,2013,12.2
2011,UKD7,2010,11.78
2013,UKE1,2013,20.91
2011,UKE1,2010,19.85
2013,UKE2,2013,30.69
2011,UKE2,2010,28.64
2013,UKE3,2013,16.37
2011,UKE3,2010,15.27
2013,UKE4,2013,19.55
2011,UKE4,2010,18.11
2013,UKF1,2013,23.94
2011,UKF1,2010,22.08
2013,UKF2,2013,17.5
2011,UKF2,2010,17.06
2013,UKF3,2013,38.01
2011,UKF3,2010,36.81
2013,UKG1,2013,22.73
2011,UKG1,2010,22.34
2013,UKG2,2013,26.04
2011,UKG2,2010,25.15
2013,UKG3,2013,16.24
2011,UKG3,2010,15.3
2011,UKH1,2010,38.13
2013,UKH1,2013,38.31
2013,UKH2,2013,20.07
2011,UKH2,2010,20.88
2013,UKH3,2013,21.17
2011,UKH3,2010,21.9
2011,UKI1,2010,27.78
2011,UKI2,2010,20.3
2013,UKI3,2013,27.78
2013,UKI4,2013,29.75
2013,UKI5,2013,19.49
2013,UKI6,2013,27.76
2013,UKI7,2013,17.1
2013,UKJ1,2013,20.11
2011,UKJ1,2010,18.81
2011,UKJ2,2010,29.6
2013,UKJ2,2013,31.01
2013,UKJ3,2013,15.82
2011,UKJ3,2010,15.42
2011,UKJ4,2010,18.04
2013,UKJ4,2013,19.0
2013,UKK1,2013,25.62
2011,UKK1,2010,22.94
2013,UKK2,2013,40.21
2011,UKK2,2010,39.61
2011,UKK3,2010,94.85
2013,UKK3,2013,92.75
2013,UKK4,2013,40.46
2011,UKK4,2010,40.54
2011,UKL1,2010,70.76
2011,UKL2,2010,37.92
