year,nuts_id,nuts_year_spec,travel_to_rail_time
2011,UKC11,2010,16.28
2013,UKC11,2013,16.11
2011,UKC12,2010,14.01
2013,UKC12,2013,13.95
2011,UKC13,2010,6.73
2013,UKC13,2013,6.69
2011,UKC14,2010,19.43
2013,UKC14,2013,19.53
2013,UKC21,2013,30.82
2011,UKC21,2010,30.76
2011,UKC22,2010,16.7
2013,UKC22,2013,16.76
2011,UKC23,2010,21.39
2013,UKC23,2013,21.37
2011,UKD11,2010,56.43
2013,UKD11,2013,56.24
2013,UKD12,2013,25.86
2011,UKD12,2010,25.86
2011,UKD31,2010,12.69
2011,UKD32,2010,17.83
2013,UKD33,2013,9.3
2013,UKD34,2013,13.32
2013,UKD35,2013,15.06
2013,UKD36,2013,12.07
2013,UKD37,2013,23.15
2013,UKD41,2013,8.23
2011,UKD41,2010,8.49
2011,UKD42,2010,7.31
2013,UKD42,2013,7.31
2011,UKD43,2010,18.02
2013,UKD44,2013,16.41
2013,UKD45,2013,13.96
2013,UKD46,2013,21.5
2013,UKD47,2013,21.72
2013,UKD61,2013,9.9
2011,UKD61,2010,9.8
2011,UKD62,2010,12.24
2013,UKD62,2013,12.21
2011,UKD63,2010,16.03
2013,UKD63,2013,16.1
2011,UKD71,2010,15.11
2013,UKD71,2013,15.07
2013,UKD72,2013,11.53
2011,UKD72,2010,11.35
2013,UKD73,2013,26.08
2011,UKD73,2010,25.98
2011,UKD74,2010,17.57
2013,UKD74,2013,17.61
2013,UKE11,2013,11.96
2011,UKE11,2010,11.88
2013,UKE12,2013,27.0
2011,UKE12,2010,26.8
2013,UKE13,2013,37.9
2011,UKE13,2010,37.92
2013,UKE21,2013,12.09
2011,UKE21,2010,11.96
2013,UKE22,2013,22.45
2011,UKE22,2010,22.47
2011,UKE31,2010,19.55
2013,UKE31,2013,19.54
2013,UKE32,2013,14.23
2011,UKE32,2010,14.1
2013,UKE41,2013,15.27
2011,UKE41,2010,15.16
2013,UKE42,2013,15.1
2011,UKE42,2010,14.91
2011,UKE44,2010,16.27
2013,UKE44,2013,16.23
2013,UKE45,2013,16.23
2011,UKE45,2010,16.23
2013,UKF11,2013,9.93
2011,UKF11,2010,9.86
2011,UKF12,2010,13.87
2013,UKF12,2013,13.9
2011,UKF13,2010,22.98
2013,UKF13,2013,22.98
2013,UKF14,2013,12.95
2011,UKF14,2010,12.51
2011,UKF15,2010,23.92
2013,UKF15,2013,23.98
2013,UKF16,2013,16.4
2011,UKF16,2010,16.53
2011,UKF21,2010,9.58
2013,UKF21,2013,9.65
2011,UKF22,2010,18.42
2013,UKF22,2013,18.55
2011,UKF24,2010,12.03
2013,UKF24,2013,12.17
2011,UKF25,2010,28.83
2013,UKF25,2013,28.78
2013,UKF30,2013,29.15
2011,UKF30,2010,29.13
2013,UKG11,2013,19.2
2011,UKG11,2010,19.2
2013,UKG12,2013,22.94
2011,UKG12,2010,22.84
2011,UKG13,2010,12.05
2013,UKG13,2013,12.07
2011,UKG21,2010,24.79
2013,UKG21,2013,24.79
2013,UKG22,2013,24.59
2011,UKG22,2010,24.72
2013,UKG23,2013,10.41
2011,UKG23,2010,10.34
2013,UKG24,2013,20.61
2011,UKG24,2010,20.59
2011,UKG31,2010,14.62
2013,UKG31,2013,14.98
2011,UKG32,2010,12.52
2013,UKG32,2013,12.42
2013,UKG33,2013,8.88
2011,UKG33,2010,8.97
