year,nuts_id,nuts_year_spec,Mean
2016,UKC1,2016,25.02
2016,UKC2,2016,26.82
2016,UKD1,2016,25.67
2016,UKD3,2016,29.7
2016,UKD4,2016,24.18
2016,UKD6,2016,28.56
2016,UKD7,2016,26.91
2016,UKE1,2016,25.02
2016,UKE2,2016,25.4
2016,UKE3,2016,27.56
2016,UKE4,2016,25.92
2016,UKF1,2016,25.96
2016,UKF2,2016,27.33
2016,UKF3,2016,22.53
2016,UKG1,2016,25.47
2016,UKG2,2016,23.08
2016,UKG3,2016,27.12
2016,UKH1,2016,24.92
2016,UKH2,2016,33.72
2016,UKH3,2016,33.96
2016,UKI3,2016,33.56
2016,UKI4,2016,38.32
2016,UKI5,2016,43.49
2016,UKI6,2016,42.31
2016,UKI7,2016,39.09
2016,UKJ1,2016,30.57
2016,UKJ2,2016,33.59
2016,UKJ3,2016,27.12
2016,UKJ4,2016,33.12
2016,UKK1,2016,26.77
2016,UKK2,2016,24.25
2016,UKK3,2016,23.84
2016,UKK4,2016,23.42
2016,UKL1,2016,25.02
2016,UKL2,2016,22.94
2016,UKM5,2016,26.36
2016,UKM6,2016,16.68
2016,UKM7,2016,28.27
2016,UKM8,2016,25.55
2016,UKM9,2016,25.27
2017,UKC1,2016,25.92
2017,UKC2,2016,25.89
2017,UKD1,2016,21.63
2017,UKD3,2016,28.87
2017,UKD4,2016,23.28
2017,UKD6,2016,26.88
2017,UKD7,2016,25.71
2017,UKE1,2016,22.17
2017,UKE2,2016,25.39
2017,UKE3,2016,26.17
2017,UKE4,2016,26.81
2017,UKF1,2016,27.77
2017,UKF2,2016,25.4
2017,UKF3,2016,23.54
2017,UKG1,2016,25.6
2017,UKG2,2016,24.08
2017,UKG3,2016,28.28
2017,UKH1,2016,26.81
2017,UKH2,2016,33.16
2017,UKH3,2016,34.84
2017,UKI3,2016,33.16
2017,UKI4,2016,38.18
2017,UKI5,2016,43.72
2017,UKI6,2016,43.32
2017,UKI7,2016,39.05
2017,UKJ1,2016,32.08
2017,UKJ2,2016,32.9
2017,UKJ3,2016,29.36
2017,UKJ4,2016,31.81
2017,UKK1,2016,28.02
2017,UKK2,2016,21.57
2017,UKK3,2016,22.38
2017,UKK4,2016,24.59
2017,UKL1,2016,24.82
2017,UKL2,2016,27.19
2017,UKM5,2016,23.25
2017,UKM6,2016,24.46
2017,UKM7,2016,26.96
2017,UKM8,2016,32.58
2017,UKM9,2016,23.88
2018,UKC1,2016,22.55
2018,UKC2,2016,25.53
2018,UKD1,2016,19.99
2018,UKD3,2016,29.34
2018,UKD4,2016,25.97
2018,UKD6,2016,27.91
2018,UKD7,2016,23.74
2018,UKE1,2016,23.28
2018,UKE2,2016,23.75
2018,UKE3,2016,26.36
2018,UKE4,2016,28.81
2018,UKF1,2016,26.38
2018,UKF2,2016,25.39
2018,UKF3,2016,25.87
2018,UKG1,2016,27.25
2018,UKG2,2016,25.82
2018,UKG3,2016,28.3
2018,UKH1,2016,26.29
2018,UKH2,2016,35.09
2018,UKH3,2016,35.12
2018,UKI3,2016,33.76
2018,UKI4,2016,39.36
2018,UKI5,2016,44.03
2018,UKI6,2016,43.53
2018,UKI7,2016,39.63
2018,UKJ1,2016,30.09
2018,UKJ2,2016,34.18
2018,UKJ3,2016,30.62
2018,UKJ4,2016,32.13
2018,UKK1,2016,25.23
2018,UKK2,2016,21.81
2018,UKK3,2016,23.06
2018,UKK4,2016,24.15
2018,UKL1,2016,25.96
2018,UKL2,2016,24.94
2018,UKM5,2016,25.0
2018,UKM6,2016,24.51
2018,UKM7,2016,27.92
2018,UKM8,2016,29.29
2018,UKM9,2016,24.08
