year,nuts_id,nuts_year_spec,travel_to_road_junctions_average_time
2011,UKC11,2010,12.21
2013,UKC11,2013,12.15
2011,UKC12,2010,12.4
2013,UKC12,2013,12.33
2011,UKC13,2010,14.36
2013,UKC13,2013,14.52
2011,UKC14,2010,18.07
2013,UKC14,2013,18.17
2013,UKC21,2013,24.05
2011,UKC21,2010,23.83
2011,UKC22,2010,15.75
2013,UKC22,2013,15.78
2011,UKC23,2010,17.05
2013,UKC23,2013,17.03
2011,UKD11,2010,54.62
2013,UKD11,2013,54.53
2013,UKD12,2013,21.14
2011,UKD12,2010,21.14
2011,UKD31,2010,10.47
2011,UKD32,2010,12.89
2013,UKD33,2013,9.2
2013,UKD34,2013,8.64
2013,UKD35,2013,12.82
2013,UKD36,2013,13.36
2013,UKD37,2013,12.41
2013,UKD41,2013,15.78
2011,UKD41,2010,15.96
2011,UKD42,2010,26.13
2013,UKD42,2013,26.13
2011,UKD43,2010,20.04
2013,UKD44,2013,24.72
2013,UKD45,2013,15.83
2013,UKD46,2013,25.32
2013,UKD47,2013,14.31
2013,UKD61,2013,10.56
2011,UKD61,2010,10.59
2011,UKD62,2010,22.53
2013,UKD62,2013,22.48
2011,UKD63,2010,16.48
2013,UKD63,2013,16.54
2011,UKD71,2010,9.52
2013,UKD71,2013,9.54
2013,UKD72,2013,10.89
2011,UKD72,2010,10.83
2013,UKD73,2013,17.19
2011,UKD73,2010,17.11
2011,UKD74,2010,11.41
2013,UKD74,2013,11.47
2013,UKE11,2013,14.72
2011,UKE11,2010,14.64
2013,UKE12,2013,26.64
2011,UKE12,2010,26.46
2013,UKE13,2013,17.24
2011,UKE13,2010,17.22
2013,UKE21,2013,23.35
2011,UKE21,2010,23.37
2013,UKE22,2013,30.52
2011,UKE22,2010,30.32
2011,UKE31,2010,13.68
2013,UKE31,2013,13.67
2013,UKE32,2013,17.72
2011,UKE32,2010,17.64
2013,UKE41,2013,25.76
2011,UKE41,2010,25.66
2013,UKE42,2013,16.5
2011,UKE42,2010,16.48
2011,UKE44,2010,18.08
2013,UKE44,2013,18.09
2013,UKE45,2013,10.82
2011,UKE45,2010,10.82
2013,UKF11,2013,22.19
2011,UKF11,2010,22.12
2011,UKF12,2010,18.24
2013,UKF12,2013,18.25
2011,UKF13,2010,25.46
2013,UKF13,2013,25.52
2013,UKF14,2013,22.3
2011,UKF14,2010,22.4
2011,UKF15,2010,18.66
2013,UKF15,2013,18.64
2013,UKF16,2013,24.66
2011,UKF16,2010,24.54
2011,UKF21,2010,20.23
2013,UKF21,2013,20.39
2011,UKF22,2010,17.94
2013,UKF22,2013,17.83
2011,UKF24,2010,16.28
2013,UKF24,2013,16.37
2011,UKF25,2010,12.85
2013,UKF25,2013,12.88
2013,UKF30,2013,37.01
2011,UKF30,2010,36.81
2013,UKG11,2013,47.56
2011,UKG11,2010,47.56
2013,UKG12,2013,20.02
2011,UKG12,2010,19.91
2011,UKG13,2010,16.11
2013,UKG13,2013,16.11
2011,UKG21,2010,25.15
2013,UKG21,2013,25.15
2013,UKG22,2013,41.63
2011,UKG22,2010,41.84
2013,UKG23,2013,21.0
2011,UKG23,2010,21.01
2013,UKG24,2013,20.33
2011,UKG24,2010,20.31
2011,UKG31,2010,15.06
2013,UKG31,2013,15.01
2011,UKG32,2010,10.81
2013,UKG32,2013,10.77
2013,UKG33,2013,15.15
2011,UKG33,2010,15.17
2013,UKG36,2013,21.99
2011,UKG36,2010,21.98
2013,UKG37,2013,12.35
2011,UKG37,2010,12.31
2011,UKG38,2010,14.09
2013,UKG38,2013,14.06
2013,UKG39,2013,16.53
2011,UKG39,2010,16.53
2013,UKH11,2013,14.79
2011,UKH11,2010,14.74
2013,UKH12,2013,20.16
2011,UKH12,2010,20.08
2011,UKH13,2010,62.92
2011,UKH14,2010,28.48
2013,UKH14,2013,28.96
2013,UKH15,2013,67.84
2013,UKH16,2013,70.69
2013,UKH17,2013,49.19
2011,UKH21,2010,14.33
2013,UKH21,2013,14.33
2011,UKH23,2010,19.07
2013,UKH23,2013,19.03
2011,UKH24,2010,32.7
2013,UKH24,2013,32.69
2013,UKH25,2013,26.09
2011,UKH25,2010,26.13
2013,UKH31,2013,35.72
2011,UKH31,2010,35.65
2013,UKH32,2013,16.37
2011,UKH32,2010,16.33
2011,UKH33,2010,20.81
2013,UKH34,2013,22.17
