year,nuts_id,nuts_year_spec,travel_time_to_work
2016,UKC11,2016,26.21
2017,UKC11,2016,29.02
2018,UKC11,2016,23.22
2016,UKC12,2016,26.33
2017,UKC12,2016,23.8
2018,UKC12,2016,22.35
2016,UKC13,2016,21.69
2017,UKC13,2016,24.22
2018,UKC13,2016,21.98
2016,UKC14,2016,23.37
2017,UKC14,2016,25.65
2018,UKC14,2016,22.16
2016,UKC22,2016,27.6
2017,UKC22,2016,26.53
2018,UKC22,2016,25.5
2016,UKC23,2016,23.7
2017,UKC23,2016,23.32
2018,UKC23,2016,25.66
2016,UKD11,2016,21.43
2017,UKD11,2016,21.11
2018,UKD11,2016,20.25
2016,UKD12,2016,29.91
2017,UKD12,2016,22.15
2018,UKD12,2016,19.73
2016,UKD33,2016,28.71
2017,UKD33,2016,26.11
2018,UKD33,2016,30.36
2016,UKD34,2016,28.44
2017,UKD34,2016,26.11
2018,UKD34,2016,29.51
2016,UKD35,2016,31.02
2017,UKD35,2016,30.33
2018,UKD35,2016,31.98
2016,UKD36,2016,28.04
2017,UKD36,2016,30.83
2018,UKD36,2016,29.83
2016,UKD37,2016,31.1
2017,UKD37,2016,29.36
2018,UKD37,2016,26.8
2016,UKD41,2016,23.73
2017,UKD41,2016,18.39
2018,UKD41,2016,26.66
2016,UKD42,2016,18.95
2017,UKD42,2016,17.87
2018,UKD42,2016,22.22
2016,UKD44,2016,26.58
2017,UKD44,2016,22.47
2018,UKD44,2016,24.67
2016,UKD45,2016,25.15
2017,UKD45,2016,23.92
2018,UKD45,2016,26.8
2016,UKD46,2016,23.89
2017,UKD46,2016,21.98
2018,UKD46,2016,24.31
2016,UKD47,2016,23.25
2017,UKD47,2016,30.53
2018,UKD47,2016,30.41
2016,UKD61,2016,25.33
2017,UKD61,2016,24.96
2018,UKD61,2016,23.97
2016,UKD62,2016,29.48
2017,UKD62,2016,29.24
2018,UKD62,2016,28.51
2016,UKD63,2016,30.86
2017,UKD63,2016,26.45
2018,UKD63,2016,31.26
2016,UKD71,2016,25.53
2017,UKD71,2016,25.63
2018,UKD71,2016,21.3
2016,UKD72,2016,29.04
2017,UKD72,2016,23.72
2018,UKD72,2016,26.62
2016,UKD73,2016,26.44
2017,UKD73,2016,26.7
2018,UKD73,2016,25.12
2016,UKD74,2016,29.39
2017,UKD74,2016,26.95
2018,UKD74,2016,26.79
2016,UKE11,2016,23.59
2017,UKE11,2016,23.06
2018,UKE11,2016,21.54
2016,UKE12,2016,27.55
2017,UKE12,2016,24.67
2018,UKE12,2016,28.36
2016,UKE13,2016,24.48
2017,UKE13,2016,20.47
2018,UKE13,2016,21.6
2016,UKE21,2016,25.61
2017,UKE21,2016,31.79
2018,UKE21,2016,23.73
2016,UKE22,2016,25.37
2017,UKE22,2016,24.48
2018,UKE22,2016,23.76
2016,UKE31,2016,27.12
2017,UKE31,2016,24.85
2018,UKE31,2016,25.2
2016,UKE32,2016,28.88
2017,UKE32,2016,30.14
2018,UKE32,2016,29.81
2016,UKE41,2016,26.22
2017,UKE41,2016,28.34
2018,UKE41,2016,28.32
2016,UKE42,2016,27.44
2017,UKE42,2016,27.53
2018,UKE42,2016,26.02
2016,UKE44,2016,26.97
2017,UKE44,2016,26.15
2018,UKE44,2016,29.65
2016,UKE45,2016,22.02
2017,UKE45,2016,25.87
2018,UKE45,2016,30.42
2016,UKF11,2016,23.3
2017,UKF11,2016,26.27
2018,UKF11,2016,24.72
2016,UKF12,2016,24.08
2017,UKF12,2016,22.56
