year,nuts_id,nuts_year_spec,travel_time_to_road_junctions
2011,UKC11,2010,12.21
2013,UKC11,2013,12.19
2013,UKC12,2013,11.35
2011,UKC12,2010,12.4
2011,UKC13,2010,14.36
2013,UKC13,2013,16.22
2013,UKC14,2013,19.17
2011,UKC14,2010,18.07
2013,UKC21,2013,23.54
2011,UKC21,2010,23.83
2011,UKC22,2010,15.75
2013,UKC22,2013,15.39
2011,UKC23,2010,17.05
2013,UKC23,2013,16.45
2011,UKD11,2010,54.62
2013,UKD11,2013,55.04
2011,UKD12,2010,21.14
2013,UKD12,2013,22.88
2011,UKD31,2010,10.47
2011,UKD32,2010,12.89
2013,UKD33,2013,10.22
2013,UKD34,2013,9.56
2013,UKD35,2013,13.75
2013,UKD36,2013,13.89
2013,UKD37,2013,13.06
2011,UKD41,2010,15.96
2013,UKD41,2013,17.19
2013,UKD42,2013,26.24
2011,UKD42,2010,26.13
2011,UKD43,2010,20.04
2013,UKD44,2013,27.0
2013,UKD45,2013,15.99
2013,UKD46,2013,26.45
2013,UKD47,2013,14.73
2011,UKD61,2010,10.59
2013,UKD61,2013,11.04
2011,UKD62,2010,22.53
2013,UKD62,2013,21.83
2013,UKD63,2013,17.29
2011,UKD63,2010,16.48
2013,UKD71,2013,10.5
2011,UKD71,2010,9.52
2013,UKD72,2013,10.85
2011,UKD72,2010,10.83
2013,UKD73,2013,17.36
2011,UKD73,2010,17.11
2013,UKD74,2013,11.87
2011,UKD74,2010,11.41
2011,UKE11,2010,14.64
2013,UKE11,2013,15.42
2013,UKE12,2013,27.35
2011,UKE12,2010,26.46
2011,UKE13,2010,17.22
2013,UKE13,2013,18.77
2013,UKE21,2013,26.55
2011,UKE21,2010,23.37
2011,UKE22,2010,30.32
2013,UKE22,2013,32.03
2011,UKE31,2010,13.68
2013,UKE31,2013,13.97
2011,UKE32,2010,17.64
2013,UKE32,2013,19.91
2011,UKE41,2010,25.66
2013,UKE41,2013,30.03
2011,UKE42,2010,16.48
2013,UKE42,2013,16.66
2011,UKE44,2010,18.08
2013,UKE44,2013,19.12
2013,UKE45,2013,11.47
2011,UKE45,2010,10.82
2013,UKF11,2013,22.96
2011,UKF11,2010,22.12
2013,UKF12,2013,19.83
2011,UKF12,2010,18.24
2013,UKF13,2013,27.7
2011,UKF13,2010,25.46
2011,UKF14,2010,22.4
2013,UKF14,2013,23.62
2013,UKF15,2013,21.68
2011,UKF15,2010,18.66
2011,UKF16,2010,24.54
2013,UKF16,2013,25.89
2011,UKF21,2010,20.23
2013,UKF21,2013,20.6
2011,UKF22,2010,17.94
2013,UKF22,2013,18.48
2011,UKF24,2010,16.28
2013,UKF24,2013,16.77
2011,UKF25,2010,12.85
2013,UKF25,2013,13.18
2013,UKF30,2013,38.01
2011,UKF30,2010,36.81
2011,UKG11,2010,47.56
2013,UKG11,2013,49.32
2013,UKG12,2013,19.4
2011,UKG12,2010,19.91
2011,UKG13,2010,16.11
2013,UKG13,2013,17.11
2013,UKG21,2013,25.23
2011,UKG21,2010,25.15
2011,UKG22,2010,41.84
2013,UKG22,2013,42.26
2011,UKG23,2010,21.01
2013,UKG23,2013,23.64
2013,UKG24,2013,20.99
2011,UKG24,2010,20.31
2011,UKG31,2010,15.06
