year,lep_id,lep_year_spec,travel_to_road_junctions_average_time
2011,E37000001,-2014,16.38
2013,E37000001,-2014,16.4
2011,E37000002,-2014,20.15
2013,E37000002,-2014,20.0
2011,E37000003,-2014,17.65
2013,E37000003,-2014,17.63
2011,E37000004,-2014,27.67
2013,E37000004,-2014,27.67
2011,E37000005,-2014,94.98
2013,E37000005,-2014,95.2
2011,E37000006,-2014,15.76
2013,E37000006,-2014,15.77
2011,E37000007,-2014,37.62
2013,E37000007,-2014,37.47
2011,E37000008,-2014,22.08
2013,E37000008,-2014,22.09
2013,E37000009,-2014,45.55
2011,E37000009,-2014,45.83
2011,E37000010,-2014,20.05
2013,E37000010,-2014,20.03
2011,E37000011,-2014,20.48
2013,E37000011,-2014,20.53
2011,E37000012,-2014,16.17
2013,E37000012,-2014,16.2
2011,E37000013,-2014,24.06
2013,E37000013,-2014,24.23
2013,E37000014,-2014,30.39
2011,E37000014,-2014,30.27
2011,E37000015,-2014,11.61
2013,E37000015,-2014,11.58
2011,E37000016,-2014,37.61
2013,E37000016,-2014,37.77
2013,E37000017,-2014,19.03
2011,E37000017,-2014,19.07
2011,E37000018,-2014,19.85
2013,E37000018,-2014,19.96
2013,E37000019,-2014,20.27
2011,E37000019,-2014,20.27
2013,E37000020,-2014,18.69
2011,E37000020,-2014,18.64
2013,E37000021,-2014,18.61
2011,E37000021,-2014,18.63
2013,E37000022,-2014,11.83
2011,E37000022,-2014,11.77
2013,E37000023,-2014,23.16
2011,E37000023,-2014,23.19
2013,E37000024,-2014,48.17
2011,E37000024,-2014,47.56
2013,E37000025,-2014,17.91
2011,E37000025,-2014,17.84
2011,E37000026,-2014,14.72
2013,E37000026,-2014,14.78
2013,E37000027,-2014,19.42
2011,E37000027,-2014,19.43
2013,E37000029,-2014,12.26
2011,E37000029,-2014,12.35
2013,E37000030,-2014,24.57
2011,E37000030,-2014,24.4
2013,E37000031,-2014,21.12
2011,E37000031,-2014,21.13
2013,E37000032,-2014,20.48
2011,E37000032,-2014,20.46
2013,E37000033,-2014,31.39
2011,E37000033,-2014,31.41
2013,E37000034,-2014,12.58
2011,E37000034,-2014,12.61
2011,E37000035,-2014,16.22
2013,E37000035,-2014,16.25
2013,E37000036,-2014,39.0
2011,E37000036,-2014,39.12
2013,E37000037,-2014,19.24
2011,E37000037,-2014,19.16
2013,E37000038,-2014,20.02
2011,E37000038,-2014,19.93
2013,E37000039,-2014,28.09
2011,E37000039,-2014,28.01
2011,E37000040,-2014,16.51
2013,E37000040,-2014,16.53
