year,lep_id,lep_year_spec,travel_time_to_work
2016,E37000001,2014,25.63
2017,E37000001,2017,27.74
2018,E37000001,2017,27.97
2016,E37000002,2014,34.5
2017,E37000002,2017,37.95
2018,E37000002,2017,31.61
2016,E37000003,2014,28.56
2017,E37000003,2017,26.88
2018,E37000003,2017,27.91
2016,E37000004,2014,32.64
2017,E37000004,2017,33.84
2018,E37000004,2017,35.54
2016,E37000005,2014,23.84
2017,E37000005,2017,22.38
2018,E37000005,2017,23.06
2016,E37000006,2014,25.79
2017,E37000006,2017,25.71
2018,E37000006,2017,29.02
2016,E37000007,2014,25.67
2017,E37000007,2017,21.63
2018,E37000007,2017,19.99
2016,E37000008,2014,25.96
2017,E37000008,2017,27.77
2018,E37000008,2017,26.38
2016,E37000009,2014,24.89
2017,E37000009,2017,22.32
2018,E37000009,2017,22.45
2016,E37000010,2014,32.68
2017,E37000010,2017,32.01
2018,E37000010,2017,33.82
2016,E37000011,2014,26.27
2017,E37000011,2017,27.04
2018,E37000011,2017,24.08
2016,E37000012,2014,25.67
2017,E37000012,2017,26.91
2018,E37000012,2017,27.27
2016,E37000013,2014,27.71
2016,E37000014,2014,22.96
2017,E37000014,2017,22.86
2018,E37000014,2017,24.92
2016,E37000015,2014,29.7
2017,E37000015,2017,28.87
2018,E37000015,2017,29.34
2016,E37000016,2014,23.36
2017,E37000016,2017,23.19
2018,E37000016,2017,23.03
2016,E37000017,2014,33.82
2017,E37000017,2017,33.7
2018,E37000017,2017,35.73
2016,E37000018,2014,25.02
2017,E37000018,2017,22.17
2018,E37000018,2017,23.28
2016,E37000019,2014,24.18
2017,E37000019,2017,23.28
2018,E37000019,2017,25.97
2016,E37000020,2014,26.82
2017,E37000020,2017,26.72
2018,E37000020,2017,28.06
2016,E37000021,2014,26.56
2017,E37000021,2017,25.61
2018,E37000021,2017,25.42
2016,E37000022,2014,26.91
2017,E37000022,2017,25.71
2018,E37000022,2017,23.74
2016,E37000023,2014,39.32
2017,E37000023,2017,39.41
2018,E37000023,2017,40.02
2016,E37000024,2014,23.57
2017,E37000024,2017,25.83
2018,E37000024,2017,25.07
2016,E37000025,2014,26.25
2017,E37000025,2017,25.85
2018,E37000025,2017,24.97
2016,E37000026,2014,27.53
2016,E37000027,2014,27.92
2017,E37000027,2017,27.65
2018,E37000027,2017,27.63
2016,E37000029,2014,25.74
2017,E37000029,2017,28.5
2018,E37000029,2017,30.56
2016,E37000030,2014,33.58
2017,E37000030,2017,33.0
2018,E37000030,2017,32.74
2016,E37000031,2014,28.04
2016,E37000032,2014,23.9
2017,E37000032,2017,24.68
2018,E37000032,2017,26.37
2016,E37000033,2014,25.63
2017,E37000033,2017,26.49
2018,E37000033,2017,24.51
2016,E37000034,2014,25.36
2017,E37000034,2017,25.97
2018,E37000034,2017,22.62
2016,E37000035,2014,30.79
2017,E37000035,2017,33.02
2018,E37000035,2017,31.73
2016,E37000036,2014,21.44
2017,E37000036,2017,20.67
2018,E37000036,2017,22.56
2016,E37000037,2014,28.07
2017,E37000037,2017,30.26
2018,E37000037,2017,27.33
2016,E37000038,2014,25.56
2017,E37000038,2017,26.85
2018,E37000038,2017,26.61
2016,E37000039,2014,25.64
2017,E37000039,2017,25.31
2018,E37000039,2017,24.27
2016,E37000040,2014,25.78
2017,E37000040,2017,25.17
2018,E37000040,2017,25.57
2017,E37000041,2017,27.22
2018,E37000041,2017,27.0
2017,E37000042,2017,28.05
2018,E37000042,2017,29.27
