lead_nut_name,lead_nut_code,disc_arts_humanities_project_n,disc_biological_project_n,disc_eng_tech_project_n,disc_env_project_n,disc_maths_comp_project_n,disc_medical_project_n,disc_physics_project_n,disc_social_project_n,disc_arts_humanities_funding_gpb,disc_biological_funding_gpb,disc_eng_tech_funding_gpb,disc_env_funding_gpb,disc_maths_comp_funding_gpb,disc_medical_funding_gpb,disc_physics_funding_gpb,disc_social_funding_gpb
Bedfordshire and Hertfordshire,UKH2,31.0,255.0,288.0,186.0,74.0,45.0,33.0,17.0,5921358.0,118970931.0,137739646.0,73403876.0,26786012.0,27442938.0,10437208.0,2815510.0
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,436.0,457.0,1171.0,772.0,581.0,822.0,276.0,351.0,90236625.0,169222017.0,837713647.0,374564278.0,202760599.0,605705644.0,130829395.0,73682857.0
Cheshire,UKD6,11.0,8.0,104.0,8.0,26.0,17.0,8.0,6.0,364136.0,1265873.0,25891948.0,1052762.0,3915173.0,2613472.0,1292748.0,228125.0
Cornwall and Isles of Scilly,UKK3,9.0,0.0,22.0,6.0,3.0,4.0,11.0,3.0,498988.0,0.0,2431559.0,4196890.0,659613.0,62640.0,55000.0,166723.0
Cumbria,UKD1,2.0,3.0,29.0,2.0,1.0,1.0,2.0,2.0,10000.0,993442.0,8504849.0,391191.0,69186.0,5000.0,15000.0,37403.0
Derbyshire and Nottinghamshire,UKF1,173.0,312.0,670.0,192.0,208.0,245.0,75.0,117.0,21580015.0,123056200.0,304838111.0,227068094.0,92536363.0,117652156.0,39821730.0,21228313.0
Devon,UKK4,194.0,135.0,215.0,432.0,82.0,84.0,36.0,148.0,24987935.0,36304306.0,96213595.0,134676853.0,19390202.0,25742067.0,11246040.0,30048477.0
Dorset and Somerset,UKK2,22.0,9.0,59.0,9.0,26.0,1.0,6.0,13.0,3640465.0,1954843.0,41699821.0,973184.0,4666061.0,112314.0,952925.0,1095939.0
East Anglia,UKH1,246.0,1503.0,1089.0,653.0,392.0,987.0,223.0,236.0,52215026.0,521046951.0,530195656.0,204441210.0,128640848.0,530221183.0,183060675.0,57235567.0
East Wales,UKL2,15.0,12.0,65.0,2.0,27.0,13.0,14.0,4.0,3947024.0,1176317.0,13193852.0,294302.0,8632234.0,2224017.0,532102.0,296504.0
East Yorkshire and Northern Lincolnshire,UKE1,31.0,21.0,68.0,33.0,14.0,6.0,4.0,23.0,4276951.0,6917266.0,14963074.0,6189641.0,1848143.0,2179575.0,763637.0,1619078.0
