nuts_name,nuts_code,proj_participation,local_collaborations
Bedfordshire and Hertfordshire,UKH2,1761,337
"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,7531,1800
Cheshire,UKD6,516,71
Cornwall and Isles of Scilly,UKK3,165,67
Cumbria,UKD1,177,17
Derbyshire and Nottinghamshire,UKF1,2937,620
Devon,UKK4,1991,213
Dorset and Somerset,UKK2,357,31
East Anglia,UKH1,7611,1647
East Wales,UKL2,596,106
East Yorkshire and Northern Lincolnshire,UKE1,342,29
Eastern Scotland,UKM7,4629,1176
Essex,UKH3,675,47
"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,5290,1688
Greater Manchester,UKD3,3763,720
Hampshire and Isle of Wight,UKJ3,3169,527
"Herefordshire, Worcestershire and Warwickshire",UKG1,805,127
Highlands and Islands,UKM6,147,49
Inner London - East,UKI4,4284,1237
Inner London - West,UKI3,10963,6320
Kent,UKJ4,682,146
Lancashire,UKD4,1098,140
"Leicestershire, Rutland and Northamptonshire",UKF2,2010,303
Lincolnshire,UKF3,324,36
Merseyside,UKD7,2045,262
North Eastern Scotland,UKM5,814,61
North Yorkshire,UKE2,1450,321
Northumberland and Tyne and Wear,UKC2,1936,783
Outer London - East and North East,UKI5,213,13
Outer London - South,UKI6,316,6
Outer London - West and North West,UKI7,1428,84
Shropshire and Staffordshire,UKG2,607,107
South Yorkshire,UKE3,2429,256
Southern Scotland,UKM9,163,10
"Surrey, East and West Sussex",UKJ2,3053,345
Tees Valley and Durham,UKC1,480,95
West Central Scotland,UKM8,2943,782
West Midlands,UKG3,4303,1127
West Wales and The Valleys,UKL1,1400,329
West Yorkshire,UKE4,2715,461
