year,nuts_id,nuts_year_spec,gbp_turnover_per_active_spinoff
2014,UKH2,2016,38756
2014,UKJ1,2016,403991
2014,UKD6,2016,0
2014,UKK3,2016,0
2014,UKD1,2016,6714
2014,UKF1,2016,57296
2014,UKK4,2016,323931
2014,UKK2,2016,49585
2014,UKH1,2016,135344
2014,UKL2,2016,75969
2014,UKE1,2016,48306
2014,UKM7,2016,485222
2014,UKH3,2016,14000
2014,UKK1,2016,631967
2014,UKD3,2016,82903
2014,UKJ3,2016,142431
2014,UKG1,2016,0
2014,UKM6,2016,0
2014,UKI4,2016,194292
2014,UKI3,2016,112465
2014,UKJ4,2016,58418
2014,UKD4,2016,67031
2014,UKF2,2016,234507
2014,UKF3,2016,14981
2014,UKD7,2016,83656
2014,UKM5,2016,78606
2014,UKE2,2016,202370
2014,UKN0,2016,3087887
2014,UKC2,2016,218924
2014,UKI5,2016,18526
2014,UKI6,2016,32131
2014,UKI7,2016,1259714
2014,UKG2,2016,6211
2014,UKE3,2016,0
2014,UKJ2,2016,438291
2014,UKC1,2016,114497
2014,UKM8,2016,2586477
2014,UKG3,2016,177276
2014,UKL1,2016,78522
2014,UKE4,2016,145714
2015,UKH2,2016,34000
2015,UKJ1,2016,563554
2015,UKD6,2016,0
2015,UKK3,2016,158
2015,UKD1,2016,7488
2015,UKF1,2016,91762
2015,UKK4,2016,376106
2015,UKK2,2016,95838
2015,UKH1,2016,74005
2015,UKL2,2016,73072
2015,UKE1,2016,66244
2015,UKM7,2016,486202
2015,UKH3,2016,9781
2015,UKK1,2016,611630
2015,UKD3,2016,99264
2015,UKJ3,2016,125890
2015,UKG1,2016,0
2015,UKM6,2016,0
2015,UKI4,2016,132278
2015,UKI3,2016,152570
2015,UKJ4,2016,66716
2015,UKD4,2016,68161
2015,UKF2,2016,310802
2015,UKF3,2016,16447
2015,UKD7,2016,89991
2015,UKM5,2016,64840
2015,UKE2,2016,88666
2015,UKN0,2016,3576567
2015,UKC2,2016,228987
2015,UKI5,2016,16150
2015,UKI6,2016,33336
2015,UKI7,2016,2683500
2015,UKG2,2016,4543
2015,UKE3,2016,0
2015,UKJ2,2016,414405
2015,UKC1,2016,188623
2015,UKM8,2016,816278
2015,UKG3,2016,230353
2015,UKL1,2016,66997
2015,UKE4,2016,149075
2016,UKH2,2016,35453
2016,UKJ1,2016,654546
2016,UKD6,2016,0
2016,UKK3,2016,327
2016,UKD1,2016,9476
2016,UKF1,2016,82096
2016,UKK4,2016,329765
2016,UKK2,2016,332285
2016,UKH1,2016,37256
2016,UKL2,2016,95485
2016,UKE1,2016,97435
2016,UKM7,2016,416509
2016,UKH3,2016,31906
2016,UKK1,2016,371165
2016,UKD3,2016,85460
2016,UKJ3,2016,150682
2016,UKG1,2016,0
2016,UKM6,2016,0
2016,UKI4,2016,159065
2016,UKI3,2016,177359
2016,UKJ4,2016,23771
2016,UKD4,2016,67355
2016,UKF2,2016,128023
2016,UKF3,2016,16409
2016,UKD7,2016,102905
2016,UKM5,2016,21056
2016,UKE2,2016,112225
2016,UKN0,2016,3626633
2016,UKC2,2016,248731
2016,UKI5,2016,89843
2016,UKI6,2016,33756
2016,UKI7,2016,1379666
2016,UKG2,2016,24931
2016,UKE3,2016,0
2016,UKJ2,2016,316953
2016,UKC1,2016,222956
2016,UKM8,2016,788069
2016,UKG3,2016,253272
2016,UKL1,2016,61065
2016,UKE4,2016,166441
2017,UKH2,2016,34855
2017,UKJ1,2016,1209622
2017,UKD6,2016,0
2017,UKK3,2016,1449
2017,UKD1,2016,16770
2017,UKF1,2016,71471
2017,UKK4,2016,272527
2017,UKK2,2016,504000
2017,UKH1,2016,21948
2017,UKL2,2016,96669
2017,UKE1,2016,97282
2017,UKM7,2016,421141
2017,UKH3,2016,32959
2017,UKK1,2016,469153
2017,UKD3,2016,94585
2017,UKJ3,2016,132243
2017,UKG1,2016,0
2017,UKM6,2016,0
2017,UKI4,2016,118903
2017,UKI3,2016,210792
2017,UKJ4,2016,36375
2017,UKD4,2016,61902
2017,UKF2,2016,94750
2017,UKF3,2016,16500
2017,UKD7,2016,112169
2017,UKM5,2016,17761
2017,UKE2,2016,44540
2017,UKN0,2016,4415779
2017,UKC2,2016,275094
2017,UKI5,2016,99857
2017,UKI6,2016,33244
2017,UKI7,2016,1978142
2017,UKG2,2016,22219
2017,UKE3,2016,0
2017,UKJ2,2016,298917
2017,UKC1,2016,239683
2017,UKM8,2016,1001825
2017,UKG3,2016,213275
2017,UKL1,2016,81927
2017,UKE4,2016,234073
