year,nuts_id,nuts_year_spec,gbp_non_business_consulting
2014,UKH2,2016,4274000
2014,UKJ1,2016,6794000
2014,UKD6,2016,410000
2014,UKK3,2016,4000
2014,UKD1,2016,75000
2014,UKF1,2016,3057000
2014,UKK4,2016,2724000
2014,UKK2,2016,405000
2014,UKH1,2016,22470000
2014,UKL2,2016,4563000
2014,UKE1,2016,4128000
2014,UKM7,2016,16384000
2014,UKH3,2016,1513000
2014,UKK1,2016,5468000
2014,UKD3,2016,3882000
2014,UKJ3,2016,25313000
2014,UKG1,2016,175000
2014,UKM6,2016,637000
2014,UKI4,2016,17724000
2014,UKI3,2016,27375000
2014,UKJ4,2016,3649000
2014,UKD4,2016,11228000
2014,UKF2,2016,11717000
2014,UKF3,2016,403000
2014,UKD7,2016,2230000
2014,UKM5,2016,556000
2014,UKE2,2016,2577000
2014,UKN0,2016,4436000
2014,UKC2,2016,2331000
2014,UKI5,2016,1906000
2014,UKI6,2016,194000
2014,UKI7,2016,538000
2014,UKG2,2016,6442000
2014,UKE3,2016,3692000
2014,UKJ2,2016,5431000
2014,UKC1,2016,9291000
2014,UKM8,2016,5533000
2014,UKG3,2016,16679000
2014,UKL1,2016,3833000
2014,UKE4,2016,6166000
2015,UKH2,2016,4248000
2015,UKJ1,2016,6206000
2015,UKD6,2016,569000
2015,UKK3,2016,0
2015,UKD1,2016,69000
2015,UKF1,2016,1293000
2015,UKK4,2016,1790000
2015,UKK2,2016,315000
2015,UKH1,2016,19061000
2015,UKL2,2016,3563000
2015,UKE1,2016,3376000
2015,UKM7,2016,17147000
2015,UKH3,2016,1491000
2015,UKK1,2016,4537000
2015,UKD3,2016,3340000
2015,UKJ3,2016,26809000
2015,UKG1,2016,117000
2015,UKM6,2016,445000
2015,UKI4,2016,18573000
2015,UKI3,2016,28378000
2015,UKJ4,2016,5141000
2015,UKD4,2016,10656000
2015,UKF2,2016,10157000
2015,UKF3,2016,261000
2015,UKD7,2016,1670000
2015,UKM5,2016,628000
2015,UKE2,2016,2526000
2015,UKN0,2016,3340000
2015,UKC2,2016,2743000
2015,UKI5,2016,1424000
2015,UKI6,2016,103000
2015,UKI7,2016,709000
2015,UKG2,2016,7180000
2015,UKE3,2016,3950000
2015,UKJ2,2016,4779000
2015,UKC1,2016,10088000
2015,UKM8,2016,10467000
2015,UKG3,2016,16816000
2015,UKL1,2016,4047000
2015,UKE4,2016,6792000
2016,UKH2,2016,2630000
2016,UKJ1,2016,6013000
2016,UKD6,2016,366000
2016,UKK3,2016,3000
2016,UKD1,2016,105000
2016,UKF1,2016,1881000
2016,UKK4,2016,2154000
2016,UKK2,2016,303000
2016,UKH1,2016,16943000
2016,UKL2,2016,4374000
2016,UKE1,2016,3427000
2016,UKM7,2016,16391000
2016,UKH3,2016,1466000
2016,UKK1,2016,4465000
2016,UKD3,2016,2311000
2016,UKJ3,2016,30094000
2016,UKG1,2016,518000
2016,UKM6,2016,1100000
2016,UKI4,2016,18023000
2016,UKI3,2016,29770000
2016,UKJ4,2016,4853000
2016,UKD4,2016,17515000
2016,UKF2,2016,13740000
2016,UKF3,2016,183000
2016,UKD7,2016,2764000
2016,UKM5,2016,706000
2016,UKE2,2016,2277000
2016,UKN0,2016,3220000
2016,UKC2,2016,3276000
2016,UKI5,2016,2217000
2016,UKI6,2016,28000
2016,UKI7,2016,398000
2016,UKG2,2016,8172000
2016,UKE3,2016,3493000
2016,UKJ2,2016,4355000
2016,UKC1,2016,9775000
2016,UKM8,2016,11599000
2016,UKG3,2016,14145000
2016,UKL1,2016,3304000
2016,UKE4,2016,10635000
2017,UKH2,2016,2265000
2017,UKJ1,2016,6309000
2017,UKD6,2016,643000
2017,UKK3,2016,0
2017,UKD1,2016,161000
2017,UKF1,2016,2438000
2017,UKK4,2016,2013000
2017,UKK2,2016,400000
2017,UKH1,2016,18759000
2017,UKL2,2016,5168000
2017,UKE1,2016,3107000
2017,UKM7,2016,15738000
2017,UKH3,2016,1470000
2017,UKK1,2016,3309000
2017,UKD3,2016,2728000
2017,UKJ3,2016,32161000
2017,UKG1,2016,195000
2017,UKM6,2016,1537000
2017,UKI4,2016,17974000
2017,UKI3,2016,27688000
2017,UKJ4,2016,5315000
2017,UKD4,2016,17054000
2017,UKF2,2016,14837000
2017,UKF3,2016,166000
2017,UKD7,2016,2516000
2017,UKM5,2016,282000
2017,UKE2,2016,2175000
2017,UKN0,2016,2572000
2017,UKC2,2016,3265000
2017,UKI5,2016,3253000
2017,UKI6,2016,15000
2017,UKI7,2016,449000
2017,UKG2,2016,4317000
2017,UKE3,2016,3527000
2017,UKJ2,2016,4421000
2017,UKC1,2016,8608000
2017,UKM8,2016,16392000
2017,UKG3,2016,9814000
2017,UKL1,2016,3016000
2017,UKE4,2016,9409000
