year,nuts_id,nuts_year_spec,gbp_ip_revenues
2014,UKH2,2018,345000
2015,UKH2,2018,512000
2016,UKH2,2018,586000
2017,UKH2,2018,613000
2014,UKJ1,2018,21230000
2015,UKJ1,2018,17630000
2016,UKJ1,2018,20819000
2017,UKJ1,2018,59835000
2014,UKD6,2018,0
2015,UKD6,2018,1000
2016,UKD6,2018,1000
2017,UKD6,2018,0
2014,UKK3,2018,0
2015,UKK3,2018,0
2016,UKK3,2018,0
2017,UKK3,2018,0
2014,UKD1,2018,7000
2015,UKD1,2018,17000
2016,UKD1,2018,5000
2017,UKD1,2018,0
2014,UKF1,2018,1142000
2015,UKF1,2018,737000
2016,UKF1,2018,3937000
2017,UKF1,2018,12387000
2014,UKK4,2018,205000
2015,UKK4,2018,1243000
2016,UKK4,2018,215000
2017,UKK4,2018,799000
2014,UKK2,2018,59000
2015,UKK2,2018,62000
2016,UKK2,2018,12000
2017,UKK2,2018,11000
2014,UKH1,2018,26343000
2015,UKH1,2018,20443000
2016,UKH1,2018,20692000
2017,UKH1,2018,9621000
2014,UKL2,2018,1441000
2015,UKL2,2018,13445000
2016,UKL2,2018,1837000
2017,UKL2,2018,2384000
2014,UKE1,2018,423000
2015,UKE1,2018,538000
2016,UKE1,2018,525000
2017,UKE1,2018,657000
2014,UKM7,2018,4770000
2015,UKM7,2018,8801000
2016,UKM7,2018,10020000
2017,UKM7,2018,4592000
2014,UKH3,2018,49000
2015,UKH3,2018,4000
2016,UKH3,2018,2000
2017,UKH3,2018,3000
2014,UKK1,2018,2608000
2015,UKK1,2018,991000
2016,UKK1,2018,1113000
2017,UKK1,2018,1293000
2014,UKD3,2018,1780000
2015,UKD3,2018,3956000
2016,UKD3,2018,1527000
2017,UKD3,2018,3943000
2014,UKJ3,2018,1798000
2015,UKJ3,2018,1167000
2016,UKJ3,2018,1268000
2017,UKJ3,2018,1001000
2014,UKG1,2018,0
2015,UKG1,2018,0
2016,UKG1,2018,0
2017,UKG1,2018,0
2014,UKM6,2018,1000
2015,UKM6,2018,1000
2016,UKM6,2018,0
2017,UKM6,2018,0
2014,UKI4,2018,881000
2015,UKI4,2018,910000
2016,UKI4,2018,856000
2017,UKI4,2018,1745000
2014,UKI3,2018,36682000
2015,UKI3,2018,76205000
2016,UKI3,2018,42665000
2017,UKI3,2018,50312000
2014,UKJ4,2018,110000
2015,UKJ4,2018,146000
2016,UKJ4,2018,64000
2017,UKJ4,2018,84000
2014,UKD4,2018,264000
2015,UKD4,2018,307000
2016,UKD4,2018,213000
2017,UKD4,2018,198000
2014,UKF2,2018,3792000
2015,UKF2,2018,3128000
2016,UKF2,2018,2204000
2017,UKF2,2018,2022000
2014,UKF3,2018,52000
2015,UKF3,2018,0
2016,UKF3,2018,0
2017,UKF3,2018,0
2014,UKD7,2018,362000
2015,UKD7,2018,525000
2016,UKD7,2018,684000
2017,UKD7,2018,903000
2014,UKM5,2018,4064000
2015,UKM5,2018,1766000
2016,UKM5,2018,839000
2017,UKM5,2018,1215000
2014,UKE2,2018,1106000
2015,UKE2,2018,1259000
2016,UKE2,2018,5794000
2017,UKE2,2018,1290000
2014,UKN0,2018,34814000
2015,UKN0,2018,9282000
2016,UKN0,2018,10946000
2017,UKN0,2018,23522000
2014,UKC2,2018,779000
2015,UKC2,2018,651000
2016,UKC2,2018,1132000
2017,UKC2,2018,1821000
2014,UKI5,2018,290000
2015,UKI5,2018,352000
2016,UKI5,2018,392000
2017,UKI5,2018,283000
2014,UKI6,2018,2000
2015,UKI6,2018,0
2016,UKI6,2018,0
2017,UKI6,2018,0
2014,UKI7,2018,20000
2015,UKI7,2018,12000
2016,UKI7,2018,2005000
2017,UKI7,2018,2497000
2014,UKG2,2018,117000
2015,UKG2,2018,625000
2016,UKG2,2018,605000
2017,UKG2,2018,656000
2014,UKE3,2018,1507000
2015,UKE3,2018,2110000
2016,UKE3,2018,4830000
2017,UKE3,2018,12755000
2014,UKJ2,2018,908000
2015,UKJ2,2018,794000
2016,UKJ2,2018,1243000
2017,UKJ2,2018,834000
2014,UKC1,2018,170000
2015,UKC1,2018,58000
2016,UKC1,2018,123000
2017,UKC1,2018,844000
2014,UKM8,2018,1958000
2015,UKM8,2018,1850000
2016,UKM8,2018,6167000
2017,UKM8,2018,2149000
2014,UKG3,2018,1352000
2015,UKG3,2018,1726000
2016,UKG3,2018,2468000
2017,UKG3,2018,1164000
2014,UKL1,2018,391000
2015,UKL1,2018,290000
2016,UKL1,2018,384000
2017,UKL1,2018,863000
2014,UKE4,2018,3798000
2015,UKE4,2018,3950000
2016,UKE4,2018,2010000
2017,UKE4,2018,5031000
