year,nuts_id,nuts_year_spec,gbp_business_contract_research
2014,UKH2,2018,4489000
2015,UKH2,2018,4005000
2016,UKH2,2018,5064000
2017,UKH2,2018,5678000
2014,UKJ1,2018,5235000
2015,UKJ1,2018,5476000
2016,UKJ1,2018,10762000
2017,UKJ1,2018,12969000
2014,UKD6,2018,21000
2015,UKD6,2018,81000
2016,UKD6,2018,96000
2017,UKD6,2018,68000
2014,UKK3,2018,0
2015,UKK3,2018,5000
2016,UKK3,2018,0
2017,UKK3,2018,0
2014,UKD1,2018,67000
2015,UKD1,2018,8000
2016,UKD1,2018,190000
2017,UKD1,2018,94000
2014,UKF1,2018,4054000
2015,UKF1,2018,5869000
2016,UKF1,2018,4787000
2017,UKF1,2018,6136000
2014,UKK4,2018,1454000
2015,UKK4,2018,1591000
2016,UKK4,2018,2103000
2017,UKK4,2018,1720000
2014,UKK2,2018,322000
2015,UKK2,2018,295000
2016,UKK2,2018,254000
2017,UKK2,2018,187000
2014,UKH1,2018,8022000
2015,UKH1,2018,6523000
2016,UKH1,2018,5505000
2017,UKH1,2018,6939000
2014,UKL2,2018,1987000
2015,UKL2,2018,2147000
2016,UKL2,2018,1916000
2017,UKL2,2018,3226000
2014,UKE1,2018,745000
2015,UKE1,2018,788000
2016,UKE1,2018,608000
2017,UKE1,2018,384000
2014,UKM7,2018,18536000
2015,UKM7,2018,19151000
2016,UKM7,2018,24091000
2017,UKM7,2018,23886000
2014,UKH3,2018,9171000
2015,UKH3,2018,8596000
2016,UKH3,2018,7338000
2017,UKH3,2018,230000
2014,UKK1,2018,2479000
2015,UKK1,2018,2965000
2016,UKK1,2018,2964000
2017,UKK1,2018,2934000
2014,UKD3,2018,6468000
2015,UKD3,2018,6833000
2016,UKD3,2018,6381000
2017,UKD3,2018,7252000
2014,UKJ3,2018,4553000
2015,UKJ3,2018,6112000
2016,UKJ3,2018,4909000
2017,UKJ3,2018,5633000
2014,UKG1,2018,128000
2015,UKG1,2018,2000
2016,UKG1,2018,87000
2017,UKG1,2018,141000
2014,UKM6,2018,1222000
2015,UKM6,2018,842000
2016,UKM6,2018,191000
2017,UKM6,2018,360000
2014,UKI4,2018,4259000
2015,UKI4,2018,4262000
2016,UKI4,2018,3000000
2017,UKI4,2018,3623000
2014,UKI3,2018,28711000
2015,UKI3,2018,31617000
2016,UKI3,2018,38074000
2017,UKI3,2018,44360000
2014,UKJ4,2018,271000
2015,UKJ4,2018,346000
2016,UKJ4,2018,269000
2017,UKJ4,2018,363000
2014,UKD4,2018,687000
2015,UKD4,2018,1861000
2016,UKD4,2018,1264000
2017,UKD4,2018,1728000
2014,UKF2,2018,5236000
2015,UKF2,2018,5044000
2016,UKF2,2018,4487000
2017,UKF2,2018,4881000
2014,UKF3,2018,239000
2015,UKF3,2018,604000
2016,UKF3,2018,178000
2017,UKF3,2018,246000
2014,UKD7,2018,2881000
2015,UKD7,2018,3051000
2016,UKD7,2018,3055000
2017,UKD7,2018,3344000
2014,UKM5,2018,6370000
2015,UKM5,2018,6293000
2016,UKM5,2018,5935000
2017,UKM5,2018,6178000
2014,UKE2,2018,2973000
2015,UKE2,2018,2853000
2016,UKE2,2018,3804000
2017,UKE2,2018,3780000
2014,UKN0,2018,2372000
2015,UKN0,2018,2576000
2016,UKN0,2018,2342000
2017,UKN0,2018,2851000
2014,UKC2,2018,2728000
2015,UKC2,2018,2527000
2016,UKC2,2018,3416000
2017,UKC2,2018,3315000
2014,UKI5,2018,636000
2015,UKI5,2018,718000
2016,UKI5,2018,752000
2017,UKI5,2018,644000
2014,UKI6,2018,59000
2015,UKI6,2018,144000
2016,UKI6,2018,137000
2017,UKI6,2018,31000
2014,UKI7,2018,1124000
2015,UKI7,2018,461000
2016,UKI7,2018,423000
2017,UKI7,2018,571000
2014,UKG2,2018,313000
2015,UKG2,2018,504000
2016,UKG2,2018,628000
2017,UKG2,2018,820000
2014,UKE3,2018,4847000
2015,UKE3,2018,6503000
2016,UKE3,2018,5946000
2017,UKE3,2018,6315000
2014,UKJ2,2018,1732000
2015,UKJ2,2018,1777000
2016,UKJ2,2018,2832000
2017,UKJ2,2018,3827000
2014,UKC1,2018,2027000
2015,UKC1,2018,1711000
2016,UKC1,2018,2181000
2017,UKC1,2018,2445000
2014,UKM8,2018,6513000
2015,UKM8,2018,6567000
2016,UKM8,2018,6734000
2017,UKM8,2018,6534000
2014,UKG3,2018,7366000
2015,UKG3,2018,5531000
2016,UKG3,2018,6489000
2017,UKG3,2018,5335000
2014,UKL1,2018,2201000
2015,UKL1,2018,2643000
2016,UKL1,2018,2751000
2017,UKL1,2018,2385000
2014,UKE4,2018,5308000
2015,UKE4,2018,7290000
2016,UKE4,2018,6257000
2017,UKE4,2018,4845000
