year,nuts_id,nuts_year_spec,gbp_business_consulting
2014,UKH2,2018,5431000
2015,UKH2,2018,4317000
2016,UKH2,2018,4573000
2017,UKH2,2018,5197000
2014,UKJ1,2018,3713000
2015,UKJ1,2018,4753000
2016,UKJ1,2018,5871000
2017,UKJ1,2018,6265000
2014,UKD6,2018,228000
2015,UKD6,2018,220000
2016,UKD6,2018,233000
2017,UKD6,2018,265000
2014,UKK3,2018,29000
2015,UKK3,2018,3000
2016,UKK3,2018,5000
2017,UKK3,2018,1000
2014,UKD1,2018,59000
2015,UKD1,2018,8000
2016,UKD1,2018,190000
2017,UKD1,2018,95000
2014,UKF1,2018,3779000
2015,UKF1,2018,4975000
2016,UKF1,2018,4555000
2017,UKF1,2018,6146000
2014,UKK4,2018,1987000
2015,UKK4,2018,2313000
2016,UKK4,2018,2465000
2017,UKK4,2018,2153000
2014,UKK2,2018,559000
2015,UKK2,2018,334000
2016,UKK2,2018,140000
2017,UKK2,2018,179000
2014,UKH1,2018,9569000
2015,UKH1,2018,7687000
2016,UKH1,2018,7515000
2017,UKH1,2018,8670000
2014,UKL2,2018,2267000
2015,UKL2,2018,1859000
2016,UKL2,2018,1820000
2017,UKL2,2018,2397000
2014,UKE1,2018,641000
2015,UKE1,2018,708000
2016,UKE1,2018,653000
2017,UKE1,2018,339000
2014,UKM7,2018,30054000
2015,UKM7,2018,36140000
2016,UKM7,2018,41152000
2017,UKM7,2018,37464000
2014,UKH3,2018,17680000
2015,UKH3,2018,17064000
2016,UKH3,2018,14460000
2017,UKH3,2018,216000
2014,UKK1,2018,3735000
2015,UKK1,2018,4199000
2016,UKK1,2018,3965000
2017,UKK1,2018,4311000
2014,UKD3,2018,4593000
2015,UKD3,2018,4717000
2016,UKD3,2018,4851000
2017,UKD3,2018,3920000
2014,UKJ3,2018,4566000
2015,UKJ3,2018,5675000
2016,UKJ3,2018,5251000
2017,UKJ3,2018,4949000
2014,UKG1,2018,19000
2015,UKG1,2018,18000
2016,UKG1,2018,111000
2017,UKG1,2018,139000
2014,UKM6,2018,1300000
2015,UKM6,2018,1016000
2016,UKM6,2018,1182000
2017,UKM6,2018,1346000
2014,UKI4,2018,3799000
2015,UKI4,2018,3610000
2016,UKI4,2018,2913000
2017,UKI4,2018,3195000
2014,UKI3,2018,34741000
2015,UKI3,2018,37705000
2016,UKI3,2018,44607000
2017,UKI3,2018,49333000
2014,UKJ4,2018,363000
2015,UKJ4,2018,512000
2016,UKJ4,2018,385000
2017,UKJ4,2018,499000
2014,UKD4,2018,8825000
2015,UKD4,2018,5267000
2016,UKD4,2018,2866000
2017,UKD4,2018,3077000
2014,UKF2,2018,4717000
2015,UKF2,2018,4455000
2016,UKF2,2018,4645000
2017,UKF2,2018,4653000
2014,UKF3,2018,171000
2015,UKF3,2018,458000
2016,UKF3,2018,114000
2017,UKF3,2018,124000
2014,UKD7,2018,12005000
2015,UKD7,2018,11149000
2016,UKD7,2018,11453000
2017,UKD7,2018,11330000
2014,UKM5,2018,514000
2015,UKM5,2018,581000
2016,UKM5,2018,547000
2017,UKM5,2018,585000
2014,UKE2,2018,2890000
2015,UKE2,2018,2862000
2016,UKE2,2018,2808000
2017,UKE2,2018,3666000
2014,UKN0,2018,3772000
2015,UKN0,2018,3061000
2016,UKN0,2018,3312000
2017,UKN0,2018,3602000
2014,UKC2,2018,2352000
2015,UKC2,2018,2005000
2016,UKC2,2018,2793000
2017,UKC2,2018,3257000
2014,UKI5,2018,813000
2015,UKI5,2018,953000
2016,UKI5,2018,974000
2017,UKI5,2018,923000
2014,UKI6,2018,77000
2015,UKI6,2018,154000
2016,UKI6,2018,136000
2017,UKI6,2018,28000
2014,UKI7,2018,330000
2015,UKI7,2018,385000
2016,UKI7,2018,452000
2017,UKI7,2018,473000
2014,UKG2,2018,644000
2015,UKG2,2018,766000
2016,UKG2,2018,1676000
2017,UKG2,2018,2254000
2014,UKE3,2018,3036000
2015,UKE3,2018,3627000
2016,UKE3,2018,2657000
2017,UKE3,2018,2612000
2014,UKJ2,2018,1410000
2015,UKJ2,2018,1293000
2016,UKJ2,2018,2234000
2017,UKJ2,2018,2163000
2014,UKC1,2018,2245000
2015,UKC1,2018,1830000
2016,UKC1,2018,1672000
2017,UKC1,2018,1759000
2014,UKM8,2018,5744000
2015,UKM8,2018,5563000
2016,UKM8,2018,4177000
2017,UKM8,2018,4334000
2014,UKG3,2018,4887000
2015,UKG3,2018,4841000
2016,UKG3,2018,4299000
2017,UKG3,2018,6123000
2014,UKL1,2018,2268000
2015,UKL1,2018,2490000
2016,UKL1,2018,1846000
2017,UKL1,2018,1782000
2014,UKE4,2018,4795000
2015,UKE4,2018,6328000
2016,UKE4,2018,4690000
2017,UKE4,2018,4743000
