year,nuts_id,nuts_year_spec,epo_patent_applications
2015,UKH24,2010,10.0
2015,UKH25,2010,28.0
2015,UKH31,2010,11.0
2015,UKH32,2010,5.0
2015,UKJ11,2010,273.0
2015,UKJ12,2010,106.0
2015,UKJ13,2010,136.0
2015,UKJ14,2010,213.0
2015,UKJ21,2010,65.0
2015,UKJ22,2010,66.0
2015,UKJ31,2010,15.0
2015,UKJ32,2010,20.0
2015,UKJ34,2010,9.0
2015,UKJ41,2010,6.0
2015,UKK11,2010,127.0
2015,UKK12,2010,95.0
2015,UKK13,2010,105.0
2015,UKK14,2010,25.0
2015,UKK15,2010,53.0
2015,UKK21,2010,64.0
2015,UKK22,2010,30.0
2015,UKK23,2010,65.0
2015,UKK30,2010,79.0
2015,UKK41,2010,28.0
2015,UKK42,2010,10.0
2015,UKK43,2010,98.0
2015,UKL11,2010,
2015,UKL12,2010,6.0
2015,UKL13,2010,7.0
2015,UKL14,2010,15.0
2015,UKL15,2010,10.0
2015,UKL16,2010,23.0
2015,UKL17,2010,15.0
2015,UKL18,2010,21.0
2015,UKL21,2010,33.0
2015,UKL22,2010,61.0
2015,UKL23,2010,26.0
2015,UKL24,2010,8.0
2015,UKM21,2010,9.0
2015,UKM22,2010,28.0
2015,UKM23,2010,9.0
2015,UKM24,2010,4.0
2015,UKM25,2010,131.0
2015,UKM26,2010,1.0
2015,UKM27,2010,16.0
2015,UKM28,2010,9.0
2015,UKM31,2010,5.0
2015,UKM32,2010,6.0
2015,UKM33,2010,5.0
2015,UKM34,2010,116.0
2015,UKM35,2010,31.0
2015,UKM36,2010,11.0
2015,UKM37,2010,41.0
2015,UKM38,2010,10.0
2015,UKM50,2010,38.0
2015,UKM61,2010,15.0
2015,UKM62,2010,6.0
2015,UKM63,2010,2.0
2015,UKM64,2010,2.0
2015,UKM65,2010,
2015,UKM66,2010,
2015,UKN01,2010,33.0
2015,UKN02,2010,24.0
2015,UKN03,2010,44.0
2015,UKN04,2010,10.0
2015,UKN05,2010,41.0
2014,UKC11,2010,8.0
2014,UKC12,2010,3.0
2014,UKC13,2010,8.0
2014,UKC14,2010,19.0
2014,UKC21,2010,10.0
2014,UKC22,2010,47.0
2014,UKC23,2010,8.0
2014,UKD11,2010,7.0
2014,UKD12,2010,17.0
2014,UKD41,2010,22.0
2014,UKD42,2010,13.0
2014,UKD61,2010,19.0
2014,UKD62,2010,72.0
2014,UKD63,2010,39.0
2014,UKD71,2010,53.0
2014,UKD72,2010,32.0
2014,UKD73,2010,12.0
2014,UKD74,2010,28.0
2014,UKE11,2010,50.0
2014,UKE12,2010,42.0
2014,UKE13,2010,10.0
2014,UKE21,2010,22.0
2014,UKE22,2010,81.0
2014,UKE31,2010,65.0
2014,UKE32,2010,62.0
2014,UKE41,2010,58.0
2014,UKE42,2010,91.0
2014,UKE44,2010,72.0
2014,UKE45,2010,31.0
2014,UKF11,2010,15.0
2014,UKF12,2010,87.0
2014,UKF13,2010,38.0
2014,UKF14,2010,29.0
2014,UKF15,2010,31.0
2014,UKF16,2010,41.0
2014,UKF21,2010,32.0
2014,UKF22,2010,113.0
2014,UKF24,2010,31.0
2014,UKF25,2010,53.0
2014,UKF30,2010,26.0
2014,UKG11,2010,13.0
2014,UKG12,2010,122.0
2014,UKG13,2010,89.0
2014,UKG21,2010,16.0
2014,UKG22,2010,47.0
2014,UKG23,2010,13.0
2014,UKG24,2010,84.0
2014,UKG31,2010,99.0
2014,UKG32,2010,28.0
2014,UKG33,2010,94.0
2014,UKG36,2010,17.0
2014,UKG37,2010,29.0
2014,UKG38,2010,40.0
2014,UKG39,2010,15.0
2014,UKH11,2010,33.0
2014,UKH12,2010,134.0
2014,UKH14,2010,86.0
2014,UKH21,2010,19.0
2014,UKH23,2010,405.0
2014,UKH24,2010,13.0
2014,UKH25,2010,26.0
2014,UKH31,2010,32.0
2014,UKH32,2010,9.0
2014,UKJ11,2010,282.0
2014,UKJ12,2010,48.0
2014,UKJ13,2010,140.0
2014,UKJ14,2010,216.0
2014,UKJ21,2010,64.0
2014,UKJ22,2010,55.0
2014,UKJ31,2010,13.0
2014,UKJ32,2010,14.0
2014,UKJ34,2010,9.0
2014,UKJ41,2010,15.0
2014,UKK11,2010,90.0
2014,UKK12,2010,95.0
2014,UKK13,2010,123.0
2014,UKK14,2010,33.0
2014,UKK15,2010,81.0
2014,UKK21,2010,60.0
2014,UKK22,2010,42.0
2014,UKK23,2010,87.0
2014,UKK30,2010,59.0
2014,UKK41,2010,8.0
2014,UKK42,2010,3.0
2014,UKK43,2010,89.0
2014,UKL11,2010,1.0
2014,UKL12,2010,1.0
2014,UKL13,2010,10.0
2014,UKL14,2010,14.0
2014,UKL15,2010,16.0
2014,UKL16,2010,18.0
2014,UKL17,2010,5.0
2014,UKL18,2010,21.0
2014,UKL21,2010,10.0
2014,UKL22,2010,43.0
2014,UKL23,2010,26.0
2014,UKL24,2010,18.0
2014,UKM21,2010,36.0
2014,UKM22,2010,9.0
2014,UKM23,2010,7.0
2014,UKM24,2010,3.0
2014,UKM25,2010,106.0
2014,UKM26,2010,2.0
2014,UKM27,2010,20.0
2014,UKM28,2010,37.0
2014,UKM31,2010,5.0
2014,UKM32,2010,6.0
2014,UKM33,2010,9.0
2014,UKM34,2010,85.0
2014,UKM35,2010,48.0
2014,UKM36,2010,3.0
2014,UKM37,2010,11.0
2014,UKM38,2010,21.0
2014,UKM50,2010,46.0
2014,UKM61,2010,10.0
2014,UKM62,2010,10.0
2014,UKM63,2010,4.0
2014,UKM64,2010,1.0
2014,UKM65,2010,3.0
2014,UKM66,2010,1.0
2014,UKN01,2010,44.0
2014,UKN02,2010,40.0
2014,UKN03,2010,47.0
2014,UKN04,2010,20.0
2014,UKN05,2010,45.0
2013,UKC11,2010,12.0
2013,UKC12,2010,7.0
2013,UKC13,2010,1.0
2013,UKC14,2010,16.0
2013,UKC21,2010,64.0
2013,UKC22,2010,50.0
2013,UKC23,2010,12.0
2013,UKD11,2010,2.0
2013,UKD12,2010,27.0
2013,UKD41,2010,37.0
2013,UKD42,2010,18.0
2013,UKD61,2010,35.0
2013,UKD62,2010,81.0
2013,UKD63,2010,24.0
2013,UKD71,2010,29.0
2013,UKD72,2010,28.0
2013,UKD73,2010,9.0
2013,UKD74,2010,22.0
2013,UKE11,2010,60.0
2013,UKE12,2010,31.0
2013,UKE13,2010,9.0
2013,UKE21,2010,21.0
2013,UKE22,2010,71.0
2013,UKE31,2010,43.0
2013,UKE32,2010,33.0
2013,UKE41,2010,48.0
2013,UKE42,2010,110.0
2013,UKE44,2010,55.0
2013,UKE45,2010,41.0
2013,UKF11,2010,17.0
2013,UKF12,2010,71.0
2013,UKF13,2010,39.0
2013,UKF14,2010,53.0
2013,UKF15,2010,26.0
2013,UKF16,2010,44.0
2013,UKF21,2010,32.0
2013,UKF22,2010,127.0
2013,UKF24,2010,30.0
2013,UKF25,2010,43.0
2013,UKF30,2010,54.0
2013,UKG11,2010,45.0
2013,UKG12,2010,114.0
2013,UKG13,2010,52.0
2013,UKG21,2010,8.0
2013,UKG22,2010,21.0
2013,UKG23,2010,20.0
2013,UKG24,2010,63.0
2013,UKG31,2010,118.0
2013,UKG32,2010,14.0
2013,UKG33,2010,63.0
2013,UKG36,2010,11.0
2013,UKG37,2010,17.0
2013,UKG38,2010,13.0
2013,UKG39,2010,23.0
2013,UKH11,2010,34.0
2013,UKH12,2010,171.0
2013,UKH14,2010,60.0
2013,UKH21,2010,26.0
2013,UKH23,2010,347.0
2013,UKH24,2010,15.0
2013,UKH25,2010,50.0
2013,UKH31,2010,14.0
2013,UKH32,2010,11.0
2013,UKJ11,2010,262.0
2013,UKJ12,2010,74.0
2013,UKJ13,2010,119.0
2013,UKJ14,2010,192.0
2013,UKJ21,2010,35.0
2013,UKJ22,2010,52.0
2013,UKJ31,2010,10.0
2013,UKJ32,2010,24.0
2013,UKJ34,2010,4.0
2013,UKJ41,2010,7.0
2013,UKK11,2010,76.0
2013,UKK12,2010,69.0
2013,UKK13,2010,120.0
2013,UKK14,2010,22.0
2013,UKK15,2010,64.0
2013,UKK21,2010,75.0
2013,UKK22,2010,27.0
2013,UKK23,2010,76.0
2013,UKK30,2010,43.0
2013,UKK41,2010,9.0
2013,UKK42,2010,2.0
2013,UKK43,2010,68.0
2013,UKL11,2010,
2013,UKL12,2010,4.0
2013,UKL13,2010,5.0
2013,UKL14,2010,24.0
2013,UKL15,2010,8.0
2013,UKL16,2010,9.0
2013,UKL17,2010,20.0
2013,UKL18,2010,14.0
2013,UKL21,2010,23.0
2013,UKL22,2010,40.0
2013,UKL23,2010,26.0
2013,UKL24,2010,6.0
2013,UKM21,2010,9.0
2013,UKM22,2010,28.0
2013,UKM23,2010,7.0
2013,UKM24,2010,2.0
2013,UKM25,2010,115.0
2013,UKM26,2010,
2013,UKM27,2010,15.0
2013,UKM28,2010,10.0
2013,UKM31,2010,7.0
2013,UKM32,2010,12.0
2013,UKM33,2010,15.0
2013,UKM34,2010,99.0
2013,UKM35,2010,63.0
2013,UKM36,2010,6.0
