year,nuts_id,nuts_year_spec,eurostat_gdp_per_capita
2007,UKC1,2016,23724990000.0
2007,UKC2,2016,32523820000.0
2007,UKD1,2016,11856040000.0
2007,UKD3,2016,66909060000.0
2007,UKD4,2016,33833129999.999996
2007,UKD6,2016,30040640000.0
2007,UKD7,2016,32992080000.0
2007,UKE1,2016,21721680000.0
2007,UKE2,2016,21000590000.0
2007,UKE3,2016,27731610000.0
2007,UKE4,2016,55812800000.0
2007,UKF1,2016,47023000000.0
2007,UKF2,2016,42505550000.0
2007,UKF3,2016,14398560000.0
2007,UKG1,2016,31339640000.0
2007,UKG2,2016,33026910000.000004
2007,UKG3,2016,63451960000.0
2007,UKH1,2016,60157400000.0
2007,UKH2,2016,51762320000.0
2007,UKH3,2016,39983670000.0
2007,UKI3,2016,161655500000.0
2007,UKI4,2016,91245490000.0
2007,UKI5,2016,37762360000.0
2007,UKI6,2016,34852200000.0
2007,UKI7,2016,65945460000.00001
2007,UKJ1,2016,87585870000.0
2007,UKJ2,2016,80239530000.0
2007,UKJ3,2016,53823680000.0
2007,UKJ4,2016,39619900000.0
2007,UKK1,2016,68418310000.0
2007,UKK2,2016,28890000000.0
2007,UKK3,2016,10211340000.0
2007,UKK4,2016,24729870000.0
2007,UKL1,2016,34782550000.0
2007,UKL2,2016,28366270000.0
2007,UKM5,2016,18723800000.0
2007,UKM6,2016,11707700000.0
2007,UKM7,2016,55553520000.0
2007,UKM8,2016,37127700000.0
2007,UKM9,2016,16087120000.0
2007,UKN0,2016,41227200000.0
2007,UKZZ,2016,29589160000.0
2008,UKC1,2016,23675980000.0
2008,UKC2,2016,32013690000.0
2008,UKD1,2016,12161070000.0
2008,UKD3,2016,65339590000.0
2008,UKD4,2016,32895140000.0
2008,UKD6,2016,28654700000.0
2008,UKD7,2016,33086870000.000004
2008,UKE1,2016,21901870000.0
2008,UKE2,2016,20512460000.0
2008,UKE3,2016,26400020000.0
2008,UKE4,2016,53835880000.0
2008,UKF1,2016,46364690000.0
2008,UKF2,2016,42431770000.0
2008,UKF3,2016,14570120000.0
2008,UKG1,2016,31386210000.0
2008,UKG2,2016,33302250000.0
2008,UKG3,2016,61946990000.0
2008,UKH1,2016,59532960000.0
2008,UKH2,2016,52338160000.0
2008,UKH3,2016,39616840000.0
2008,UKI3,2016,158885690000.0
2008,UKI4,2016,92085720000.0
2008,UKI5,2016,36936380000.0
2008,UKI6,2016,33650850000.0
2008,UKI7,2016,64949910000.0
2008,UKJ1,2016,87921230000.0
2008,UKJ2,2016,81541900000.0
2008,UKJ3,2016,53890660000.0
2008,UKJ4,2016,40614080000.0
2008,UKK1,2016,68376119999.99999
2008,UKK2,2016,29221170000.0
2008,UKK3,2016,10401900000.0
2008,UKK4,2016,24564910000.0
2008,UKL1,2016,34021860000.0
2008,UKL2,2016,27125850000.0
2008,UKM5,2016,19689530000.0
2008,UKM6,2016,11983030000.0
2008,UKM7,2016,54496970000.0
2008,UKM8,2016,37448070000.0
2008,UKM9,2016,16354200000.0
2008,UKN0,2016,40121060000.0
2008,UKZZ,2016,34489970000.0
2009,UKC1,2016,22671430000.0
2009,UKC2,2016,29837510000.0
2009,UKD1,2016,11293940000.0
2009,UKD3,2016,62279060000.0
2009,UKD4,2016,29731610000.0
2009,UKD6,2016,26867530000.0
2009,UKD7,2016,32079120000.0
2009,UKE1,2016,19915600000.0
2009,UKE2,2016,18929530000.0
2009,UKE3,2016,24630630000.0
2009,UKE4,2016,50716830000.0
2009,UKF1,2016,42855320000.0
2009,UKF2,2016,39367590000.0
2009,UKF3,2016,13507310000.0
2009,UKG1,2016,28758480000.0
2009,UKG2,2016,30219940000.0
2009,UKG3,2016,57055700000.0
2009,UKH1,2016,55773100000.0
2009,UKH2,2016,47591520000.0
2009,UKH3,2016,36334060000.0
