year,nuts_id,nuts_year_spec,eurostat_berd_data
2007,UKC1,2006,229491000.0
2007,UKC2,2006,239915000.0
2007,UKD1,2006,51974000.0
2007,UKD3,2006,253680000.0
2007,UKD4,2006,1104284000.0
2007,UKE1,2006,113426000.0
2007,UKE2,2006,202950000.0
2007,UKE3,2006,87606000.0
2007,UKE4,2006,226367000.0
2007,UKF1,2006,989241000.0
2007,UKF2,2006,544141000.0
2007,UKF3,2006,59240000.0
2007,UKG1,2006,740041000.0
2007,UKG2,2006,151881000.0
2007,UKG3,2006,582622000.0
2007,UKH1,2006,3091350000.0
2007,UKH2,2006,1318050000.0
2007,UKH3,2006,2166740000.0
2007,UKJ1,2006,2083813999.9999998
2007,UKJ2,2006,811223000.0
2007,UKJ3,2006,1557755000.0
2007,UKJ4,2006,962961000.0
2007,UKK1,2006,1631002000.0
2007,UKK2,2006,185872000.0
2007,UKK3,2006,22075000.0
2007,UKK4,2006,69493000.0
2007,UKL1,2006,72758000.0
2007,UKL2,2006,270575000.0
2007,UKM2,2006,425837000.0
2007,UKM3,2006,225048000.0
2007,UKM5,2006,87973000.0
2007,UKM6,2006,36869000.0
2007,UKN0,2006,267486000.0
2008,UKC1,2006,214413000.0
2008,UKC2,2006,208598000.0
2008,UKD1,2006,52461000.0
2008,UKD3,2006,214442000.0
2008,UKD4,2006,714789000.0
2008,UKE1,2006,97769000.0
2008,UKE2,2006,177123000.0
2008,UKE3,2006,82119000.0
2008,UKE4,2006,198423000.0
2008,UKF1,2006,768168000.0
2008,UKF2,2006,456662000.0
2008,UKF3,2006,67373000.0
2008,UKG1,2006,515739000.00000006
2008,UKG2,2006,122907000.0
2008,UKG3,2006,524357000.0
2008,UKH1,2006,2742774000.0
2008,UKH2,2006,1344970000.0
2008,UKH3,2006,1310200000.0
2008,UKJ1,2006,1761511000.0
2008,UKJ2,2006,870580000.0
2008,UKJ3,2006,1143426000.0
2008,UKJ4,2006,706324000.0
2008,UKK1,2006,1540313000.0
2008,UKK2,2006,185824000.0
2008,UKK3,2006,18197000.0
2008,UKK4,2006,46903000.0
2008,UKL1,2006,81267000.0
2008,UKL2,2006,235002000.0
