year,nuts_id,nuts_year_spec,eurostat_private_rd_fte_workforce_data
2012,UKH2,2013,8936.0
2012,UKJ1,2013,16990.0
2012,UKD6,2013,4433.0
2012,UKK3,2013,367.0
2012,UKD1,2013,1112.0
2012,UKF1,2013,8904.0
2012,UKK4,2013,715.0
2012,UKK2,2013,2242.0
2012,UKH1,2013,14623.0
2012,UKE1,2013,0.0
2012,UKL2,2013,2444.0
2012,UKM2,2013,4089.0
2012,UKH3,2013,5577.0
2012,UKK1,2013,11608.0
2012,UKD3,2013,3215.0
2012,UKJ3,2013,8098.0
2012,UKG1,2013,7189.0
2012,UKM6,2013,336.0
2012,UKI4,2013,1633.0
2012,UKI3,2013,4948.0
2012,UKJ4,2013,3232.0
2012,UKD4,2013,2561.0
2012,UKF2,2013,3319.0
2012,UKF3,2013,607.0
2012,UKD7,2013,1639.0
2012,UKM5,2013,1172.0
2012,UKE2,2013,3020.0
2012,UKN0,2013,4602.0
2012,UKC2,2013,2025.0
2012,UKI5,2013,547.0
2012,UKI6,2013,957.0
2012,UKI7,2013,4435.0
2012,UKG2,2013,1920.0
2012,UKM3,2013,2747.0
2012,UKE3,2013,1314.0
2012,UKJ2,2013,8249.0
2012,UKC1,2013,1445.0
2012,UKG3,2013,4599.0
2012,UKL1,2013,836.0
2012,UKE4,2013,3434.0
2013,UKH2,2013,11516.0
2013,UKJ1,2013,18690.0
2013,UKD6,2013,4480.0
2013,UKK3,2013,337.0
2013,UKD1,2013,918.0
2013,UKF1,2013,10720.0
2013,UKK4,2013,811.0
2013,UKK2,2013,2277.0
2013,UKH1,2013,15536.0
2013,UKE1,2013,1463.0
2013,UKL2,2013,3175.0
2013,UKM2,2013,4942.0
2013,UKH3,2013,5550.0
2013,UKK1,2013,12134.0
2013,UKD3,2013,3187.0
2013,UKJ3,2013,8692.0
2013,UKG1,2013,7559.0
2013,UKM6,2013,353.0
2013,UKI4,2013,2771.0
2013,UKI3,2013,6415.0
2013,UKJ4,2013,2856.0
2013,UKD4,2013,2541.0
2013,UKF2,2013,3667.0
2013,UKF3,2013,663.0
2013,UKD7,2013,1898.0
2013,UKM5,2013,1205.0
2013,UKE2,2013,2115.0
2013,UKN0,2013,4752.0
2013,UKC2,2013,2253.0
2013,UKI5,2013,601.0
2013,UKI6,2013,772.0
2013,UKI7,2013,3679.0
2013,UKG2,2013,2241.0
2013,UKM3,2013,3483.0
2013,UKE3,2013,1492.0
2013,UKJ2,2013,8567.0
2013,UKC1,2013,2530.0
2013,UKG3,2013,5872.0
2013,UKL1,2013,1115.0
2013,UKE4,2013,4119.0
2014,UKH2,2013,10868.0
2014,UKJ1,2013,20295.0
2014,UKD6,2013,4998.0
2014,UKK3,2013,392.0
2014,UKD1,2013,1407.0
2014,UKF1,2013,11463.0
2014,UKK4,2013,1473.0
2014,UKK2,2013,2558.0
2014,UKH1,2013,16993.0
2014,UKE1,2013,1662.0
2014,UKL2,2013,2225.0
2014,UKM2,2013,4961.0
2014,UKH3,2013,5818.0
2014,UKK1,2013,11896.0
2014,UKD3,2013,3813.0
2014,UKJ3,2013,8623.0
2014,UKG1,2013,8980.0
2014,UKM6,2013,298.0
2014,UKI4,2013,3917.0
2014,UKI3,2013,7868.0
2014,UKJ4,2013,3014.0
2014,UKD4,2013,2604.0
2014,UKF2,2013,4190.0
2014,UKF3,2013,760.0
2014,UKD7,2013,2444.0
2014,UKM5,2013,1724.0
2014,UKE2,2013,2264.0
2014,UKN0,2013,4964.0
2014,UKC2,2013,2415.0
2014,UKI5,2013,650.0
2014,UKI6,2013,1157.0
2014,UKI7,2013,4450.0
2014,UKG2,2013,2429.0
2014,UKM3,2013,2942.0
2014,UKE3,2013,1594.0
2014,UKJ2,2013,8821.0
2014,UKC1,2013,1658.0
2014,UKG3,2013,6837.0
2014,UKL1,2013,2671.0
2014,UKE4,2013,4124.0
2015,UKH2,2013,11388.0
2015,UKJ1,2013,21159.0
2015,UKD6,2013,5233.0
2015,UKK3,2013,505.0
2015,UKD1,2013,1770.0
2015,UKF1,2013,11355.0
2015,UKK4,2013,1642.0
2015,UKK2,2013,2791.0
2015,UKH1,2013,18162.0
2015,UKE1,2013,1657.0
2015,UKL2,2013,2183.0
2015,UKM2,2013,5917.0
2015,UKH3,2013,5803.0
2015,UKK1,2013,12243.0
2015,UKD3,2013,4641.0
2015,UKJ3,2013,9426.0
2015,UKG1,2013,9239.0
2015,UKM6,2013,332.0
2015,UKI4,2013,3837.0
2015,UKI3,2013,8946.0
2015,UKJ4,2013,3339.0
2015,UKD4,2013,3059.0
2015,UKF2,2013,4132.0
2015,UKF3,2013,755.0
2015,UKD7,2013,2620.0
2015,UKM5,2013,1411.0
2015,UKE2,2013,2700.0
2015,UKN0,2013,6079.0
2015,UKC2,2013,2799.0
2015,UKI5,2013,814.0
2015,UKI6,2013,890.0
2015,UKI7,2013,5985.0
2015,UKG2,2013,2605.0
2015,UKM3,2013,3385.0
2015,UKE3,2013,1770.0
2015,UKJ2,2013,9744.0
2015,UKC1,2013,1650.0
2015,UKG3,2013,7126.0
2015,UKL1,2013,2514.0
2015,UKE4,2013,4547.0
2016,UKH2,2013,12107.0
2016,UKJ1,2013,21467.0
2016,UKD6,2013,4525.0
2016,UKK3,2013,512.0
2016,UKD1,2013,1727.0
2016,UKF1,2013,12176.0
2016,UKK4,2013,1735.0
2016,UKK2,2013,2884.0
2016,UKH1,2013,18835.0
2016,UKE1,2013,1678.0
2016,UKL2,2013,2397.0
2016,UKM2,2013,5972.0
2016,UKH3,2013,6091.0
2016,UKK1,2013,13237.0
2016,UKD3,2013,4727.0
2016,UKJ3,2013,8270.0
2016,UKG1,2013,8779.0
2016,UKM6,2013,314.0
2016,UKI4,2013,3567.0
2016,UKI3,2013,9562.0
2016,UKJ4,2013,3094.0
2016,UKD4,2013,3379.0
2016,UKF2,2013,4347.0
2016,UKF3,2013,819.0
2016,UKD7,2013,3139.0
2016,UKM5,2013,2067.0
2016,UKE2,2013,2767.0
2016,UKN0,2013,6990.0
2016,UKC2,2013,2797.0
2016,UKI5,2013,747.0
2016,UKI6,2013,964.0
2016,UKI7,2013,5245.0
2016,UKG2,2013,2603.0
2016,UKM3,2013,3592.0
2016,UKE3,2013,1597.0
2016,UKJ2,2013,9165.0
2016,UKC1,2013,1382.0
2016,UKG3,2013,7571.0
2016,UKL1,2013,2480.0
