year,nuts_id,nuts_year_spec,epo_hightech_patent_applications
2012,UKC1,2010,9
2012,UKC2,2010,24
2012,UKD1,2010,1
2012,UKD3,2010,34
2012,UKD4,2010,16
2012,UKD6,2010,8
2012,UKD7,2010,3
2012,UKE1,2010,0
2012,UKE2,2010,18
2012,UKE3,2010,5
2012,UKE4,2010,43
2012,UKF1,2010,36
2012,UKF2,2010,22
2012,UKF3,2010,1
2012,UKG1,2010,18
2012,UKG2,2010,11
2012,UKG3,2010,20
2012,UKH1,2010,189
2012,UKH2,2010,73
2012,UKH3,2010,22
2012,UKI1,2010,255
2012,UKI2,2010,104
2012,UKJ1,2010,174
2012,UKJ2,2010,243
2012,UKJ3,2010,86
2012,UKJ4,2010,18
2012,UKK1,2010,199
2012,UKK2,2010,17
2012,UKK3,2010,5
2012,UKK4,2010,10
2012,UKL1,2010,35
2012,UKL2,2010,17
2012,UKM2,2010,36
2012,UKM3,2010,22
2012,UKM5,2010,12
2012,UKM6,2010,16
2012,UKN0,2010,15
2012,UKZZ,2010,13
2011,UKC1,2010,21
2011,UKC2,2010,14
2011,UKD1,2010,0
2011,UKD3,2010,53
2011,UKD4,2010,41
2011,UKD6,2010,11
2011,UKD7,2010,12
2011,UKE1,2010,8
2011,UKE2,2010,31
2011,UKE3,2010,17
2011,UKE4,2010,41
2011,UKF1,2010,85
2011,UKF2,2010,20
2011,UKF3,2010,3
2011,UKG1,2010,15
2011,UKG2,2010,8
2011,UKG3,2010,33
2011,UKH1,2010,212
2011,UKH2,2010,57
2011,UKH3,2010,54
2011,UKI1,2010,249
2011,UKI2,2010,82
2011,UKJ1,2010,246
2011,UKJ2,2010,232
2011,UKJ3,2010,97
2011,UKJ4,2010,25
2011,UKK1,2010,251
2011,UKK2,2010,23
2011,UKK3,2010,1
2011,UKK4,2010,4
2011,UKL1,2010,10
2011,UKL2,2010,34
2011,UKM2,2010,69
2011,UKM3,2010,24
2011,UKM5,2010,6
2011,UKM6,2010,0
2011,UKN0,2010,37
2011,UKZZ,2010,6
2010,UKC1,2010,8
2010,UKC2,2010,14
2010,UKD1,2010,3
2010,UKD3,2010,29
2010,UKD4,2010,21
2010,UKD6,2010,8
2010,UKD7,2010,15
2010,UKE1,2010,9
2010,UKE2,2010,16
2010,UKE3,2010,12
2010,UKE4,2010,46
2010,UKF1,2010,44
2010,UKF2,2010,31
2010,UKF3,2010,0
2010,UKG1,2010,32
2010,UKG2,2010,19
2010,UKG3,2010,33
2010,UKH1,2010,227
2010,UKH2,2010,95
2010,UKH3,2010,48
2010,UKI1,2010,269
2010,UKI2,2010,115
2010,UKJ1,2010,179
2010,UKJ2,2010,269
2010,UKJ3,2010,123
2010,UKJ4,2010,22
2010,UKK1,2010,236
2010,UKK2,2010,15
2010,UKK3,2010,5
2010,UKK4,2010,21
2010,UKL1,2010,20
2010,UKL2,2010,16
2010,UKM2,2010,73
2010,UKM3,2010,12
2010,UKM5,2010,2
2010,UKM6,2010,12
2010,UKN0,2010,10
2010,UKZZ,2010,14
2009,UKC1,2010,12
2009,UKC2,2010,16
2009,UKD1,2010,2
2009,UKD3,2010,27
2009,UKD4,2010,19
2009,UKD6,2010,7
2009,UKD7,2010,9
2009,UKE1,2010,5
2009,UKE2,2010,5
2009,UKE3,2010,8
2009,UKE4,2010,19
2009,UKF1,2010,56
2009,UKF2,2010,25
2009,UKF3,2010,3
2009,UKG1,2010,32
2009,UKG2,2010,19
2009,UKG3,2010,23
2009,UKH1,2010,254
2009,UKH2,2010,62
2009,UKH3,2010,53
2009,UKI1,2010,218
2009,UKI2,2010,131
2009,UKJ1,2010,240
2009,UKJ2,2010,332
2009,UKJ3,2010,138
2009,UKJ4,2010,26
2009,UKK1,2010,218
2009,UKK2,2010,20
2009,UKK3,2010,2
2009,UKK4,2010,8
2009,UKL1,2010,9
2009,UKL2,2010,42
