year,nuts_id,nuts_year_spec,eu_trademark_applications
2016,UKC11,2013,5.0
2016,UKC12,2013,2.0
2016,UKC13,2013,4.0
2016,UKC14,2013,19.0
2016,UKC21,2013,13.0
2016,UKC22,2013,56.0
2016,UKC23,2013,9.0
2016,UKD11,2013,
2016,UKD12,2013,15.0
2016,UKD33,2013,73.0
2016,UKD34,2013,75.0
2016,UKD35,2013,49.0
2016,UKD36,2013,33.0
2016,UKD37,2013,62.0
2016,UKD41,2013,51.0
2016,UKD42,2013,10.0
2016,UKD44,2013,16.0
2016,UKD45,2013,24.0
2016,UKD46,2013,19.0
2016,UKD47,2013,11.0
2016,UKD61,2013,22.0
2016,UKD62,2013,61.0
2016,UKD63,2013,37.0
2016,UKD71,2013,33.0
2016,UKD72,2013,52.0
2016,UKD73,2013,7.0
2016,UKD74,2013,23.0
2016,UKE11,2013,48.0
2016,UKE12,2013,29.0
2016,UKE13,2013,4.0
2016,UKE21,2013,13.0
2016,UKE22,2013,58.0
2016,UKE31,2013,41.0
2016,UKE32,2013,44.0
2016,UKE41,2013,33.0
2016,UKE42,2013,89.0
2016,UKE44,2013,56.0
2016,UKE45,2013,28.0
2016,UKF11,2013,15.0
2016,UKF12,2013,47.0
2016,UKF13,2013,29.0
2016,UKF14,2013,42.0
2016,UKF15,2013,18.0
2016,UKF16,2013,57.0
2016,UKF21,2013,12.0
2016,UKF22,2013,90.0
2016,UKF24,2013,17.0
2016,UKF25,2013,38.0
2016,UKF30,2013,30.0
2016,UKG11,2013,26.0
2016,UKG12,2013,94.0
2016,UKG13,2013,112.0
2016,UKG21,2013,13.0
2016,UKG22,2013,31.0
2016,UKG23,2013,11.0
2016,UKG24,2013,65.0
2016,UKG31,2013,122.0
2016,UKG32,2013,23.0
2016,UKG33,2013,65.0
2016,UKG36,2013,19.0
2016,UKG37,2013,17.0
2016,UKG38,2013,23.0
2016,UKG39,2013,13.0
2016,UKH11,2013,23.0
2016,UKH12,2013,146.0
2016,UKH14,2013,56.0
2016,UKH15,2013,24.0
2016,UKH16,2013,16.0
2016,UKH17,2013,23.0
2016,UKH21,2013,19.0
2016,UKH23,2013,246.0
2016,UKH24,2013,10.0
2016,UKH25,2013,20.0
2016,UKH31,2013,15.0
2016,UKH32,2013,21.0
2016,UKH34,2013,39.0
2016,UKH35,2013,33.0
2016,UKH36,2013,21.0
2016,UKH37,2013,11.0
2016,UKI31,2013,848.0
2016,UKI32,2013,975.0
2016,UKI33,2013,275.0
2016,UKI34,2013,53.0
2016,UKI41,2013,233.0
2016,UKI42,2013,146.0
2016,UKI43,2013,242.0
2016,UKI44,2013,160.0
2016,UKI45,2013,62.0
2016,UKI51,2013,33.0
2016,UKI52,2013,20.0
2016,UKI53,2013,49.0
2016,UKI54,2013,40.0
2016,UKI61,2013,14.0
2016,UKI62,2013,33.0
2016,UKI63,2013,101.0
2016,UKI71,2013,100.0
2016,UKI72,2013,61.0
2016,UKI73,2013,65.0
2016,UKI74,2013,119.0
2016,UKI75,2013,297.0
2016,UKJ11,2013,233.0
2016,UKJ12,2013,51.0
2016,UKJ13,2013,109.0
2016,UKJ14,2013,133.0
2016,UKJ21,2013,45.0
2016,UKJ22,2013,38.0
2016,UKJ25,2013,154.0
2016,UKJ26,2013,44.0
2016,UKJ27,2013,49.0
2016,UKJ28,2013,60.0
2016,UKJ31,2013,14.0
2016,UKJ32,2013,13.0
2016,UKJ34,2013,9.0
2016,UKJ35,2013,21.0
2016,UKJ36,2013,96.0
2016,UKJ37,2013,55.0
2016,UKJ41,2013,18.0
2016,UKJ43,2013,21.0
2016,UKJ44,2013,24.0
2016,UKJ45,2013,41.0
2016,UKJ46,2013,34.0
2016,UKK11,2013,101.0
2016,UKK12,2013,58.0
2016,UKK13,2013,88.0
2016,UKK14,2013,12.0
2016,UKK15,2013,48.0
2016,UKK21,2013,41.0
2016,UKK22,2013,30.0
2016,UKK23,2013,47.0
2016,UKK30,2013,52.0
2016,UKK41,2013,10.0
2016,UKK42,2013,7.0
2016,UKK43,2013,66.0
2016,UKL11,2013,
2016,UKL12,2013,3.0
2016,UKL13,2013,3.0
2016,UKL14,2013,5.0
2016,UKL15,2013,6.0
2016,UKL16,2013,15.0
2016,UKL17,2013,3.0
2016,UKL18,2013,8.0
2016,UKL21,2013,20.0
2016,UKL22,2013,40.0
2016,UKL23,2013,37.0
2016,UKL24,2013,7.0
2016,UKM21,2013,11.0
2016,UKM22,2013,21.0
2016,UKM23,2013,14.0
2016,UKM24,2013,1.0
2016,UKM25,2013,87.0
2016,UKM26,2013,2.0
2016,UKM27,2013,11.0
2016,UKM28,2013,7.0
2016,UKM31,2013,11.0
2016,UKM32,2013,7.0
2016,UKM33,2013,3.0
2016,UKM34,2013,73.0
2016,UKM35,2013,21.0
2016,UKM36,2013,9.0
2016,UKM37,2013,1.0
2016,UKM38,2013,12.0
2016,UKM50,2013,37.0
2016,UKM61,2013,8.0
2016,UKM62,2013,6.0
2016,UKM63,2013,15.0
2016,UKM64,2013,1.0
2016,UKM65,2013,
2016,UKM66,2013,1.0
2016,UKN01,2013,24.0
2016,UKN02,2013,14.0
2016,UKN03,2013,27.0
2016,UKN04,2013,20.0
2016,UKN05,2013,55.0
2015,UKC11,2013,5.0
2015,UKC12,2013,11.0
2015,UKC13,2013,14.0
2015,UKC14,2013,20.0
2015,UKC21,2013,29.0
2015,UKC22,2013,65.0
