year,nuts_id,nuts_year_spec,eu_trademark_applications
2014,UKM6,2013,29
2014,UKN0,2013,197
2013,UKC1,2013,36
2013,UKC2,2013,126
2013,UKD1,2013,29
2013,UKD3,2013,369
2013,UKD4,2013,225
2013,UKD6,2013,140
2013,UKD7,2013,88
2013,UKE1,2013,100
2013,UKE2,2013,92
2013,UKE3,2013,76
2013,UKE4,2013,254
2013,UKF1,2013,250
2013,UKF2,2013,232
2013,UKF3,2013,54
2013,UKG1,2013,211
2013,UKG2,2013,112
2013,UKG3,2013,259
2013,UKH1,2013,319
2013,UKH2,2013,438
2013,UKH3,2013,160
2013,UKI3,2013,2387
2013,UKI4,2013,811
2013,UKI5,2013,136
2013,UKI6,2013,140
2013,UKI7,2013,566
2013,UKJ1,2013,647
2013,UKJ2,2013,440
2013,UKJ3,2013,201
2013,UKJ4,2013,145
2013,UKK1,2013,351
2013,UKK2,2013,178
2013,UKK3,2013,43
2013,UKK4,2013,79
2013,UKL1,2013,84
2013,UKL2,2013,95
2013,UKM2,2013,186
2013,UKM3,2013,229
2013,UKM5,2013,32
2013,UKM6,2013,11
2013,UKN0,2013,178
2012,UKC1,2013,43
2012,UKC2,2013,46
2012,UKD1,2013,25
2012,UKD3,2013,312
2012,UKD4,2013,145
2012,UKD6,2013,131
2012,UKD7,2013,105
2012,UKE1,2013,92
2012,UKE2,2013,78
2012,UKE3,2013,80
2012,UKE4,2013,249
2012,UKF1,2013,194
2012,UKF2,2013,197
2012,UKF3,2013,44
2012,UKG1,2013,174
2012,UKG2,2013,104
2012,UKG3,2013,280
2012,UKH1,2013,303
2012,UKH2,2013,541
2012,UKH3,2013,157
2012,UKI3,2013,2097
2012,UKI4,2013,769
2012,UKI5,2013,121
2012,UKI6,2013,139
2012,UKI7,2013,683
2012,UKJ1,2013,556
2012,UKJ2,2013,445
2012,UKJ3,2013,235
2012,UKJ4,2013,149
2012,UKK1,2013,301
2012,UKK2,2013,201
2012,UKK3,2013,33
2012,UKK4,2013,85
2012,UKL1,2013,77
2012,UKL2,2013,79
2012,UKM2,2013,217
2012,UKM3,2013,189
2012,UKM5,2013,34
2012,UKM6,2013,18
2012,UKN0,2013,184
2011,UKC1,2013,49
2011,UKC2,2013,60
2011,UKD1,2013,25
2011,UKD3,2013,314
2011,UKD4,2013,127
2011,UKD6,2013,133
2011,UKD7,2013,80
2011,UKE1,2013,94
2011,UKE2,2013,65
2011,UKE3,2013,84
2011,UKE4,2013,224
2011,UKF1,2013,154
2011,UKF2,2013,232
2011,UKF3,2013,45
2011,UKG1,2013,182
2011,UKG2,2013,96
2011,UKG3,2013,271
2011,UKH1,2013,281
2011,UKH2,2013,372
2011,UKH3,2013,156
2011,UKI3,2013,2104
2011,UKI4,2013,651
2011,UKI5,2013,113
2011,UKI6,2013,131
2011,UKI7,2013,563
2011,UKJ1,2013,598
2011,UKJ2,2013,462
2011,UKJ3,2013,190
2011,UKJ4,2013,121
2011,UKK1,2013,296
2011,UKK2,2013,143
2011,UKK3,2013,36
2011,UKK4,2013,92
2011,UKL1,2013,86
2011,UKL2,2013,65
2011,UKM2,2013,161
2011,UKM3,2013,148
2011,UKM5,2013,46
2011,UKM6,2013,14
2011,UKN0,2013,130
2010,UKC1,2013,31
2010,UKC2,2013,85
2010,UKD1,2013,15
2010,UKD3,2013,335
2010,UKD4,2013,114
2010,UKD6,2013,114
2010,UKD7,2013,92
2010,UKE1,2013,132
2010,UKE2,2013,73
2010,UKE3,2013,79
2010,UKE4,2013,223
2010,UKF1,2013,201
2010,UKF2,2013,170
2010,UKF3,2013,34
2010,UKG1,2013,183
2010,UKG2,2013,119
2010,UKG3,2013,221
2010,UKH1,2013,292
2010,UKH2,2013,295
2010,UKH3,2013,143
2010,UKI3,2013,1832
2010,UKI4,2013,602
2010,UKI5,2013,98
2010,UKI6,2013,140
2010,UKI7,2013,468
2010,UKJ1,2013,515
2010,UKJ2,2013,476
2010,UKJ3,2013,227
2010,UKJ4,2013,135
2010,UKK1,2013,274
2010,UKK2,2013,124
2010,UKK3,2013,35
2010,UKK4,2013,73
2010,UKL1,2013,63
2010,UKL2,2013,50
2010,UKM2,2013,144
2010,UKM3,2013,127
2010,UKM5,2013,32
2010,UKM6,2013,13
2010,UKN0,2013,99
