year,nuts_id,nuts_year_spec,eurostat_private_households_income
2007,UKC1,2016,16200.0
2007,UKC2,2016,16900.0
2007,UKD1,2016,18700.0
2007,UKD3,2016,18000.0
2007,UKD4,2016,17400.0
2007,UKD6,2016,22600.0
2007,UKD7,2016,16400.0
2007,UKE1,2016,17400.0
2007,UKE2,2016,21600.0
2007,UKE3,2016,16700.0
2007,UKE4,2016,18100.0
2007,UKF1,2016,18500.0
2007,UKF2,2016,20800.0
2007,UKF3,2016,18600.0
2007,UKG1,2016,21700.0
2007,UKG2,2016,18800.0
2007,UKG3,2016,15900.0
2007,UKH1,2016,19900.0
2007,UKH2,2016,25400.0
2007,UKH3,2016,22300.0
2007,UKI3,2016,57100.0
2007,UKI4,2016,26800.0
2007,UKI5,2016,22900.0
2007,UKI6,2016,28900.0
2007,UKI7,2016,28300.0
2007,UKJ1,2016,28000.0
2007,UKJ2,2016,26700.0
2007,UKJ3,2016,22400.0
2007,UKJ4,2016,22100.0
2007,UKK1,2016,22200.0
2007,UKK2,2016,20300.0
2007,UKK3,2016,16900.0
2007,UKK4,2016,18100.0
2007,UKL1,2016,15600.0
2007,UKL2,2016,18500.0
2007,UKM5,2016,25000.0
2007,UKM6,2016,18000.0
2007,UKM7,2016,21200.0
2007,UKM8,2016,18800.0
2007,UKM9,2016,18600.0
2007,UKN0,2016,16800.0
2008,UKC1,2016,15600.0
2008,UKC2,2016,16300.0
2008,UKD1,2016,17900.0
2008,UKD3,2016,17200.0
2008,UKD4,2016,16700.0
2008,UKD6,2016,21700.0
2008,UKD7,2016,15800.0
2008,UKE1,2016,16600.0
2008,UKE2,2016,20900.0
2008,UKE3,2016,16000.0
2008,UKE4,2016,17200.0
2008,UKF1,2016,17700.0
2008,UKF2,2016,19600.0
2008,UKF3,2016,18000.0
2008,UKG1,2016,20900.0
2008,UKG2,2016,18300.0
2008,UKG3,2016,15200.0
2008,UKH1,2016,19500.0
2008,UKH2,2016,24600.0
2008,UKH3,2016,21700.0
2008,UKI3,2016,57000.0
2008,UKI4,2016,25600.0
2008,UKI5,2016,22200.0
2008,UKI6,2016,27700.0
2008,UKI7,2016,27400.0
2008,UKJ1,2016,26900.0
2008,UKJ2,2016,25600.0
2008,UKJ3,2016,21700.0
2008,UKJ4,2016,21200.0
2008,UKK1,2016,21400.0
2008,UKK2,2016,19700.0
2008,UKK3,2016,16200.0
2008,UKK4,2016,17700.0
2008,UKL1,2016,15200.0
2008,UKL2,2016,18000.0
2008,UKM5,2016,25100.0
2008,UKM6,2016,18300.0
2008,UKM7,2016,20600.0
2008,UKM8,2016,18300.0
2008,UKM9,2016,18000.0
2008,UKN0,2016,16100.0
2009,UKC1,2016,14500.0
2009,UKC2,2016,15300.0
2009,UKD1,2016,16900.0
2009,UKD3,2016,15800.0
2009,UKD4,2016,15500.0
2009,UKD6,2016,20000.0
2009,UKD7,2016,14900.0
2009,UKE1,2016,15200.0
2009,UKE2,2016,19800.0
2009,UKE3,2016,14700.0
2009,UKE4,2016,15700.0
2009,UKF1,2016,16300.0
2009,UKF2,2016,17900.0
2009,UKF3,2016,16400.0
2009,UKG1,2016,19200.0
2009,UKG2,2016,16800.0
2009,UKG3,2016,13900.0
2009,UKH1,2016,18000.0
2009,UKH2,2016,23300.0
2009,UKH3,2016,20400.0
2009,UKI3,2016,52900.0
2009,UKI4,2016,23500.0
2009,UKI5,2016,20100.0
2009,UKI6,2016,24800.0
2009,UKI7,2016,24800.0
2009,UKJ1,2016,24800.0
2009,UKJ2,2016,23500.0
2009,UKJ3,2016,20200.0
2009,UKJ4,2016,19700.0
2009,UKK1,2016,19500.0
2009,UKK2,2016,17700.0
2009,UKK3,2016,15100.0
2009,UKK4,2016,16500.0
2009,UKL1,2016,13700.0
2009,UKL2,2016,16300.0
2009,UKM5,2016,23400.0
2009,UKM6,2016,17100.0
2009,UKM7,2016,18700.0
2009,UKM8,2016,16800.0
