year,nuts_id,nuts_year_spec,eurostat_private_rd_headcount_workforce_data
2007,UKC1,2006,1543
2007,UKC2,2006,1430
2007,UKD1,2006,1878
2007,UKD3,2006,3037
2007,UKD4,2006,4987
2007,UKE1,2006,891
2007,UKE2,2006,2412
2007,UKE3,2006,1108
2007,UKE4,2006,2822
2007,UKF1,2006,7505
2007,UKF2,2006,5165
2007,UKF3,2006,744
2007,UKG1,2006,6612
2007,UKG2,2006,1583
2007,UKG3,2006,6297
2007,UKH1,2006,14212
2007,UKH2,2006,11496
2007,UKH3,2006,9023
2007,UKJ1,2006,14470
2007,UKJ2,2006,6980
2007,UKJ3,2006,14035
2007,UKJ4,2006,6786
2007,UKK1,2006,11685
2007,UKK2,2006,2934
2007,UKK3,2006,429
2007,UKK4,2006,811
2007,UKL1,2006,782
2007,UKL2,2006,2796
2007,UKM2,2006,825
2007,UKM3,2006,5311
2007,UKM5,2006,2432
2007,UKM6,2006,227
2007,UKN0,2006,3235
2009,UKC1,2010,1454
2009,UKC2,2010,1347
2009,UKD1,2010,1770
2009,UKD3,2010,2861
2009,UKD4,2010,4699
2009,UKD6,2010,5862
2009,UKD7,2010,2167
2009,UKE1,2010,840
2009,UKE2,2010,2272
2009,UKE3,2010,1044
2009,UKE4,2010,2659
2009,UKF1,2010,7071
2009,UKF2,2010,4866
2009,UKF3,2010,701
2009,UKG1,2010,6230
2009,UKG2,2010,1492
2009,UKG3,2010,5933
2009,UKH1,2010,13391
2009,UKH2,2010,10832
2009,UKH3,2010,8501
2009,UKJ1,2010,13634
2009,UKJ2,2010,6576
2009,UKJ3,2010,13224
2009,UKJ4,2010,6394
2009,UKK1,2010,11010
2009,UKK2,2010,2764
2009,UKK3,2010,404
2009,UKK4,2010,764
2009,UKL1,2010,737
2009,UKL2,2010,2634
2009,UKM2,2010,777
2009,UKM3,2010,5004
2009,UKM5,2010,2291
2009,UKM6,2010,214
2009,UKN0,2010,3048
2011,UKC1,2013,1767
