year,nuts_id,nuts_year_spec,epo_hightech_patent_applications
2012,UKC11,2010,1
2012,UKC12,2010,0
2012,UKC13,2010,0
2012,UKC14,2010,7
2012,UKC21,2010,2
2012,UKC22,2010,22
2012,UKC23,2010,0
2012,UKD11,2010,0
2012,UKD12,2010,1
2012,UKD31,2010,23
2012,UKD32,2010,11
2012,UKD41,2010,0
2012,UKD42,2010,0
2012,UKD43,2010,16
2012,UKD61,2010,2
2012,UKD62,2010,2
2012,UKD63,2010,3
2012,UKD71,2010,0
2012,UKD72,2010,2
2012,UKD73,2010,0
2012,UKD74,2010,0
2012,UKE11,2010,0
2012,UKE12,2010,0
2012,UKE13,2010,0
2012,UKE21,2010,10
2012,UKE22,2010,8
2012,UKE31,2010,0
2012,UKE32,2010,5
2012,UKE41,2010,21
2012,UKE42,2010,17
2012,UKE44,2010,2
2012,UKE45,2010,3
2012,UKF11,2010,4
2012,UKF12,2010,0
2012,UKF13,2010,3
2012,UKF14,2010,13
2012,UKF15,2010,2
2012,UKF16,2010,13
2012,UKF21,2010,2
2012,UKF22,2010,10
2012,UKF24,2010,5
2012,UKF25,2010,4
2012,UKF30,2010,1
2012,UKG11,2010,1
2012,UKG12,2010,9
2012,UKG13,2010,7
2012,UKG21,2010,0
2012,UKG22,2010,2
2012,UKG23,2010,0
2012,UKG24,2010,8
2012,UKG31,2010,8
2012,UKG32,2010,2
2012,UKG33,2010,9
2012,UKG36,2010,0
2012,UKG37,2010,0
2012,UKG38,2010,0
2012,UKG39,2010,0
2012,UKH11,2010,0
2012,UKH12,2010,170
2012,UKH13,2010,5
2012,UKH14,2010,14
2012,UKH21,2010,1
2012,UKH23,2010,62
2012,UKH24,2010,8
2012,UKH25,2010,1
2012,UKH31,2010,0
2012,UKH32,2010,0
2012,UKH33,2010,22
2012,UKI11,2010,194
2012,UKI12,2010,61
2012,UKI21,2010,19
2012,UKI22,2010,16
2012,UKI23,2010,68
2012,UKJ11,2010,70
2012,UKJ12,2010,8
2012,UKJ13,2010,19
2012,UKJ14,2010,75
2012,UKJ21,2010,7
2012,UKJ22,2010,8
2012,UKJ23,2010,214
2012,UKJ24,2010,13
2012,UKJ31,2010,0
2012,UKJ32,2010,15
2012,UKJ33,2010,69
2012,UKJ34,2010,2
2012,UKJ41,2010,3
2012,UKJ42,2010,15
2012,UKK11,2010,62
2012,UKK12,2010,53
2012,UKK13,2010,36
2012,UKK14,2010,18
2012,UKK15,2010,28
2012,UKK21,2010,6
2012,UKK22,2010,8
2012,UKK23,2010,2
2012,UKK30,2010,5
2012,UKK41,2010,2
2012,UKK42,2010,0
2012,UKK43,2010,8
2012,UKL11,2010,0
2012,UKL12,2010,0
2012,UKL13,2010,0
2012,UKL14,2010,23
2012,UKL15,2010,1
2012,UKL16,2010,2
2012,UKL17,2010,4
2012,UKL18,2010,2
2012,UKL21,2010,6
2012,UKL22,2010,5
2012,UKL23,2010,4
2012,UKL24,2010,0
2012,UKM21,2010,3
2012,UKM22,2010,2
2012,UKM23,2010,4
2012,UKM24,2010,1
2012,UKM25,2010,21
2012,UKM26,2010,0
2012,UKM27,2010,1
2012,UKM28,2010,1
2012,UKM31,2010,0
2012,UKM32,2010,0
2012,UKM33,2010,0
2012,UKM34,2010,14
2012,UKM35,2010,3
2012,UKM36,2010,1
2012,UKM37,2010,2
2012,UKM38,2010,1
2012,UKM50,2010,12
2012,UKM61,2010,0
2012,UKM62,2010,15
2012,UKM63,2010,1
2012,UKM64,2010,0
2012,UKM65,2010,0
2012,UKM66,2010,0
2012,UKN01,2010,1
2012,UKN02,2010,6
2012,UKN03,2010,2
2012,UKN04,2010,1
2012,UKN05,2010,2
2012,UKZZZ,2010,13
2011,UKC11,2010,10
2011,UKC12,2010,0
2011,UKC13,2010,1
2011,UKC14,2010,10
2011,UKC21,2010,3
2011,UKC22,2010,10
2011,UKC23,2010,0
2011,UKD11,2010,0
2011,UKD12,2010,0
2011,UKD31,2010,46
2011,UKD32,2010,7
2011,UKD41,2010,4
2011,UKD42,2010,0
2011,UKD43,2010,37
2011,UKD61,2010,1
2011,UKD62,2010,5
2011,UKD63,2010,4
2011,UKD71,2010,4
2011,UKD72,2010,6
2011,UKD73,2010,0
2011,UKD74,2010,2
2011,UKE11,2010,4
2011,UKE12,2010,4
2011,UKE13,2010,0
2011,UKE21,2010,8
2011,UKE22,2010,23
2011,UKE31,2010,2
2011,UKE32,2010,14
2011,UKE41,2010,30
