nuts_id,nuts_year,year,value,variable,description,unit,nuts_name
UKH1,2013,2014,3.35,mean_ref_stem,Total number of researchers assessed as excellent,FTE,East Anglia
UKJ1,2013,2014,3.26,mean_ref_stem,Total number of researchers assessed as excellent,FTE,"Berkshire, Buckinghamshire and Oxfordshire"
UKI3,2013,2014,3.25,mean_ref_stem,Total number of researchers assessed as excellent,FTE,Inner London - West
UKL2,2013,2014,3.15,mean_ref_stem,Total number of researchers assessed as excellent,FTE,East Wales
UKK1,2013,2014,3.15,mean_ref_stem,Total number of researchers assessed as excellent,FTE,"Gloucestershire, Wiltshire and Bristol/Bath area"
UKM2,2013,2014,3.14,mean_ref_stem,Total number of researchers assessed as excellent,FTE,Eastern Scotland
UKJ3,2013,2014,3.13,mean_ref_stem,Total number of researchers assessed as excellent,FTE,Hampshire and Isle of Wight
UKE3,2013,2014,3.12,mean_ref_stem,Total number of researchers assessed as excellent,FTE,South Yorkshire
UKE2,2013,2014,3.12,mean_ref_stem,Total number of researchers assessed as excellent,FTE,North Yorkshire
UKC1,2013,2014,3.1,mean_ref_stem,Total number of researchers assessed as excellent,FTE,Tees Valley and Durham
UKD3,2013,2014,3.09,mean_ref_stem,Total number of researchers assessed as excellent,FTE,Greater Manchester
UKG3,2013,2014,3.07,mean_ref_stem,Total number of researchers assessed as excellent,FTE,West Midlands
UKD7,2013,2014,3.04,mean_ref_stem,Total number of researchers assessed as excellent,FTE,Merseyside
UKM3,2013,2014,3.03,mean_ref_stem,Total number of researchers assessed as excellent,FTE,South Western Scotland
UKF1,2013,2014,3.01,mean_ref_stem,Total number of researchers assessed as excellent,FTE,Derbyshire and Nottinghamshire
UKE4,2013,2014,3.0,mean_ref_stem,Total number of researchers assessed as excellent,FTE,West Yorkshire
UKK4,2013,2014,3.0,mean_ref_stem,Total number of researchers assessed as excellent,FTE,Devon
UKD4,2013,2014,2.98,mean_ref_stem,Total number of researchers assessed as excellent,FTE,Lancashire
UKJ2,2013,2014,2.98,mean_ref_stem,Total number of researchers assessed as excellent,FTE,"Surrey, East and West Sussex"
