lep_id,lep_year,year,value,variable,description,unit,lep_name
E37000008,2017,2018,1580.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,"Derby, Derbyshire, Nottingham and Nottinghamshire"
E37000009,2014,2014,155.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Dorset
E37000009,2014,2015,15.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Dorset
E37000009,2014,2016,0.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Dorset
E37000009,2017,2017,0.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Dorset
E37000009,2017,2018,0.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Dorset
E37000010,2014,2014,910.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Enterprise M3
E37000010,2014,2015,875.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Enterprise M3
E37000010,2014,2016,840.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Enterprise M3
E37000010,2017,2017,795.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Enterprise M3
E37000010,2017,2018,830.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Enterprise M3
E37000011,2014,2014,35.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Gloucestershire
E37000011,2014,2015,25.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Gloucestershire
E37000011,2014,2016,30.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Gloucestershire
E37000011,2017,2017,25.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Gloucestershire
E37000011,2017,2018,15.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Gloucestershire
E37000012,2014,2014,1370.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Birmingham and Solihull
E37000012,2014,2015,1325.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Birmingham and Solihull
E37000012,2014,2016,1340.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Birmingham and Solihull
E37000012,2017,2017,1355.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Birmingham and Solihull
E37000012,2017,2018,1515.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Birmingham and Solihull
E37000013,2014,2014,2470.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Cambridge and Greater Peterborough
E37000013,2014,2015,2430.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Cambridge and Greater Peterborough
E37000013,2014,2016,2450.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Cambridge and Greater Peterborough
E37000014,2014,2014,115.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Lincolnshire
E37000014,2014,2015,140.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Lincolnshire
E37000014,2014,2016,155.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Lincolnshire
E37000014,2017,2017,150.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Lincolnshire
E37000014,2017,2018,160.0,total_stem_postgraduates,Total number of STEM postgraduates,Total number of postgraduate students in STEM subjects,Greater Lincolnshire
