nuts_id,nuts_year,year,value,variable,description,unit,nuts_name
UKC12,2010,2014,45.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,South Teesside
UKC12,2013,2015,45.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,South Teesside
UKC12,2013,2016,55.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,South Teesside
UKC12,2013,2017,70.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,South Teesside
UKC12,2016,2018,65.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,South Teesside
UKC14,2010,2014,530.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Durham CC
UKC14,2013,2015,525.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Durham CC
UKC14,2013,2016,540.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Durham CC
UKC14,2013,2017,570.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Durham CC
UKC14,2016,2018,585.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Durham CC
UKC22,2010,2014,995.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Tyneside
UKC22,2013,2015,1030.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Tyneside
UKC22,2013,2016,1035.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Tyneside
UKC22,2013,2017,1010.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Tyneside
UKC22,2016,2018,1025.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Tyneside
UKC23,2010,2014,15.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Sunderland
UKC23,2013,2015,15.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Sunderland
UKC23,2013,2016,5.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Sunderland
UKC23,2013,2017,5.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Sunderland
UKC23,2016,2018,5.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Sunderland
UKD12,2010,2014,5.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,East Cumbria
UKD12,2013,2015,10.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,East Cumbria
UKD12,2013,2016,5.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,East Cumbria
UKD12,2013,2017,10.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,East Cumbria
UKD12,2016,2018,5.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,East Cumbria
UKD31,2010,2014,2280.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Greater Manchester South
UKD32,2010,2014,50.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Greater Manchester North
UKD33,2013,2015,2115.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Manchester
UKD33,2013,2016,2205.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Manchester
UKD33,2013,2017,2470.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Manchester
UKD33,2016,2018,2590.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Manchester
UKD34,2013,2015,195.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Greater Manchester South West
UKD34,2013,2016,145.0,total_stem_postgraduates,Total number of postgraduates,Total number of postgraduate students,Greater Manchester South West
