year,nuts_id,nuts_year_spec,net_migration_rate_international
2009,UKH2,2016,4.91
2010,UKH2,2016,4.27
2011,UKH2,2016,1.46
2012,UKH2,2016,2.5
2013,UKH2,2016,4.43
2014,UKH2,2016,5.35
2015,UKH2,2016,4.61
2016,UKH2,2016,2.98
2017,UKH2,2016,2.85
2018,UKH2,2016,2.63
2009,UKJ1,2016,6.05
2010,UKJ1,2016,3.82
2011,UKJ1,2016,2.23
2012,UKJ1,2016,2.47
2013,UKJ1,2016,6.35
2014,UKJ1,2016,6.44
2015,UKJ1,2016,7.26
2016,UKJ1,2016,4.36
2017,UKJ1,2016,4.94
2018,UKJ1,2016,3.1
2009,UKD6,2016,-0.02
2010,UKD6,2016,0.79
2011,UKD6,2016,0.68
2012,UKD6,2016,0.19
2013,UKD6,2016,0.17
2014,UKD6,2016,0.59
2015,UKD6,2016,1.02
2016,UKD6,2016,-0.34
2017,UKD6,2016,-0.11
2018,UKD6,2016,1.15
2009,UKK3,2016,1.21
2010,UKK3,2016,1.44
2011,UKK3,2016,1.29
2012,UKK3,2016,0.85
2013,UKK3,2016,1.05
2014,UKK3,2016,0.91
2015,UKK3,2016,0.83
2016,UKK3,2016,0.23
2017,UKK3,2016,1.31
2018,UKK3,2016,-0.97
2009,UKD1,2016,-0.25
2010,UKD1,2016,0.31
2011,UKD1,2016,0.92
2012,UKD1,2016,0.32
2013,UKD1,2016,0.26
2014,UKD1,2016,1.22
2015,UKD1,2016,1.46
2016,UKD1,2016,0.07
2017,UKD1,2016,0.28
2018,UKD1,2016,1.64
2009,UKF1,2016,1.83
2010,UKF1,2016,1.16
2011,UKF1,2016,0.77
2012,UKF1,2016,1.06
2013,UKF1,2016,1.85
2014,UKF1,2016,2.12
2015,UKF1,2016,2.44
2016,UKF1,2016,1.85
2017,UKF1,2016,0.58
2018,UKF1,2016,1.43
2009,UKK4,2016,2.88
2010,UKK4,2016,4.36
2011,UKK4,2016,3.28
2012,UKK4,2016,3.09
2013,UKK4,2016,3.47
2014,UKK4,2016,4.02
2015,UKK4,2016,2.61
2016,UKK4,2016,2.36
2017,UKK4,2016,3.33
2018,UKK4,2016,1.42
2009,UKK2,2016,1.03
2010,UKK2,2016,1.65
2011,UKK2,2016,1.86
2012,UKK2,2016,1.2
2013,UKK2,2016,2.04
2014,UKK2,2016,2.3
2015,UKK2,2016,2.1
2016,UKK2,2016,1.42
2017,UKK2,2016,2.54
2018,UKK2,2016,0.65
2009,UKH1,2016,5.87
2010,UKH1,2016,4.22
2011,UKH1,2016,2.15
2012,UKH1,2016,3.0
2013,UKH1,2016,4.49
2014,UKH1,2016,5.39
2015,UKH1,2016,3.86
2016,UKH1,2016,2.6
2017,UKH1,2016,2.11
2018,UKH1,2016,1.53
2009,UKL2,2016,0.26
2010,UKL2,2016,0.72
2011,UKL2,2016,-0.21
2012,UKL2,2016,2.58
2013,UKL2,2016,1.76
2014,UKL2,2016,1.22
2015,UKL2,2016,3.24
2016,UKL2,2016,1.32
2017,UKL2,2016,1.75
2018,UKL2,2016,2.49
2009,UKE1,2016,3.13
