year,nuts_id,nuts_year_spec,net_migration_rate_international
2012,UKI72,2016,12.39
2013,UKI72,2016,19.42
2014,UKI72,2016,23.9
2015,UKI72,2016,22.69
2016,UKI72,2016,18.31
2017,UKI72,2016,16.22
2018,UKI72,2016,9.68
2009,UKL17,2016,-0.39
2010,UKL17,2016,-0.12
2011,UKL17,2016,-0.11
2012,UKL17,2016,0.75
2013,UKL17,2016,0.79
2014,UKL17,2016,0.64
2015,UKL17,2016,2.01
2016,UKL17,2016,1.05
2017,UKL17,2016,1.22
2018,UKL17,2016,1.05
2009,UKJ21,2016,7.4
2010,UKJ21,2016,5.58
2011,UKJ21,2016,9.41
2012,UKJ21,2016,9.45
2013,UKJ21,2016,11.89
2014,UKJ21,2016,11.97
2015,UKJ21,2016,10.24
2016,UKJ21,2016,6.61
2017,UKJ21,2016,7.56
2018,UKJ21,2016,6.17
2009,UKK11,2016,3.84
2010,UKK11,2016,4.64
2011,UKK11,2016,2.57
2012,UKK11,2016,4.41
2013,UKK11,2016,3.71
2014,UKK11,2016,5.51
2015,UKK11,2016,2.38
2016,UKK11,2016,0.62
2017,UKK11,2016,4.56
2018,UKK11,2016,-3.4
2009,UKI61,2016,2.51
2010,UKI61,2016,2.79
2011,UKI61,2016,1.51
2012,UKI61,2016,1.89
2013,UKI61,2016,2.46
2014,UKI61,2016,2.82
2015,UKI61,2016,3.05
2016,UKI61,2016,1.76
2017,UKI61,2016,2.75
2018,UKI61,2016,1.59
2009,UKM61,2016,1.55
2010,UKM61,2016,1.82
2011,UKM61,2016,-0.75
2012,UKM61,2016,-1.04
2013,UKM61,2016,-0.38
2014,UKM61,2016,1.41
2015,UKM61,2016,1.49
2016,UKM61,2016,0.37
2017,UKM61,2016,0.13
2018,UKM61,2016,0.76
2009,UKE44,2016,2.12
2010,UKE44,2016,3.03
2011,UKE44,2016,1.79
2012,UKE44,2016,2.13
2013,UKE44,2016,1.71
2014,UKE44,2016,2.8
2015,UKE44,2016,2.93
2016,UKE44,2016,2.82
2017,UKE44,2016,3.71
2018,UKE44,2016,3.19
2009,UKH12,2016,6.48
2010,UKH12,2016,4.19
2011,UKH12,2016,0.53
2012,UKH12,2016,2.26
2013,UKH12,2016,3.83
2014,UKH12,2016,4.87
2015,UKH12,2016,2.63
2016,UKH12,2016,1.54
2017,UKH12,2016,1.63
2018,UKH12,2016,0.69
2009,UKI31,2016,16.29
2010,UKI31,2016,34.14
2011,UKI31,2016,20.55
2012,UKI31,2016,23.39
2013,UKI31,2016,27.92
2014,UKI31,2016,37.85
2015,UKI31,2016,28.12
2016,UKI31,2016,22.65
2017,UKI31,2016,42.91
2018,UKI31,2016,35.08
2009,UKL22,2016,0.94
2010,UKL22,2016,0.98
2011,UKL22,2016,-0.54
2012,UKL22,2016,5.55
2013,UKL22,2016,4.33
2014,UKL22,2016,3.93
2015,UKL22,2016,6.21
2016,UKL22,2016,3.29
2017,UKL22,2016,4.56
2018,UKL22,2016,5.96
2009,UKN12,2016,-1.39
2010,UKN12,2016,-0.48
2011,UKN12,2016,-0.5
2012,UKN12,2016,-0.96
2013,UKN12,2016,-0.32
2014,UKN12,2016,-0.48
2015,UKN12,2016,-1.79
2016,UKN12,2016,-1.17
2017,UKN12,2016,-0.51
2018,UKN12,2016,-0.55
2009,UKH25,2016,4.95
2010,UKH25,2016,5.39
2011,UKH25,2016,2.15
2012,UKH25,2016,2.56
2013,UKH25,2016,3.37
2014,UKH25,2016,4.17
2015,UKH25,2016,2.07
2016,UKH25,2016,1.76
2017,UKH25,2016,2.13
2018,UKH25,2016,2.43
2009,UKJ36,2016,2.27
2010,UKJ36,2016,1.35
2011,UKJ36,2016,1.23
2012,UKJ36,2016,0.98
2013,UKJ36,2016,2.15
2014,UKJ36,2016,1.93
2015,UKJ36,2016,2.07
2016,UKJ36,2016,1.62
2017,UKJ36,2016,1.66
2018,UKJ36,2016,1.32
2009,UKL15,2016,0.69
2010,UKL15,2016,0.54
2011,UKL15,2016,1.63
2012,UKL15,2016,2.5
2013,UKL15,2016,2.14
2014,UKL15,2016,2.66
2015,UKL15,2016,2.18
2016,UKL15,2016,1.43
2017,UKL15,2016,1.62
2018,UKL15,2016,2.13
2009,UKD62,2016,-0.42
2010,UKD62,2016,0.64
2011,UKD62,2016,0.55
2012,UKD62,2016,0.01
2013,UKD62,2016,-0.16
2014,UKD62,2016,0.41
