year,lep_id,lep_year_spec,area_university_site
2015,E37000001,2014,37.818
2016,E37000001,2014,37.821
2017,E37000001,2017,37.849
2018,E37000001,2017,38.117
2015,E37000002,2014,8.1
2016,E37000002,2014,8.1
2017,E37000002,2017,8.1
2018,E37000002,2017,8.5
2015,E37000003,2014,76.13
2016,E37000003,2014,73.61
2017,E37000003,2017,73.61
2018,E37000003,2017,78.1
2015,E37000004,2014,171.268
2016,E37000004,2014,172.648
2017,E37000004,2017,172.648
2018,E37000004,2017,144.045
2015,E37000005,2014,23.251
2016,E37000005,2014,22.256
2017,E37000005,2017,22.256
2018,E37000005,2017,22.256
2015,E37000006,2014,260.542
2016,E37000006,2014,527.34
2017,E37000006,2017,526.23
2018,E37000006,2017,306.189
2015,E37000007,2014,37.055
2016,E37000007,2014,37.105
2017,E37000007,2017,33.918
2018,E37000007,2017,33.918
2015,E37000008,2014,536.832
2016,E37000008,2014,537.828
2017,E37000008,2017,538.105
2018,E37000008,2017,544.0889999999999
2015,E37000009,2014,21.16
2016,E37000009,2014,22.86
2017,E37000009,2017,22.310000000000002
2018,E37000009,2017,22.35
2015,E37000010,2014,222.231
2016,E37000010,2014,184.59
2017,E37000010,2017,187.2
2018,E37000010,2017,194.63
2015,E37000011,2014,61.894999999999996
2016,E37000011,2014,33.0
2017,E37000011,2017,33.0
2018,E37000011,2017,33.0
2015,E37000012,2014,169.67
2016,E37000012,2014,169.07
2017,E37000012,2017,162.6
2018,E37000012,2017,67.09
2015,E37000013,2014,288.0
2016,E37000013,2014,163.0
2015,E37000014,2014,455.458
2016,E37000014,2014,264.918
2017,E37000014,2017,264.918
2018,E37000014,2017,264.918
2015,E37000015,2014,262.904
2016,E37000015,2014,263.714
2017,E37000015,2017,262.14700000000005
2018,E37000015,2017,233.29000000000002
2015,E37000016,2014,140.18
2016,E37000016,2014,140.18
2017,E37000016,2017,140.24
2018,E37000016,2017,141.19
2015,E37000017,2014,94.46
2016,E37000017,2014,94.46
2017,E37000017,2017,94.46
2018,E37000017,2017,94.46
2015,E37000018,2014,116.0
2016,E37000018,2014,90.34
2017,E37000018,2017,90.34
2018,E37000018,2017,89.46
2015,E37000019,2014,265.052
2016,E37000019,2014,265.126
2017,E37000019,2017,270.137
2018,E37000019,2017,274.308
2015,E37000020,2014,490.622
2016,E37000020,2014,502.75100000000003
2017,E37000020,2017,467.91200000000003
2018,E37000020,2017,468.61600000000004
2015,E37000021,2014,224.446
2016,E37000021,2014,232.99200000000002
2017,E37000021,2017,233.576
2018,E37000021,2017,233.46499999999997
2015,E37000022,2014,287.396
2016,E37000022,2014,287.826
2017,E37000022,2017,290.716
2018,E37000022,2017,290.736
2015,E37000023,2014,838.2010000000002
2016,E37000023,2014,846.9290000000002
2017,E37000023,2017,933.181
2018,E37000023,2017,800.3070000000001
2015,E37000024,2014,154.57
2016,E37000024,2014,154.57
2017,E37000024,2017,154.64
2018,E37000024,2017,153.1
2015,E37000025,2014,910.5740000000001
2016,E37000025,2014,905.074
2017,E37000025,2017,964.923
2018,E37000025,2017,917.023
2015,E37000026,2014,45.0
2016,E37000026,2014,45.0
2015,E37000027,2014,144.6
2016,E37000027,2014,530.04
2017,E37000027,2017,609.5790000000001
2018,E37000027,2017,613.84
2015,E37000029,2014,139.62199999999999
2016,E37000029,2014,131.002
2017,E37000029,2017,130.03199999999998
2018,E37000029,2017,201.00799999999998
2015,E37000030,2014,502.291
2016,E37000030,2014,507.057
2017,E37000030,2017,286.363
2018,E37000030,2017,286.06
2015,E37000031,2014,394.142
2016,E37000031,2014,388.64300000000003
2015,E37000032,2014,267.8
2016,E37000032,2014,261.8
2017,E37000032,2017,261.8
2018,E37000032,2017,261.8
2015,E37000034,2014,40.51
2016,E37000034,2014,40.51
2017,E37000034,2017,40.51
2018,E37000034,2017,40.51
2015,E37000035,2014,130.9
2016,E37000035,2014,130.9
2017,E37000035,2017,130.9
2018,E37000035,2017,130.9
2015,E37000036,2014,143.6
2016,E37000036,2014,143.6
2017,E37000036,2017,143.6
2018,E37000036,2017,143.6
2015,E37000037,2014,496.618
2016,E37000037,2014,490.566
2017,E37000037,2017,459.506
2018,E37000037,2017,523.394
2015,E37000038,2014,86.212
2016,E37000038,2014,86.212
2017,E37000038,2017,86.404
2018,E37000038,2017,86.429
2015,E37000039,2014,229.48
2016,E37000039,2014,229.48
2017,E37000039,2017,229.48
2018,E37000039,2017,229.48
2015,E37000040,2014,143.671
2016,E37000040,2014,166.587
2017,E37000040,2017,174.81799999999998
2018,E37000040,2017,158.62
2017,E37000041,2017,388.358
2018,E37000041,2017,382.299
2017,E37000042,2017,177.0
2018,E37000042,2017,238.41
