year,nuts_id,nuts_year_spec,total_stem_postgraduates
2015,UKG23,2013,70.0
2016,UKG23,2013,80.0
2017,UKG23,2013,60.0
2018,UKG23,2016,55.0
2014,UKG24,2010,110.0
2015,UKG24,2013,115.0
2016,UKG24,2013,130.0
2017,UKG24,2013,100.0
2018,UKG24,2016,100.0
2014,UKG31,2010,1370.0
2015,UKG31,2013,1325.0
2016,UKG31,2013,1340.0
2017,UKG31,2013,1355.0
2018,UKG31,2016,1515.0
2014,UKG33,2010,990.0
2015,UKG33,2013,1040.0
2016,UKG33,2013,1055.0
2017,UKG33,2013,1115.0
2018,UKG33,2016,1090.0
2014,UKG39,2010,55.0
2015,UKG39,2013,65.0
2016,UKG39,2013,60.0
2017,UKG39,2013,55.0
2018,UKG39,2016,55.0
2014,UKH12,2010,2470.0
2015,UKH12,2013,2430.0
2016,UKH12,2013,2450.0
2017,UKH12,2013,2475.0
2018,UKH12,2016,2505.0
2014,UKH13,2010,445.0
2014,UKH14,2010,0.0
2015,UKH14,2013,0.0
2016,UKH14,2013,0.0
2017,UKH14,2013,0.0
2018,UKH14,2016,5.0
2015,UKH15,2013,440.0
2016,UKH15,2013,465.0
2017,UKH15,2013,470.0
2018,UKH15,2016,535.0
2014,UKH21,2010,80.0
2015,UKH21,2013,55.0
2016,UKH21,2013,40.0
2017,UKH21,2013,45.0
2018,UKH21,2016,35.0
2014,UKH23,2010,160.0
2015,UKH23,2013,155.0
2016,UKH23,2013,135.0
2017,UKH23,2013,165.0
2018,UKH23,2016,165.0
2014,UKH25,2010,520.0
2015,UKH25,2013,500.0
2016,UKH25,2013,480.0
2017,UKH25,2013,455.0
2018,UKH25,2016,435.0
2014,UKH33,2010,330.0
2015,UKH34,2013,270.0
2016,UKH34,2013,215.0
2017,UKH34,2013,290.0
2018,UKH34,2016,325.0
2015,UKH36,2013,65.0
2016,UKH36,2013,65.0
2017,UKH36,2013,45.0
2018,UKH36,2016,50.0
2014,UKI11,2010,5205.0
2014,UKI12,2010,1105.0
2014,UKI21,2010,135.0
2014,UKI22,2010,95.0
2014,UKI23,2010,615.0
2015,UKI31,2013,2410.0
2016,UKI31,2013,2335.0
2017,UKI31,2013,2305.0
2018,UKI31,2016,2450.0
2015,UKI32,2013,2930.0
2016,UKI32,2013,3305.0
2017,UKI32,2013,3430.0
2018,UKI32,2016,3655.0
2015,UKI33,2013,0.0
2016,UKI33,2013,0.0
2017,UKI33,2013,0.0
2018,UKI33,2016,0.0
2015,UKI34,2013,85.0
2016,UKI34,2013,90.0
2017,UKI34,2013,90.0
2018,UKI34,2016,85.0
2015,UKI41,2013,120.0
2016,UKI41,2013,120.0
2017,UKI41,2013,110.0
2018,UKI41,2016,100.0
2015,UKI42,2013,540.0
2016,UKI42,2013,550.0
2017,UKI42,2013,560.0
2018,UKI42,2016,610.0
2015,UKI43,2013,280.0
2016,UKI43,2013,240.0
2017,UKI43,2013,215.0
2018,UKI43,2016,195.0
2015,UKI44,2013,130.0
2016,UKI44,2013,140.0
2017,UKI44,2013,125.0
2018,UKI44,2016,120.0
2015,UKI51,2013,150.0
2016,UKI51,2013,130.0
2017,UKI51,2013,125.0
2018,UKI51,2016,110.0
2015,UKI63,2013,100.0
2016,UKI63,2013,100.0
2017,UKI63,2013,75.0
2018,UKI63,2016,70.0
2015,UKI71,2013,185.0
2016,UKI71,2013,205.0
2017,UKI71,2013,215.0
2018,UKI71,2016,235.0
2015,UKI73,2013,10.0
2016,UKI73,2013,10.0
2017,UKI73,2013,10.0
2018,UKI73,2016,15.0
2015,UKI74,2013,330.0
2016,UKI74,2013,245.0
2017,UKI74,2013,225.0
2018,UKI74,2016,265.0
2015,UKI75,2013,20.0
2016,UKI75,2013,10.0
2017,UKI75,2013,15.0
2018,UKI75,2016,15.0
2014,UKJ11,2010,400.0
2015,UKJ11,2013,370.0
2016,UKJ11,2013,315.0
2017,UKJ11,2013,295.0
2018,UKJ11,2016,285.0
2014,UKJ12,2010,115.0
2015,UKJ12,2013,130.0
2016,UKJ12,2013,125.0
2017,UKJ12,2013,125.0
2018,UKJ12,2016,130.0
2014,UKJ13,2010,40.0
2015,UKJ13,2013,35.0
2016,UKJ13,2013,25.0
