year,nuts_id,nuts_year_spec,total_postgraduates
2014,UKC12,2010,75.0
2015,UKC12,2013,85.0
2016,UKC12,2013,135.0
2017,UKC12,2013,145.0
2018,UKC12,2016,150.0
2014,UKC14,2010,1185.0
2015,UKC14,2013,1170.0
2016,UKC14,2013,1140.0
2017,UKC14,2013,1120.0
2018,UKC14,2016,1135.0
2014,UKC22,2010,2050.0
2015,UKC22,2013,2070.0
2016,UKC22,2013,2185.0
2017,UKC22,2013,2160.0
2018,UKC22,2016,2105.0
2014,UKC23,2010,80.0
2015,UKC23,2013,70.0
2016,UKC23,2013,70.0
2017,UKC23,2013,85.0
2018,UKC23,2016,110.0
2014,UKD12,2010,10.0
2015,UKD12,2013,25.0
2016,UKD12,2013,15.0
2017,UKD12,2013,15.0
2018,UKD12,2016,10.0
2014,UKD31,2010,3945.0
2014,UKD32,2010,105.0
2015,UKD33,2013,3440.0
2016,UKD33,2013,3600.0
2017,UKD33,2013,3890.0
2018,UKD33,2016,3975.0
2015,UKD34,2013,530.0
2016,UKD34,2013,450.0
2017,UKD34,2013,350.0
2018,UKD34,2016,290.0
2015,UKD36,2013,115.0
2016,UKD36,2013,150.0
2017,UKD36,2013,135.0
2018,UKD36,2016,190.0
2014,UKD43,2010,1345.0
2015,UKD44,2013,885.0
2016,UKD44,2013,875.0
2017,UKD44,2013,960.0
2018,UKD44,2016,930.0
2015,UKD45,2013,270.0
2016,UKD45,2013,215.0
2017,UKD45,2013,220.0
2018,UKD45,2016,210.0
2015,UKD47,2013,85.0
2016,UKD47,2013,105.0
2017,UKD47,2013,115.0
2018,UKD47,2016,125.0
2014,UKD63,2010,75.0
2015,UKD63,2013,85.0
2016,UKD63,2013,85.0
2017,UKD63,2013,90.0
2018,UKD63,2016,125.0
2014,UKD72,2010,1870.0
2015,UKD72,2013,2065.0
2016,UKD72,2013,2220.0
2017,UKD72,2013,2210.0
2018,UKD72,2016,2255.0
2014,UKE11,2010,645.0
2015,UKE11,2013,635.0
2016,UKE11,2013,590.0
2017,UKE11,2013,460.0
2018,UKE11,2016,525.0
2014,UKE21,2010,1275.0
2015,UKE21,2013,1270.0
2016,UKE21,2013,1270.0
2017,UKE21,2013,1255.0
2018,UKE21,2016,1280.0
2014,UKE32,2010,2560.0
2015,UKE32,2013,2560.0
2016,UKE32,2013,2480.0
2017,UKE32,2013,2435.0
2018,UKE32,2016,2480.0
2014,UKE41,2010,245.0
2015,UKE41,2013,245.0
2016,UKE41,2013,195.0
