year,nuts_id,nuts_year_spec,total_university_buildings
2015,UKC1,2013,407.0
2016,UKC1,2016,406.0
2017,UKC1,2016,408.0
2015,UKC2,2013,361.0
2016,UKC2,2016,348.0
2017,UKC2,2016,335.0
2015,UKD1,2013,94.0
2016,UKD1,2016,96.0
2017,UKD1,2016,98.0
2015,UKD3,2013,332.0
2016,UKD3,2016,321.0
2017,UKD3,2016,318.0
2015,UKD4,2013,416.0
2016,UKD4,2016,412.0
2017,UKD4,2016,440.0
2015,UKD6,2013,251.0
2016,UKD6,2016,213.0
2017,UKD6,2016,213.0
2015,UKD7,2013,311.0
2016,UKD7,2016,304.0
2017,UKD7,2016,307.0
2015,UKE1,2013,299.0
2016,UKE1,2016,187.0
2017,UKE1,2016,185.0
2015,UKE2,2013,313.0
2016,UKE2,2016,317.0
2017,UKE2,2016,373.0
2015,UKE3,2013,410.0
2016,UKE3,2016,421.0
2017,UKE3,2016,413.0
2015,UKE4,2013,519.0
2016,UKE4,2016,522.0
2017,UKE4,2016,497.0
2015,UKF1,2013,516.0
2016,UKF1,2016,503.0
2017,UKF1,2016,519.0
2015,UKF2,2013,548.0
2016,UKF2,2016,538.0
2017,UKF2,2016,454.0
2015,UKF3,2013,82.0
2016,UKF3,2016,86.0
2017,UKF3,2016,89.0
2015,UKG1,2013,60.0
2016,UKG1,2016,62.0
2017,UKG1,2016,64.0
2015,UKG2,2013,390.0
2016,UKG2,2016,274.0
2017,UKG2,2016,358.0
2015,UKG3,2013,865.0
2016,UKG3,2016,864.0
2017,UKG3,2016,956.0
2015,UKH1,2013,475.0
2016,UKH1,2016,473.0
2017,UKH1,2016,484.0
2015,UKH2,2013,419.0
2016,UKH2,2016,413.0
2017,UKH2,2016,407.0
2015,UKH3,2013,422.0
2016,UKH3,2016,406.0
2017,UKH3,2016,403.0
2015,UKI3,2013,777.0
2016,UKI3,2016,815.0
2017,UKI3,2016,846.0
2015,UKI4,2013,260.0
2016,UKI4,2016,265.0
2017,UKI4,2016,266.0
2015,UKI5,2013,61.0
2016,UKI5,2016,62.0
2017,UKI5,2016,64.0
2015,UKI6,2013,167.0
2016,UKI6,2016,168.0
2017,UKI6,2016,169.0
2015,UKI7,2013,240.0
2016,UKI7,2016,238.0
2017,UKI7,2016,239.0
2015,UKJ1,2013,684.0
2016,UKJ1,2016,661.0
2017,UKJ1,2016,665.0
2015,UKJ2,2013,856.0
2016,UKJ2,2016,822.0
2017,UKJ2,2016,848.0
2015,UKJ3,2013,510.0
2016,UKJ3,2016,517.0
2017,UKJ3,2016,600.0
2015,UKJ4,2013,578.0
2016,UKJ4,2016,567.0
2017,UKJ4,2016,541.0
2015,UKK1,2013,833.0
2016,UKK1,2016,876.0
2017,UKK1,2016,907.0
2015,UKK2,2013,42.0
2016,UKK2,2016,42.0
2017,UKK2,2016,40.0
2015,UKK3,2013,72.0
2016,UKK3,2016,82.0
2017,UKK3,2016,85.0
2015,UKK4,2013,369.0
2016,UKK4,2016,368.0
2017,UKK4,2016,368.0
2015,UKL1,2013,719.0
2016,UKL1,2016,710.0
2017,UKL1,2016,716.0
2015,UKL2,2013,368.0
2016,UKL2,2016,372.0
2017,UKL2,2016,375.0
2015,UKM2,2013,1129.0
2015,UKM3,2013,439.0
2015,UKM5,2013,180.0
2016,UKM5,2016,145.0
2017,UKM5,2016,146.0
2015,UKM6,2013,111.0
2016,UKM6,2016,113.0
2017,UKM6,2016,116.0
2016,UKM7,2016,1126.0
2017,UKM7,2016,1124.0
2016,UKM8,2016,471.0
2017,UKM8,2016,470.0
2015,UKN0,2013,333.0
2016,UKN0,2016,334.0
2017,UKN0,2016,318.0
