year,lep_id,lep_year_spec,total_stem_postgraduates
2014,E37000001,2014,55.0
2015,E37000001,2014,65.0
2016,E37000001,2014,60.0
2017,E37000001,2017,55.0
2018,E37000001,2017,55.0
2014,E37000002,2014,40.0
2015,E37000002,2014,35.0
2016,E37000002,2014,25.0
2017,E37000002,2017,25.0
2018,E37000002,2017,25.0
2014,E37000003,2014,30.0
2015,E37000003,2014,30.0
2016,E37000003,2014,40.0
2017,E37000003,2017,50.0
2018,E37000003,2017,50.0
2014,E37000004,2014,475.0
2015,E37000004,2014,505.0
2016,E37000004,2014,465.0
2017,E37000004,2017,435.0
2018,E37000004,2017,415.0
2014,E37000005,2014,0.0
2015,E37000005,2014,0.0
2016,E37000005,2014,0.0
2017,E37000005,2017,0.0
2018,E37000005,2017,0.0
2014,E37000006,2014,990.0
2015,E37000006,2014,1040.0
2016,E37000006,2014,1055.0
2017,E37000006,2017,1115.0
2018,E37000006,2017,1090.0
2014,E37000007,2014,5.0
2015,E37000007,2014,10.0
2016,E37000007,2014,5.0
2017,E37000007,2017,10.0
2018,E37000007,2017,5.0
2014,E37000008,2014,1550.0
2015,E37000008,2014,1615.0
2016,E37000008,2014,1620.0
2017,E37000008,2017,1570.0
2018,E37000008,2017,1580.0
2014,E37000009,2014,155.0
2015,E37000009,2014,15.0
2016,E37000009,2014,0.0
2017,E37000009,2017,0.0
2018,E37000009,2017,0.0
2014,E37000010,2014,910.0
2015,E37000010,2014,875.0
2016,E37000010,2014,840.0
2017,E37000010,2017,795.0
2018,E37000010,2017,830.0
2014,E37000011,2014,35.0
2015,E37000011,2014,25.0
2016,E37000011,2014,30.0
2017,E37000011,2017,25.0
2018,E37000011,2017,15.0
2014,E37000012,2014,1370.0
2015,E37000012,2014,1325.0
2016,E37000012,2014,1340.0
2017,E37000012,2017,1355.0
2018,E37000012,2017,1515.0
2014,E37000013,2014,2470.0
2015,E37000013,2014,2430.0
2016,E37000013,2014,2450.0
2014,E37000014,2014,115.0
2015,E37000014,2014,140.0
2016,E37000014,2014,155.0
2017,E37000014,2017,150.0
2018,E37000014,2017,160.0
2014,E37000015,2014,2330.0
2015,E37000015,2014,2345.0
2016,E37000015,2014,2385.0
2017,E37000015,2017,2600.0
2018,E37000015,2017,2710.0
2014,E37000016,2014,770.0
2015,E37000016,2014,810.0
2016,E37000016,2014,795.0
2017,E37000016,2017,830.0
2018,E37000016,2017,805.0
2014,E37000017,2014,160.0
2015,E37000017,2014,155.0
2016,E37000017,2014,135.0
2017,E37000017,2017,165.0
2018,E37000017,2017,165.0
2014,E37000018,2014,240.0
2015,E37000018,2014,240.0
2016,E37000018,2014,215.0
2017,E37000018,2017,185.0
2018,E37000018,2017,235.0
2014,E37000019,2014,655.0
2015,E37000019,2014,620.0
2016,E37000019,2014,620.0
2017,E37000019,2017,690.0
2018,E37000019,2017,695.0
2014,E37000020,2014,2255.0
2015,E37000020,2014,2285.0
2016,E37000020,2014,2255.0
2017,E37000020,2017,2310.0
2018,E37000020,2017,2370.0
2014,E37000021,2014,1225.0
2015,E37000021,2014,1255.0
2016,E37000021,2014,1170.0
2017,E37000021,2017,1070.0
2018,E37000021,2017,1135.0
2014,E37000022,2014,1010.0
2015,E37000022,2014,970.0
2016,E37000022,2014,1065.0
2017,E37000022,2017,1155.0
2018,E37000022,2017,1210.0
2014,E37000023,2014,7155.0
2015,E37000023,2014,7290.0
2016,E37000023,2014,7480.0
2017,E37000023,2017,7500.0
2018,E37000023,2017,7925.0
2014,E37000024,2014,445.0
2015,E37000024,2014,440.0
2016,E37000024,2014,465.0
2017,E37000024,2017,470.0
2018,E37000024,2017,540.0
2014,E37000025,2014,1540.0
2015,E37000025,2014,1570.0
2016,E37000025,2014,1580.0
2017,E37000025,2017,1585.0
2018,E37000025,2017,1615.0
2014,E37000026,2014,35.0
2015,E37000026,2014,25.0
2016,E37000026,2014,25.0
2014,E37000027,2014,2210.0
2015,E37000027,2014,2455.0
2016,E37000027,2014,2475.0
2017,E37000027,2017,2345.0
2018,E37000027,2017,2390.0
2014,E37000029,2014,1625.0
2015,E37000029,2014,1590.0
2016,E37000029,2014,1550.0
2017,E37000029,2017,1510.0
2018,E37000029,2017,1475.0
2014,E37000030,2014,860.0
2015,E37000030,2014,865.0
2016,E37000030,2014,830.0
2017,E37000030,2017,865.0
2018,E37000030,2017,935.0
2014,E37000031,2014,785.0
2015,E37000031,2014,745.0
2016,E37000031,2014,695.0
2014,E37000032,2014,200.0
2015,E37000032,2014,185.0
2016,E37000032,2014,210.0
2017,E37000032,2017,160.0
2018,E37000032,2017,155.0
2014,E37000034,2014,45.0
2015,E37000034,2014,45.0
2016,E37000034,2014,55.0
2017,E37000034,2017,70.0
2018,E37000034,2017,65.0
2014,E37000035,2014,400.0
2015,E37000035,2014,370.0
2016,E37000035,2014,315.0
2017,E37000035,2017,295.0
2018,E37000035,2017,285.0
2014,E37000036,2014,0.0
2015,E37000036,2014,0.0
2016,E37000036,2014,0.0
2017,E37000036,2017,0.0
2018,E37000036,2017,0.0
2014,E37000037,2014,1715.0
2015,E37000037,2014,1730.0
2016,E37000037,2014,1855.0
2017,E37000037,2017,1900.0
2018,E37000037,2017,1935.0
2014,E37000038,2014,0.0
2015,E37000038,2014,15.0
2016,E37000038,2014,20.0
2017,E37000038,2017,20.0
2018,E37000038,2017,25.0
2014,E37000039,2014,670.0
2015,E37000039,2014,670.0
2016,E37000039,2014,655.0
2017,E37000039,2017,650.0
2018,E37000039,2017,675.0
2014,E37000040,2014,1530.0
2015,E37000040,2014,1520.0
2016,E37000040,2014,1460.0
2017,E37000040,2017,1425.0
2018,E37000040,2017,1410.0
2017,E37000041,2017,680.0
2018,E37000041,2017,660.0
2017,E37000042,2017,2475.0
2018,E37000042,2017,2505.0
