year,lep_id,lep_year_spec,total_stem_students
2014,E37000039,2014,6175.0
2015,E37000039,2014,6280.0
2016,E37000039,2014,6755.0
2017,E37000039,2017,7070.0
2018,E37000039,2017,7395.0
2014,E37000040,2014,16670.0
2015,E37000040,2014,17660.0
2016,E37000040,2014,18445.0
2017,E37000040,2017,18275.0
2018,E37000040,2017,18125.0
2017,E37000041,2017,6360.0
2018,E37000041,2017,6355.0
2017,E37000042,2017,7100.0
2018,E37000042,2017,7100.0
