year,nuts_id,nuts_year_spec,total_university_buildings
2015,UKC12,2013,94.0
2016,UKC12,2013,94.0
2017,UKC12,2013,94.0
2018,UKC12,2016,93.0
2015,UKC14,2013,313.0
2016,UKC14,2013,312.0
2017,UKC14,2013,314.0
2018,UKC14,2016,379.0
2015,UKC22,2013,327.0
2016,UKC22,2013,314.0
2017,UKC22,2013,301.0
2018,UKC22,2016,244.0
2015,UKC23,2013,34.0
2016,UKC23,2013,34.0
2017,UKC23,2013,34.0
2018,UKC23,2016,35.0
2015,UKD12,2013,94.0
2016,UKD12,2013,96.0
2017,UKD12,2013,98.0
2018,UKD12,2016,90.0
2015,UKD33,2013,285.0
2016,UKD33,2013,278.0
2017,UKD33,2013,274.0
2018,UKD33,2016,266.0
2015,UKD34,2013,30.0
2016,UKD34,2013,26.0
2017,UKD34,2013,25.0
2018,UKD34,2016,26.0
2015,UKD36,2013,17.0
2016,UKD36,2013,17.0
2017,UKD36,2013,19.0
2018,UKD36,2016,0.0
2015,UKD44,2013,249.0
2016,UKD44,2013,250.0
2017,UKD44,2013,250.0
2018,UKD44,2016,250.0
2015,UKD45,2013,86.0
2016,UKD45,2013,74.0
2017,UKD45,2013,74.0
2018,UKD45,2016,72.0
2015,UKD47,2013,81.0
2016,UKD47,2013,88.0
2017,UKD47,2013,116.0
2018,UKD47,2016,122.0
2015,UKD63,2013,251.0
2016,UKD63,2013,213.0
2017,UKD63,2013,213.0
2018,UKD63,2016,216.0
2015,UKD72,2013,311.0
2016,UKD72,2013,304.0
2017,UKD72,2013,307.0
2018,UKD72,2016,307.0
2015,UKE11,2013,299.0
2016,UKE11,2013,187.0
2017,UKE11,2013,185.0
2018,UKE11,2016,97.0
2015,UKE21,2013,313.0
2016,UKE21,2013,317.0
2017,UKE21,2013,373.0
2018,UKE21,2016,378.0
2015,UKE32,2013,410.0
2016,UKE32,2013,421.0
2017,UKE32,2013,413.0
2018,UKE32,2016,414.0
2015,UKE41,2013,35.0
2016,UKE41,2013,34.0
2017,UKE41,2013,32.0
2018,UKE41,2016,24.0
2015,UKE42,2013,458.0
2016,UKE42,2013,462.0
2017,UKE42,2013,439.0
2018,UKE42,2016,444.0
2015,UKE44,2013,26.0
2016,UKE44,2013,26.0
2017,UKE44,2013,26.0
2018,UKE44,2016,29.0
2015,UKF11,2013,41.0
2016,UKF11,2013,48.0
2017,UKF11,2013,48.0
2018,UKF11,2016,49.0
2015,UKF14,2013,475.0
2016,UKF14,2013,455.0
2017,UKF14,2013,471.0
2018,UKF14,2016,478.0
2015,UKF21,2013,363.0
2016,UKF21,2013,354.0
2017,UKF21,2013,273.0
2018,UKF21,2016,268.0
2015,UKF22,2013,129.0
2016,UKF22,2013,128.0
2017,UKF22,2013,125.0
2018,UKF22,2016,128.0
2015,UKF24,2013,56.0
2016,UKF24,2013,56.0
2017,UKF24,2013,56.0
2018,UKF24,2016,36.0
2015,UKF30,2013,82.0
2016,UKF30,2013,86.0
2017,UKF30,2013,89.0
2018,UKF30,2016,90.0
2015,UKG12,2013,60.0
2016,UKG12,2013,62.0
2017,UKG12,2013,64.0
2018,UKG12,2016,65.0
2015,UKG21,2013,88.0
2016,UKG21,2013,0.0
2017,UKG21,2013,112.0
2018,UKG21,2016,112.0
2015,UKG23,2013,89.0
2016,UKG23,2013,59.0
2017,UKG23,2013,59.0
2018,UKG23,2016,58.0
2015,UKG24,2013,213.0
2016,UKG24,2013,215.0
2017,UKG24,2013,187.0
2018,UKG24,2016,187.0
2015,UKG31,2013,239.0
2016,UKG31,2013,237.0
2017,UKG31,2013,290.0
2018,UKG31,2016,89.0
2015,UKG33,2013,542.0
2016,UKG33,2013,543.0
2017,UKG33,2013,580.0
2018,UKG33,2016,563.0
2015,UKG39,2013,84.0
2016,UKG39,2013,84.0
2017,UKG39,2013,86.0
2018,UKG39,2016,88.0
2015,UKH12,2013,344.0
2016,UKH12,2013,345.0
2017,UKH12,2013,369.0
2018,UKH12,2016,372.0
2015,UKH14,2013,12.0
2016,UKH14,2013,12.0
2017,UKH14,2013,12.0
2018,UKH14,2016,11.0
2015,UKH15,2013,119.0
2016,UKH15,2013,116.0
2017,UKH15,2013,103.0
2018,UKH15,2016,98.0
2015,UKH21,2013,63.0
2016,UKH21,2013,53.0
2017,UKH21,2013,51.0
2018,UKH21,2016,50.0
2015,UKH23,2013,82.0
2016,UKH23,2013,84.0
2017,UKH23,2013,84.0
2018,UKH23,2016,83.0
2015,UKH25,2013,274.0
2016,UKH25,2013,276.0
2017,UKH25,2013,272.0
2018,UKH25,2016,270.0
2015,UKH34,2013,142.0
2016,UKH34,2013,128.0
2017,UKH34,2013,127.0
2018,UKH34,2016,128.0
2015,UKH36,2013,280.0
2016,UKH36,2013,278.0
2017,UKH36,2013,276.0
2018,UKH36,2016,188.0
2015,UKI31,2013,441.0
2016,UKI31,2013,442.0
2017,UKI31,2013,470.0
2018,UKI31,2016,489.0
2015,UKI32,2013,313.0
2016,UKI32,2013,299.0
2017,UKI32,2013,306.0
2018,UKI32,2016,319.0
2015,UKI33,2013,14.0
2016,UKI33,2013,10.0
2017,UKI33,2013,10.0
2018,UKI33,2016,9.0
2015,UKI34,2013,9.0
2016,UKI34,2013,64.0
2017,UKI34,2013,60.0
2018,UKI34,2016,57.0
2015,UKI41,2013,30.0
2016,UKI41,2013,30.0
2017,UKI41,2013,30.0
2018,UKI41,2016,30.0
2015,UKI42,2013,77.0
2016,UKI42,2013,85.0
2017,UKI42,2013,85.0
2018,UKI42,2016,88.0
2015,UKI43,2013,32.0
2016,UKI43,2013,28.0
2017,UKI43,2013,28.0
2018,UKI43,2016,29.0
2015,UKI44,2013,121.0
2016,UKI44,2013,122.0
2017,UKI44,2013,123.0
2018,UKI44,2016,22.0
