year,nuts_id,nuts_year_spec,gbp_research_income
2015,UKC12,2013,4372000.0
2016,UKC12,2013,3932000.0
2017,UKC12,2013,3904000.0
2018,UKC12,2016,4805000.0
2015,UKC14,2013,76311000.0
2016,UKC14,2013,78575000.0
2017,UKC14,2013,77807000.0
2018,UKC14,2016,78905000.0
2015,UKC22,2013,156273000.0
2016,UKC22,2013,154157000.0
2017,UKC22,2013,156678000.0
2018,UKC22,2016,159426000.0
2015,UKC23,2013,3028000.0
2016,UKC23,2013,2781000.0
2017,UKC23,2013,2870000.0
2018,UKC23,2016,3193000.0
2015,UKD12,2013,531000.0
2016,UKD12,2013,610000.0
2017,UKD12,2013,806000.0
2018,UKD12,2016,655000.0
2015,UKD33,2013,354690000.0
2016,UKD33,2013,345755000.0
2017,UKD33,2013,383626000.0
2018,UKD33,2016,411123000.0
2015,UKD34,2013,10325000.0
2016,UKD34,2013,9600000.0
2017,UKD34,2013,10699000.0
2018,UKD34,2016,12190000.0
2015,UKD36,2013,1044000.0
2016,UKD36,2013,1082000.0
2017,UKD36,2013,850000.0
2018,UKD36,2016,920000.0
2015,UKD44,2013,57255000.0
2016,UKD44,2013,57517000.0
2017,UKD44,2013,59860000.0
2018,UKD44,2016,62690000.0
2015,UKD45,2013,9705000.0
2016,UKD45,2013,10279000.0
2017,UKD45,2013,11078000.0
2018,UKD45,2016,11426000.0
2015,UKD47,2013,1655000.0
2016,UKD47,2013,1661000.0
2017,UKD47,2013,2200000.0
2018,UKD47,2016,2714000.0
2015,UKD63,2013,2814000.0
2016,UKD63,2013,2216000.0
2017,UKD63,2013,3889000.0
2018,UKD63,2016,3875000.0
2015,UKD72,2013,138197000.0
2016,UKD72,2013,139186000.0
2017,UKD72,2013,138946000.0
2018,UKD72,2016,145833000.0
2015,UKE11,2013,19625000.0
2016,UKE11,2013,18130000.0
2017,UKE11,2013,17674000.0
2018,UKE11,2016,19218000.0
2015,UKE21,2013,88137000.0
2016,UKE21,2013,89641000.0
2017,UKE21,2013,94978000.0
2018,UKE21,2016,99311000.0
2015,UKE32,2013,223692000.0
2016,UKE32,2013,211595000.0
2017,UKE32,2013,252755000.0
2018,UKE32,2016,240227000.0
2015,UKE41,2013,12282000.0
2016,UKE41,2013,11721000.0
2017,UKE41,2013,11316000.0
2018,UKE41,2016,11253000.0
2015,UKE42,2013,176860000.0
2016,UKE42,2013,180836000.0
2017,UKE42,2013,188142000.0
2018,UKE42,2016,200820000.0
2015,UKE44,2013,13285000.0
2016,UKE44,2013,15197000.0
2017,UKE44,2013,16434000.0
2018,UKE44,2016,18198000.0
2015,UKF11,2013,2335000.0
2016,UKF11,2013,3122000.0
2017,UKF11,2013,3288000.0
2018,UKF11,2016,2781000.0
2015,UKF14,2013,183557000.0
2016,UKF14,2013,183778000.0
2017,UKF14,2013,181308000.0
2018,UKF14,2016,185046000.0
2015,UKF21,2013,77959000.0
2016,UKF21,2013,79244000.0
