year,lep_id,lep_year_spec,fte_research_students
2015,E37000001,2014,235.0
2016,E37000001,2014,225.0
2017,E37000001,2017,215.0
2018,E37000001,2017,195.0
2015,E37000002,2014,25.0
2016,E37000002,2014,20.0
2017,E37000002,2017,15.0
2018,E37000002,2017,15.0
2015,E37000003,2014,210.0
2016,E37000003,2014,230.0
2017,E37000003,2017,215.0
2018,E37000003,2017,225.0
2015,E37000004,2014,1290.0
2016,E37000004,2014,1225.0
2017,E37000004,2017,1140.0
2018,E37000004,2017,1140.0
2015,E37000005,2014,20.0
2016,E37000005,2014,15.0
2017,E37000005,2017,20.0
2018,E37000005,2017,25.0
2015,E37000006,2014,1825.0
2016,E37000006,2014,1840.0
2017,E37000006,2017,1925.0
2018,E37000006,2017,1935.0
2015,E37000007,2014,50.0
2016,E37000007,2014,45.0
2017,E37000007,2017,45.0
2018,E37000007,2017,30.0
2015,E37000008,2014,3215.0
2016,E37000008,2014,3200.0
2017,E37000008,2017,3230.0
2018,E37000008,2017,3155.0
2015,E37000009,2014,390.0
2016,E37000009,2014,420.0
2017,E37000009,2017,375.0
2018,E37000009,2017,360.0
2015,E37000010,2014,1525.0
2016,E37000010,2014,1460.0
2017,E37000010,2017,1395.0
2018,E37000010,2017,1440.0
2015,E37000011,2014,175.0
2016,E37000011,2014,170.0
2017,E37000011,2017,165.0
2018,E37000011,2017,150.0
2015,E37000012,2014,2715.0
2016,E37000012,2014,2700.0
2017,E37000012,2017,2740.0
2018,E37000012,2017,605.0
2015,E37000013,2014,4775.0
2016,E37000013,2014,4660.0
2015,E37000014,2014,355.0
2016,E37000014,2014,330.0
2017,E37000014,2017,350.0
2018,E37000014,2017,360.0
2015,E37000015,2014,4205.0
2016,E37000015,2014,4300.0
2017,E37000015,2017,4385.0
2018,E37000015,2017,4390.0
2015,E37000016,2014,1645.0
2016,E37000016,2014,1625.0
2017,E37000016,2017,1680.0
2018,E37000016,2017,1690.0
2015,E37000017,2014,340.0
2016,E37000017,2014,345.0
2017,E37000017,2017,375.0
2018,E37000017,2017,360.0
2015,E37000018,2014,690.0
2016,E37000018,2014,640.0
2017,E37000018,2017,520.0
2018,E37000018,2017,490.0
2015,E37000019,2014,1730.0
2016,E37000019,2014,1680.0
2017,E37000019,2017,1730.0
2018,E37000019,2017,1645.0
2015,E37000020,2014,4810.0
2016,E37000020,2014,4755.0
2017,E37000020,2017,4785.0
2018,E37000020,2017,4825.0
2015,E37000021,2014,2400.0
2016,E37000021,2014,2225.0
2017,E37000021,2017,2075.0
2018,E37000021,2017,2170.0
2015,E37000022,2014,1980.0
2016,E37000022,2014,2090.0
2017,E37000022,2017,2100.0
2018,E37000022,2017,2100.0
2015,E37000023,2014,16910.0
2016,E37000023,2014,16645.0
2017,E37000023,2017,16390.0
2018,E37000023,2017,16670.0
2015,E37000024,2014,775.0
2016,E37000024,2014,810.0
2017,E37000024,2017,850.0
2018,E37000024,2017,895.0
2015,E37000025,2014,3560.0
2016,E37000025,2014,3575.0
2017,E37000025,2017,3575.0
2018,E37000025,2017,3550.0
2015,E37000026,2014,160.0
2016,E37000026,2014,145.0
2015,E37000027,2014,4940.0
2016,E37000027,2014,4925.0
2017,E37000027,2017,4365.0
2018,E37000027,2017,4480.0
2015,E37000029,2014,2800.0
2016,E37000029,2014,2690.0
2017,E37000029,2017,2510.0
2018,E37000029,2017,2425.0
2015,E37000030,2014,2310.0
2016,E37000030,2014,2245.0
2017,E37000030,2017,2255.0
2018,E37000030,2017,2230.0
2015,E37000031,2014,1340.0
2016,E37000031,2014,1340.0
2015,E37000032,2014,465.0
2016,E37000032,2014,465.0
2017,E37000032,2017,440.0
2018,E37000032,2017,420.0
2015,E37000034,2014,130.0
2016,E37000034,2014,150.0
2017,E37000034,2017,175.0
2018,E37000034,2017,185.0
2015,E37000035,2014,1030.0
2016,E37000035,2014,945.0
2017,E37000035,2017,865.0
2018,E37000035,2017,910.0
2015,E37000036,2014,45.0
2016,E37000036,2014,45.0
2017,E37000036,2017,25.0
2018,E37000036,2017,35.0
2015,E37000037,2014,2940.0
2016,E37000037,2014,3055.0
2017,E37000037,2017,3160.0
2018,E37000037,2017,3100.0
2015,E37000038,2014,75.0
2016,E37000038,2014,80.0
2017,E37000038,2017,75.0
2018,E37000038,2017,90.0
2015,E37000039,2014,1245.0
2016,E37000039,2014,1240.0
2017,E37000039,2017,1240.0
2018,E37000039,2017,1250.0
2015,E37000040,2014,2600.0
2016,E37000040,2014,2515.0
2017,E37000040,2017,2445.0
2018,E37000040,2017,2490.0
2017,E37000041,2017,1330.0
2018,E37000041,2017,1270.0
2017,E37000042,2017,4545.0
2018,E37000042,2017,4215.0
