year,nuts_id,nuts_year_spec,total_stem_students
2014,UKC12,2010,4380.0
2015,UKC12,2013,4520.0
2016,UKC12,2013,4915.0
2017,UKC12,2013,4945.0
2018,UKC12,2016,5140.0
2014,UKC14,2010,5230.0
2015,UKC14,2013,5325.0
2016,UKC14,2013,5420.0
2017,UKC14,2013,5625.0
2018,UKC14,2016,5940.0
2014,UKC22,2010,12955.0
2015,UKC22,2013,13395.0
2016,UKC22,2013,13845.0
2017,UKC22,2013,14335.0
2018,UKC22,2016,14885.0
2014,UKC23,2010,2775.0
2015,UKC23,2013,2595.0
2016,UKC23,2013,2370.0
2017,UKC23,2013,2270.0
2018,UKC23,2016,2350.0
2014,UKD12,2010,700.0
2015,UKD12,2013,670.0
2016,UKD12,2013,670.0
2017,UKD12,2013,690.0
2018,UKD12,2016,670.0
2014,UKD31,2010,23875.0
2014,UKD32,2010,1705.0
2015,UKD33,2013,20505.0
2016,UKD33,2013,21320.0
2017,UKD33,2013,21600.0
2018,UKD33,2016,21745.0
2015,UKD34,2013,4685.0
2016,UKD34,2013,4385.0
2017,UKD34,2013,4305.0
2018,UKD34,2016,4220.0
2015,UKD36,2013,1530.0
2016,UKD36,2013,1765.0
2017,UKD36,2013,1560.0
2018,UKD36,2016,1540.0
2014,UKD43,2010,10410.0
2015,UKD44,2013,3790.0
2016,UKD44,2013,3870.0
2017,UKD44,2013,4125.0
2018,UKD44,2016,4235.0
2015,UKD45,2013,4630.0
2016,UKD45,2013,4835.0
2017,UKD45,2013,4850.0
2018,UKD45,2016,4875.0
2015,UKD47,2013,2650.0
2016,UKD47,2013,2785.0
2017,UKD47,2013,2690.0
2018,UKD47,2016,2550.0
2014,UKD63,2010,1945.0
2015,UKD63,2013,1970.0
2016,UKD63,2013,2225.0
2017,UKD63,2013,2300.0
2018,UKD63,2016,2240.0
2014,UKD72,2010,14100.0
2015,UKD72,2013,15015.0
2016,UKD72,2013,16135.0
2017,UKD72,2013,16995.0
2018,UKD72,2016,17105.0
2014,UKE11,2010,4475.0
2015,UKE11,2013,4770.0
2016,UKE11,2013,5105.0
2017,UKE11,2013,5105.0
2018,UKE11,2016,5085.0
2014,UKE21,2010,6175.0
2015,UKE21,2013,6280.0
2016,UKE21,2013,6755.0
2017,UKE21,2013,7070.0
2018,UKE21,2016,7395.0
2014,UKE32,2010,16670.0
2015,UKE32,2013,17660.0
2016,UKE32,2013,18445.0
2017,UKE32,2013,18275.0
2018,UKE32,2016,18125.0
2014,UKE41,2010,3035.0
2015,UKE41,2013,2905.0
2016,UKE41,2013,2685.0
2017,UKE41,2013,2480.0
2018,UKE41,2016,2265.0
2014,UKE42,2010,14465.0
2015,UKE42,2013,15180.0
2016,UKE42,2013,15545.0
2017,UKE42,2013,16055.0
2018,UKE42,2016,16250.0
2014,UKE44,2010,4575.0
2015,UKE44,2013,4370.0
2016,UKE44,2013,4365.0
2017,UKE44,2013,4280.0
2018,UKE44,2016,4100.0
2014,UKF11,2010,3270.0
2015,UKF11,2013,3335.0
2016,UKF11,2013,3585.0
2017,UKF11,2013,3490.0
2018,UKF11,2016,3495.0
2014,UKF14,2010,13865.0
2015,UKF14,2013,14475.0
2016,UKF14,2013,15315.0
2017,UKF14,2013,16440.0
2018,UKF14,2016,17370.0
2014,UKF21,2010,7875.0
2015,UKF21,2013,8220.0
2016,UKF21,2013,8875.0
2017,UKF21,2013,9340.0
2018,UKF21,2016,9615.0
2014,UKF22,2010,7895.0
2015,UKF22,2013,8375.0
2016,UKF22,2013,8520.0
2017,UKF22,2013,8430.0
2018,UKF22,2016,8835.0
2014,UKF24,2010,1825.0
2015,UKF24,2013,1870.0
2016,UKF24,2013,2075.0
2017,UKF24,2013,1915.0
2018,UKF24,2016,1855.0
2014,UKF30,2010,2355.0
2015,UKF30,2013,2800.0
2016,UKF30,2013,3125.0
2017,UKF30,2013,3540.0
2018,UKF30,2016,3880.0
2014,UKG12,2010,2155.0
2015,UKG12,2013,2290.0
2016,UKG12,2013,2355.0
2017,UKG12,2013,2465.0
2018,UKG12,2016,2260.0
2014,UKG21,2010,295.0
2015,UKG21,2013,285.0
2016,UKG21,2013,305.0
2017,UKG21,2013,290.0
2018,UKG21,2016,335.0
2014,UKG23,2010,4805.0
2015,UKG23,2013,4295.0
2016,UKG23,2013,3785.0
2017,UKG23,2013,3975.0
2018,UKG23,2016,3935.0
