year,nuts_id,nuts_year_spec,total_university_buildings
2015,UKC1,2013,407.0
2016,UKC1,2013,406.0
2017,UKC1,2013,408.0
2018,UKC1,2016,472.0
2015,UKC2,2013,361.0
2016,UKC2,2013,348.0
2017,UKC2,2013,335.0
2018,UKC2,2016,279.0
2015,UKD1,2013,94.0
2016,UKD1,2013,96.0
2017,UKD1,2013,98.0
2018,UKD1,2016,90.0
2015,UKD3,2013,332.0
2016,UKD3,2013,321.0
2017,UKD3,2013,318.0
2018,UKD3,2016,292.0
2015,UKD4,2013,416.0
2016,UKD4,2013,412.0
2017,UKD4,2013,440.0
2018,UKD4,2016,444.0
2015,UKD6,2013,251.0
2016,UKD6,2013,213.0
2017,UKD6,2013,213.0
2018,UKD6,2016,216.0
2015,UKD7,2013,311.0
2016,UKD7,2013,304.0
2017,UKD7,2013,307.0
2018,UKD7,2016,307.0
2015,UKE1,2013,299.0
2016,UKE1,2013,187.0
2017,UKE1,2013,185.0
2018,UKE1,2016,97.0
2015,UKE2,2013,313.0
2016,UKE2,2013,317.0
2017,UKE2,2013,373.0
2018,UKE2,2016,378.0
2015,UKE3,2013,410.0
2016,UKE3,2013,421.0
2017,UKE3,2013,413.0
2018,UKE3,2016,414.0
2015,UKE4,2013,519.0
2016,UKE4,2013,522.0
2017,UKE4,2013,497.0
2018,UKE4,2016,497.0
2015,UKF1,2013,516.0
2016,UKF1,2013,503.0
2017,UKF1,2013,519.0
2018,UKF1,2016,527.0
2015,UKF2,2013,548.0
2016,UKF2,2013,538.0
2017,UKF2,2013,454.0
2018,UKF2,2016,432.0
2015,UKF3,2013,82.0
2016,UKF3,2013,86.0
2017,UKF3,2013,89.0
2018,UKF3,2016,90.0
2015,UKG1,2013,60.0
2016,UKG1,2013,62.0
2017,UKG1,2013,64.0
2018,UKG1,2016,65.0
2015,UKG2,2013,390.0
2016,UKG2,2013,274.0
2017,UKG2,2013,358.0
2018,UKG2,2016,357.0
2015,UKG3,2013,865.0
2016,UKG3,2013,864.0
2017,UKG3,2013,956.0
2018,UKG3,2016,740.0
2015,UKH1,2013,475.0
2016,UKH1,2013,473.0
2017,UKH1,2013,484.0
2018,UKH1,2016,481.0
2015,UKH2,2013,419.0
2016,UKH2,2013,413.0
2017,UKH2,2013,407.0
2018,UKH2,2016,403.0
2015,UKH3,2013,422.0
2016,UKH3,2013,406.0
2017,UKH3,2013,403.0
2018,UKH3,2016,316.0
2015,UKI3,2013,777.0
2016,UKI3,2013,815.0
2017,UKI3,2013,846.0
2018,UKI3,2016,874.0
2015,UKI4,2013,260.0
2016,UKI4,2013,265.0
2017,UKI4,2013,266.0
2018,UKI4,2016,169.0
2015,UKI5,2013,61.0
2016,UKI5,2013,62.0
2017,UKI5,2013,64.0
2018,UKI5,2016,65.0
2015,UKI6,2013,167.0
2016,UKI6,2013,168.0
2017,UKI6,2013,169.0
2018,UKI6,2016,168.0
2015,UKI7,2013,240.0
2016,UKI7,2013,238.0
2017,UKI7,2013,239.0
2018,UKI7,2016,242.0
2015,UKJ1,2013,684.0
2016,UKJ1,2013,661.0
2017,UKJ1,2013,665.0
2018,UKJ1,2016,672.0
2015,UKJ2,2013,856.0
2016,UKJ2,2013,822.0
2017,UKJ2,2013,848.0
2018,UKJ2,2016,821.0
2015,UKJ3,2013,510.0
2016,UKJ3,2013,517.0
2017,UKJ3,2013,600.0
2018,UKJ3,2016,509.0
2015,UKJ4,2013,578.0
2016,UKJ4,2013,567.0
2017,UKJ4,2013,541.0
2018,UKJ4,2016,536.0
2015,UKK1,2013,833.0
2016,UKK1,2013,876.0
2017,UKK1,2013,907.0
2018,UKK1,2016,916.0
2015,UKK2,2013,42.0
2016,UKK2,2013,42.0
2017,UKK2,2013,40.0
2018,UKK2,2016,41.0
2015,UKK3,2013,72.0
2016,UKK3,2013,82.0
2017,UKK3,2013,85.0
2018,UKK3,2016,83.0
2015,UKK4,2013,369.0
2016,UKK4,2013,368.0
2017,UKK4,2013,368.0
2018,UKK4,2016,371.0
2015,UKL1,2013,719.0
2016,UKL1,2013,710.0
2017,UKL1,2013,716.0
2018,UKL1,2016,1294.0
2015,UKL2,2013,368.0
2016,UKL2,2013,372.0
2017,UKL2,2013,375.0
2018,UKL2,2016,373.0
2015,UKM2,2013,1129.0
2016,UKM2,2013,1126.0
2017,UKM2,2013,1124.0
2015,UKM3,2013,439.0
2016,UKM3,2013,471.0
2017,UKM3,2013,470.0
2015,UKM5,2013,180.0
2016,UKM5,2013,145.0
2017,UKM5,2013,146.0
2018,UKM5,2016,146.0
2015,UKM6,2013,111.0
2016,UKM6,2013,113.0
2017,UKM6,2013,116.0
2018,UKM6,2016,116.0
2018,UKM7,2016,1157.0
2018,UKM8,2016,474.0
2015,UKN0,2013,333.0
2016,UKN0,2013,334.0
2017,UKN0,2013,318.0
2018,UKN0,2016,321.0
