year,nuts_id,nuts_year_spec,gbp_research_income
2015,UKH2,2016,68415000
2015,UKJ1,2016,760879000
2015,UKD6,2016,2814000
2015,UKK3,2016,896000
2015,UKD1,2016,531000
2015,UKF1,2016,185892000
2015,UKK4,2016,106993000
2015,UKK2,2016,7807000
2015,UKH1,2016,640478000
2015,UKL2,2016,161482000
2015,UKE1,2016,19625000
2015,UKM7,2016,624077000
2015,UKH3,2016,40841000
2015,UKK1,2016,270268000
2015,UKD3,2016,366059000
2015,UKJ3,2016,171735000
2015,UKG1,2016,1957000
2015,UKM6,2016,15683000
2015,UKI4,2016,177982000
2015,UKI3,2016,1717932000
2015,UKJ4,2016,34206000
2015,UKD4,2016,68615000
2015,UKF2,2016,137591000
2015,UKF3,2016,9490000
2015,UKD7,2016,138197000
2015,UKM5,2016,92576000
2015,UKE2,2016,88137000
2015,UKN0,2016,144340000
2015,UKC2,2016,159301000
2015,UKI5,2016,18483000
2015,UKI6,2016,6928000
2015,UKI7,2016,45126000
2015,UKG2,2016,29555000
2015,UKE3,2016,223692000
2015,UKJ2,2016,147798000
2015,UKC1,2016,80683000
2015,UKM8,2016,336887000
2015,UKG3,2016,369578000
2015,UKL1,2016,117591000
2015,UKE4,2016,202427000
2016,UKH2,2016,65938000
2016,UKJ1,2016,794974000
2016,UKD6,2016,2216000
2016,UKK3,2016,1179000
2016,UKD1,2016,610000
2016,UKF1,2016,186900000
2016,UKK4,2016,116385000
2016,UKK2,2016,7317000
2016,UKH1,2016,639792000
2016,UKL2,2016,147422000
2016,UKE1,2016,18130000
2016,UKM7,2016,602900000
2016,UKH3,2016,46709000
2016,UKK1,2016,281073000
2016,UKD3,2016,356437000
2016,UKJ3,2016,198069000
2016,UKG1,2016,2267000
2016,UKM6,2016,17464000
2016,UKI4,2016,185335000
2016,UKI3,2016,1676658000
2016,UKJ4,2016,33314000
2016,UKD4,2016,69457000
2016,UKF2,2016,142779000
2016,UKF3,2016,12243000
2016,UKD7,2016,139186000
2016,UKM5,2016,88492000
2016,UKE2,2016,89641000
2016,UKN0,2016,151403000
2016,UKC2,2016,156938000
2016,UKI5,2016,16536000
2016,UKI6,2016,7020000
2016,UKI7,2016,44020000
2016,UKG2,2016,31308000
2016,UKE3,2016,211595000
2016,UKJ2,2016,148239000
2016,UKC1,2016,82507000
2016,UKM8,2016,344017000
2016,UKG3,2016,370176000
2016,UKL1,2016,116378000
2016,UKE4,2016,207754000
2017,UKH2,2016,66830000
2017,UKJ1,2016,811415000
2017,UKD6,2016,3889000
2017,UKK3,2016,1303000
2017,UKD1,2016,806000
2017,UKF1,2016,184596000
2017,UKK4,2016,121483000
2017,UKK2,2016,8314000
2017,UKH1,2016,709098000
2017,UKL2,2016,143736000
2017,UKE1,2016,17674000
2017,UKM7,2016,621616000
2017,UKH3,2016,46409000
2017,UKK1,2016,293882000
2017,UKD3,2016,395175000
2017,UKJ3,2016,179262000
2017,UKG1,2016,1966000
2017,UKM6,2016,21203000
2017,UKI4,2016,181832000
2017,UKI3,2016,1734826000
2017,UKJ4,2016,36435000
2017,UKD4,2016,73138000
2017,UKF2,2016,145477000
2017,UKF3,2016,12076000
2017,UKD7,2016,138946000
2017,UKM5,2016,82919000
2017,UKE2,2016,94978000
2017,UKN0,2016,167000000
2017,UKC2,2016,159548000
2017,UKI5,2016,17768000
2017,UKI6,2016,7618000
2017,UKI7,2016,46383000
2017,UKG2,2016,30215000
2017,UKE3,2016,252755000
2017,UKJ2,2016,151171000
2017,UKC1,2016,81711000
2017,UKM8,2016,349199000
2017,UKG3,2016,385036000
2017,UKL1,2016,125192000
2017,UKE4,2016,215892000
